phase	depth	coefficient	nodes
0	0	-1	1
0	1	29	5
0	2	28	19
0	3	27	59
0	4	26	183
0	5	25	469
0	6	24	1065
0	7	23	2099
0	8	22	3885
0	9	21	6351
0	10	20	9525
0	11	19	15099
0	12	18	20611
0	13	17	25365
0	14	16	30395
0	15	15	30600
0	16	14	30296
0	17	13	28285
0	18	12	22969
0	19	11	16970
0	20	10	11294
0	21	9	6821
0	22	8	3896
0	23	7	2210
0	24	6	1296
0	25	5	667
0	26	4	322
0	27	3	148
0	28	2	89
0	29	1	41
0	30	0	8
1	0	-1	1
1	1	29	5
1	2	28	17
1	3	27	55
1	4	26	145
1	5	25	357
1	6	24	717
1	7	23	1273
1	8	22	2383
1	9	21	3973
1	10	20	6399
1	11	19	8571
1	12	18	10307
1	13	17	12107
1	14	16	12249
1	15	15	12387
1	16	14	11939
1	17	13	10409
1	18	12	8251
1	19	11	5735
1	20	10	3739
1	21	9	2277
1	22	8	1377
1	23	7	833
1	24	6	457
1	25	5	227
1	26	4	119
1	27	3	67
1	28	2	35
1	29	1	9
1	30	0	3
