phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	29	1	0	0	5	0	0	0.50175046920776367	0.50175046920776367	0	2.4086493989929139	-2	2	0	0.44408521056175232	0.44408521056175232	18667	4.9150139349142335e-06	0.091748565123043996
0	2	28	6	1	-1	19	0	0.10771457489811574	0.50175046920776367	0.50175046920776367	0	2.1582743914663842	-2	2	-0.46333311647207914	0.18804711103439331	0.18804711103439331	4116	2.2290710671293489e-05	0.091748565123043996
0	3	27	23	6	0	59	0.10771457489811574	0.11850942256771813	0.50175046920776367	0.39403589430964792	-0.36382802368237388	2.1981421844563318	-2	1	0.16551614643270207	0.40042868256568909	0.40042868256568909	2057	4.4603094371922216e-05	0.091748565123043996
0	4	26	92	23	-1	153	0.11850942256771813	0.14520555012453693	0.50175046920776367	0.38324104664004555	-0.46772584877330659	2.0167276399573875	-2	1	-0.26392961581958591	0.35304316878318787	0.35304316878318787	922	9.9510374320004329e-05	0.091748565123043996
0	5	25	316	92	2	353	0.14520555012453693	0.26109153056045092	0.50175046920776367	0.35654491908322677	0.93171268251250094	1.873828106358153	0	2	0.57010956013662906	0.19745099544525146	0.19745099544525146	182	0.00050411299518156045	0.091748565123043996
0	6	24	765	316	-1	651	0.26109153056045092	0.26282667969651902	0.50175046920776367	0.24065893864731275	-0.88311998346028275	1.3764893600257795	-2	0	-0.084911674535230908	0.64006584882736206	0.64006584882736206	136	0.00067462180237532355	0.091748565123043996
0	7	23	1773	765	1	1181	0.26282667969651902	0.26452806211681101	0.50175046920776367	0.23892378951124468	0.88857043054822693	1.3204719467228445	0	2	0.084386169451247828	0.65441781282424927	0.65441781282424927	106	0.00086555250116079245	0.091748565123043996
0	8	22	2748	1773	0	1881	0.26452806211681101	0.28570985938789151	0.50175046920776367	0.23722240709095266	-0.383405930438739	1.2830845536829674	-1	0	0.29881579459296753	0.58988273143768311	0.58988273143768311	63	0.0014563264305245079	0.091748565123043996
0	9	21	3571	2748	-1	2685	0.28570985938789151	0.28630968046353245	0.50175046920776367	0.21604060981987216	-1.0604477286833105	1.1471938854480122	-2	0	0.05269181561206103	0.7189604640007019	0.7189604640007019	56	0.0016383672343400714	0.091748565123043996
0	10	20	6703	3571	0	3699	0.28630968046353245	0.28632072058651753	0.50175046920776367	0.21544078874423123	0.0082872040476176297	1.1576707000063908	-1	1	-0.0071585158435571372	0.73498046398162842	0.73498046398162842	47	0.0019520971302775319	0.091748565123043996
0	11	19	10482	6703	0	4623	0.28632072058651753	0.29589521155249882	0.50175046920776367	0.21542974862124614	0.23251776901808377	1.1029380961768072	0	1	-0.21081669934520955	0.72513377666473389	0.72513377666473389	39	0.002352527310847282	0.091748565123043996
0	12	18	11906	10482	0	5215	0.29589521155249882	0.29708895023782661	0.50175046920776367	0.20585525765526486	-0.078209616528997411	1.0270379800567158	-1	0	0.076150656594684521	0.83790808916091919	0.83790808916091919	36	0.0025485712534178886	0.091748565123043996
