phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	29	1	0	0	5	0	0	0.59520459175109863	0.59520459175109863	0	2.5152011050788556	-2	2	0	0.40665757050130413	0.40665757050130413	214347	0.00012139961943617641	10.033735879126038
0	2	28	3	1	0	21	0	0	0.59520459175109863	0.59520459175109863	0	2.3783881591281206	-2	2	0	0.41984311371807925	0.41984311371807925	132360	0.00019659749340651331	10.033735879126038
0	3	27	12	3	0	77	0	0	0.59520459175109863	0.59520459175109863	0	2.388547206748334	-2	2	0	0.4188109573899067	0.4188109573899067	55901	0.00024173530058159456	10.033735879126038
0	4	26	36	12	-1	247	0	0.10566401126681907	0.59520459175109863	0.59520459175109863	0	2.3733926314404776	-2	2	-0.42133778741576039	0.19725720878328695	0.19725720878328695	13300	0.0010160334614896028	10.033735879126038
0	5	25	130	36	0	675	0.10566401126681907	0.12753407239368106	0.59520459175109863	0.48954058048427956	0.42011203540815095	1.9876251081693899	-1	2	-0.21136381990820979	0.37892410159111023	0.37892410159111023	6162	0.0016283245503287956	10.033735879126038
0	6	24	386	130	0	1513	0.12753407239368106	0.12861536380769403	0.59520459175109863	0.46767051935741755	-0.087147614527105177	1.8124002922820031	-1	1	0.048084087658900751	0.54605586279420748	0.54605586279420748	3889	0.00258002979663822	10.033735879126038
0	7	23	1100	386	0	3193	0.12861536380769403	0.14751458392263744	0.59520459175109863	0.46658922794340463	-0.36865485773747714	1.831746512726349	-2	1	0.20125866498240291	0.40613248339097974	0.40613248339097974	1999	0.0050193776283772073	10.033735879126038
0	8	22	2166	1100	0	6415	0.14751458392263744	0.17191631898782692	0.59520459175109863	0.44769000782846119	-0.42668485480591978	1.8276186227000286	-2	1	0.23346493054199557	0.3859734833240509	0.3859734833240509	935	0.010731268319920896	10.033735879126038
0	9	21	5199	2166	0	11303	0.17191631898782692	0.17194145258126819	0.59520459175109863	0.42328827276327169	0.012621728631253	1.6379840329434858	-1	1	-0.0077056481488232418	0.58636230230331421	0.58636230230331421	657	0.015272048522261853	10.033735879126038
0	10	20	10737	5199	0	18485	0.17194145258126819	0.17342015694402435	0.59520459175109863	0.42326313916983044	0.095238213516016287	1.6112977011410332	-1	1	-0.059106528513367687	0.56768960606589325	0.56768960606589325	449	0.022346850510302978	10.033735879126038
0	11	19	17907	10737	0	29081	0.17342015694402435	0.17410247065199994	0.59520459175109863	0.42178443480707428	0.064833265859799885	1.6119483614276675	-1	1	-0.040220435971272971	0.57615387439727783	0.57615387439727783	309	0.032471637149275201	10.033735879126038
0	12	18	36617	17907	0	40830	0.17410247065199994	0.17455345019693969	0.59520459175109863	0.42110212109909873	0.049513897971960041	1.5130121302161568	-1	1	-0.032725380704572558	0.59643983840942383	0.59643983840942383	221	0.045401519815049945	10.033735879126038
0	13	17	48574	36617	0	56224	0.17455345019693969	0.18705997976128053	0.59520459175109863	0.42065114155415895	-0.27400479594612753	1.5890984106246449	-1	1	0.17242783336396478	0.51308943212013847	0.51308943212013847	132	0.07601315059943968	10.033735879126038
0	14	16	81847	48574	0	60430	0.18705997976128053	0.18981905848412139	0.59520459175109863	0.40814461198981811	-0.11928971571235292	1.4508682982082561	-1	1	0.08221953423316869	0.58454834543841561	0.58454834543841561	89	0.11273860538343863	10.033735879126038
0	15	15	124781	81847	0	49590	0.18981905848412139	0.19259899189612076	0.59520459175109863	0.40538553326697724	-0.10902480761736938	1.3165648483319188	-1	1	0.082810055088059872	0.61308460514121343	0.61308460514121343	66	0.15202630119887936	10.033735879126038
0	16	14	186799	124781	0	34390	0.19259899189612076	0.20565973329178167	0.59520459175109863	0.4026055998549779	-0.21319069077764163	1.1836525203152106	-1	0	0.18011256438745066	0.69687676394496323	0.69687676394496323	51	0.19673991919854977	10.033735879126038
0	17	13	252235	186799	0	24080	0.20565973329178167	0.20815693724769352	0.59520459175109863	0.38954485845931697	-0.091435129344496269	1.1419966100442516	-1	1	0.080066025188072348	0.6588549017906189	0.6588549017906189	40	0.25084339697815095	10.033735879126038
0	18	12	370585	252235	0	16714	0.20815693724769352	0.24308506966144053	0.59520459175109863	0.38704765450340511	0.3280322184871175	1.091970833919631	0	1	-0.30040382792060971	0.63139760494232178	0.63139760494232178	27	0.37161984737503845	10.033735879126038
0	19	11	378287	370585	0	11194	0.24308506966144053	0.24770816370938725	0.59520459175109863	0.35211952208965813	0.11587477482640564	1.0112710876158741	0	1	-0.11458329645277078	0.82044655084609985	0.82044655084609985	24	0.41807232829691826	10.033735879126038
0	20	10	382458	378287	0	7458	0.24770816370938725	0.25635442405539749	0.59520459175109863	0.34749642804171138	-0.15714670777891604	0.9962453451163592	-1	0	0.15773896314723726	0.79844146966934204	0.79844146966934204	19	0.5280913620592651	10.033735879126038
0	21	9	384155	382458	0	5026	0.25635442405539749	0.25753193664560681	0.59520459175109863	0.33885016769570114	-0.05844315421207421	0.9914132521397212	-1	0	0.05894933730806913	0.8558850884437561	0.8558850884437561	17	0.59021975759564926	10.033735879126038
0	22	8	384509	384155	0	3221	0.25753193664560681	0.28013856585366276	0.59520459175109863	0.33767265510549183	-0.25598216957742209	0.98932676014055165	-1	0	0.25874380426246146	0.72841614484786987	0.72841614484786987	12	0.83614465659383652	10.033735879126038
0	23	7	384550	384509	0	1934	0.28013856585366276	0.28019989971288684	0.58549785614013672	0.30535929028647396	0.012649019887424019	0.89250837104332026	0	0	-0.014172438374597682	1	1	11	0.91215780719327622	10.033735879126038
0	24	6	384578	384550	0	1147	0.28019989971288684	0.28191242046514819	0.58549785614013672	0.30529795642724988	0.066460726876794704	0.88737893285816416	0	0	-0.074895542835044501	1	1	10	1.0033735879126038	10.033735879126038
0	25	5	384618	384578	0	677	0.28191242046514819	0.34612001982748164	0.58549785614013672	0.30358543567498852	-0.40506438526301969	0.88078783998493015	-1	0	0.45988871198534048	0.60614573955535889	0.60614573955535889	6	1.672289313187673	10.033735879126038
0	26	4	384628	384618	0	381	0.34612001982748164	0.36341188714647304	0.58549785614013672	0.23937783631265505	0.19383587110304293	0.72119909262769544	0	0	-0.26876887822584489	1	1	5	2.0067471758252076	10.033735879126038
0	27	3	384634	384628	0	193	0.36341188714647304	0.36341189522660972	0.58549785614013672	0.2220859689936637	0.0001203548951875351	0.63097908718710372	0	0	-0.00019074308108066719	1	1	4	2.5084339697815095	10.033735879126038
0	28	2	384638	384634	0	95	0.36341189522660972	0.36965455836443206	0.58549785614013672	0.22208596091352698	-0.1047730489291758	0.62492109459225509	0	0	0.16765804488891117	1	1	3	3.3445786263753461	10.033735879126038
0	29	1	384642	384638	0	35	0.36965455836443206	0.37264887615057829	0.58549785614013672	0.21584329777570466	0.065809135138349642	0.55873583002815808	0	0	-0.11778219974729941	1	1	2	5.0168679395630189	10.033735879126038
0	30	0	384643	384642	0	9	0.37264887615057829	0.3782343864440918	0.58549785614013672	0.2128489799895584	-0.086975657278033747	0.53691072321686095	0	0	0.16199277369042941	1	1	1	10.033735879126038	10.033735879126038
1	1	29	1	0	0	5	0	0	0.3782343864440918	0.3782343864440918	0	2.0050263448681314	-2	2	0	0.49760237336158752	0.49760237336158752	3602	0	0
1	2	28	3	1	0	13	0	0	0.3782343864440918	0.3782343864440918	0	1.8959640673443452	-1	1	0	0.58945798873901367	0.58945798873901367	2531	0	0
1	3	27	9	3	0	27	0	0	0.3782343864440918	0.3782343864440918	0	1.9040624886102102	-1	1	0	0.58837181329727173	0.58837181329727173	1740	0	0
1	4	26	14	9	0	57	0	0	0.3782343864440918	0.3782343864440918	0	1.7949792425050459	-1	1	0	0.60373973846435547	0.60373973846435547	1245	0	0
1	5	25	23	14	0	113	0	0	0.3782343864440918	0.3782343864440918	0	1.8358161969093538	-1	1	0	0.59779512882232666	0.59779512882232666	868	0	0
1	6	24	42	23	0	211	0	0	0.3782343864440918	0.3782343864440918	0	1.7094251064270864	-1	1	0	0.61700063943862915	0.61700063943862915	623	0	0
1	7	23	69	42	0	289	0	0	0.3782343864440918	0.3782343864440918	0	1.5891571588708924	-1	1	0	0.63769680261611938	0.63769680261611938	486	0	0
1	8	22	112	69	0	395	0	0	0.3782343864440918	0.3782343864440918	0	1.5357215682520666	-1	1	0	0.64775192737579346	0.64775192737579346	371	0	0
1	9	21	187	112	0	481	0	0	0.3782343864440918	0.3782343864440918	0	1.4899852322233429	-1	1	0	0.6568184494972229	0.6568184494972229	302	0	0
1	10	20	314	187	0	537	0	0	0.3782343864440918	0.3782343864440918	0	1.3879508111001233	-1	1	0	0.67870485782623291	0.67870485782623291	251	0	0
1	11	19	473	314	0	543	0	0	0.3782343864440918	0.3782343864440918	0	1.3056949078330544	-1	1	0	0.69817113876342773	0.69817113876342773	206	0	0
1	12	18	696	473	0	493	0	0	0.3782343864440918	0.3782343864440918	0	1.2974615137297361	-1	1	0	0.70021551847457886	0.70021551847457886	167	0	0
1	13	17	899	696	0	511	0	0	0.3782343864440918	0.3782343864440918	0	1.4890909667243666	-1	1	0	0.65700012445449829	0.65700012445449829	116	0	0
1	14	16	1340	899	0	435	0	0	0.3782343864440918	0.3782343864440918	0	1.361190565100006	-1	1	0	0.68485081195831299	0.68485081195831299	79	0	0
1	15	15	1933	1340	0	381	0	0	0.3782343864440918	0.3782343864440918	0	1.396479666083841	-1	1	0	0.67678272724151611	0.67678272724151611	52	0	0
1	16	14	2948	1933	0	289	0	0	0.3782343864440918	0.3782343864440918	0	1.2590970031080775	-1	1	0	0.70998120307922363	0.70998120307922363	39	0	0
1	17	13	3923	2948	0	195	0	0	0.3782343864440918	0.3782343864440918	0	1.1929314128831177	-1	1	0	0.72778135538101196	0.72778135538101196	32	0	0
1	18	12	4774	3923	0	129	0	0	0.3782343864440918	0.3782343864440918	0	1.0853136275617088	-1	1	0	0.75944483280181885	0.75944483280181885	23	0	0
1	19	11	5033	4774	0	83	0	0	0.3782343864440918	0.3782343864440918	0	1.1413482461868547	-1	1	0	0.7425311803817749	0.7425311803817749	16	0	0
1	20	10	5112	5033	0	37	0	0	0.3782343864440918	0.3782343864440918	0	1.1052362576295602	-1	1	0	0.75332415103912354	0.75332415103912354	13	0	0
1	21	9	5161	5112	0	23	0	0	0.3782343864440918	0.3782343864440918	0	0.98608748007138591	0	0	0	1	1	12	0	0
1	22	8	5168	5161	0	5	0	0	0.3782343864440918	0.3782343864440918	0	0.92896647824993417	0	0	0	1	1	11	0	0
1	23	7	5171	5168	0	1	0	0	0.3782343864440918	0.3782343864440918	0	0.9117125188260391	0	0	0	1	1	10	0	0
1	24	6	5178	5171	0	1	0	0	0.3782343864440918	0.3782343864440918	0	0.93220768610111371	0	0	0	1	1	9	0	0
1	25	5	5187	5178	0	1	0	0	0.3782343864440918	0.3782343864440918	0	0.89492596127762536	0	0	0	1	1	8	0	0
1	26	4	5214	5187	0	1	0	0	0.3782343864440918	0.3782343864440918	0	0.85981879547900453	0	0	0	1	1	7	0	0
1	27	3	5215	5214	0	1	0	0	0.3782343864440918	0.3782343864440918	0	0.86635501577412621	0	0	0	1	1	6	0	0
1	28	2	5226	5215	0	1	0	0	0.3782343864440918	0.3782343864440918	0	0.87983394942655357	0	0	0	1	1	5	0	0
1	29	1	5237	5226	0	1	0	0	0.3782343864440918	0.3782343864440918	0	0.83382669592594894	0	0	0	1	1	4	0	0
1	30	0	5250	5237	1	3	0	0.3782343864440918	0.3782343864440918	0.3782343864440918	0	1.000000000002	-1	1	0.99999999999800004	0.10650698095560074	0.10650698095560074	1	0	0
