phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	29	1	0	0	3	0	0	0.50011563301086426	0.50011563301086426	0	1.9509195281115528	-1	1	0	0.58224844932556152	0.58224844932556152	46174	0	0
0	2	28	3	1	0	13	0	0	0.50011563301086426	0.50011563301086426	0	2.2488701131147408	-2	2	0	0.46305251121520996	0.46305251121520996	30061	0	0
0	3	27	10	3	0	43	0	0	0.50011563301086426	0.50011563301086426	0	2.2975510518262183	-2	2	0	0.45699948072433472	0.45699948072433472	18614	0	0
0	4	26	21	10	0	117	0	0	0.50011563301086426	0.50011563301086426	0	2.1515887241786231	-2	2	0	0.475942462682724	0.475942462682724	12065	0	0
0	5	25	48	21	0	253	0	0	0.50011563301086426	0.50011563301086426	0	2.1488723733045938	-2	2	0	0.47631844878196716	0.47631844878196716	7540	0	0
0	6	24	101	48	0	525	0	0	0.50011563301086426	0.50011563301086426	0	2.1875034693135462	-2	2	0	0.47105520963668823	0.47105520963668823	4565	0	0
0	7	23	216	101	0	1077	0	0	0.50011563301086426	0.50011563301086426	0	2.2248489252131409	-2	2	0	0.46613422036170959	0.46613422036170959	2672	0	0
0	8	22	471	216	0	1831	0	0	0.50011563301086426	0.50011563301086426	0	1.9562510079197413	-1	1	0	0.58156871795654297	0.58156871795654297	1697	0	0
0	9	21	781	471	0	2781	0	0	0.50011563301086426	0.50011563301086426	0	1.9117668272087776	-1	1	0	0.58734619617462158	0.58734619617462158	1082	0	0
0	10	20	1130	781	0	4099	0	0	0.50011563301086426	0.50011563301086426	0	1.9229397928161609	-1	1	0	0.58587217330932617	0.58587217330932617	689	0	0
0	11	19	1877	1130	0	5441	0	0	0.50011563301086426	0.50011563301086426	0	1.7809314239135883	-1	1	0	0.60584038496017456	0.60584038496017456	436	0	0
0	12	18	2554	1877	0	6553	0	0	0.50011563301086426	0.50011563301086426	0	1.7151159761401131	-1	1	0	0.61608284711837769	0.61608284711837769	279	0	0
0	13	17	3903	2554	0	6911	0	0	0.50011563301086426	0.50011563301086426	0	1.5299122319272842	-1	1	0	0.64887946844100952	0.64887946844100952	198	0	0
0	14	16	5766	3903	0	6951	0	0	0.50011563301086426	0.50011563301086426	0	1.5311006933243543	-1	1	0	0.64864826202392578	0.64864826202392578	143	0	0
0	15	15	8529	5766	0	6621	0	0	0.50011563301086426	0.50011563301086426	0	1.490172783518783	-1	1	0	0.65678036212921143	0.65678036212921143	98	0	0
0	16	14	13420	8529	0	5395	0	0	0.50011563301086426	0.50011563301086426	0	1.3162674963993608	-1	1	0	0.69557219743728638	0.69557219743728638	73	0	0
0	17	13	18405	13420	0	4367	0	0	0.50011563301086426	0.50011563301086426	0	1.3446822185549892	-1	1	0	0.68873095512390137	0.68873095512390137	52	0	0
0	18	12	26998	18405	0	2999	0	0	0.50011563301086426	0.50011563301086426	0	1.2013054416587519	-1	1	0	0.72545987367630005	0.72545987367630005	43	0	0
0	19	11	32321	26998	0	1949	0	0	0.50011563301086426	0.50011563301086426	0	1.1652328003029733	-1	1	0	0.73560482263565063	0.73560482263565063	36	0	0
0	20	10	43436	32321	0	1167	0	0	0.50011563301086426	0.50011563301086426	0	1.0480848911035192	-1	1	0	0.77119922637939453	0.77119922637939453	29	0	0
0	21	9	52771	43436	0	641	0	0	0.50011563301086426	0.50011563301086426	0	1.0395698032758403	-1	1	0	0.77394551038742065	0.77394551038742065	22	0	0
0	22	8	58052	52771	0	397	0	0	0.50011563301086426	0.50011563301086426	0	1.1268392437286148	-1	1	0	0.74682104587554932	0.74682104587554932	17	0	0
0	23	7	59483	58052	0	231	0	0	0.50011563301086426	0.50011563301086426	0	1.0466085861039351	-1	1	0	0.77167385816574097	0.77167385816574097	14	0	0
0	24	6	60362	59483	0	93	0	0	0.50011563301086426	0.50011563301086426	0	1.0197507664041834	-1	1	0	0.78042012453079224	0.78042012453079224	11	0	0
0	25	5	60503	60362	0	47	0	0	0.50011563301086426	0.50011563301086426	0	1.0128082695108387	-1	1	0	0.78271526098251343	0.78271526098251343	8	0	0
0	26	4	60526	60503	0	19	0	0	0.50011563301086426	0.50011563301086426	0	0.99968693414827736	0	0	0	1	1	7	0	0
0	27	3	60535	60526	0	9	0	0	0.50011563301086426	0.50011563301086426	0	0.93065276012491449	0	0	0	1	1	6	0	0
0	28	2	60536	60535	0	5	0	0	0.50011563301086426	0.50011563301086426	0	0.94864251478641604	0	0	0	1	1	5	0	0
0	29	1	60537	60536	0	1	0	0	0.50011563301086426	0.50011563301086426	0	0.8910581227719454	0	0	0	1	1	4	0	0
0	30	0	60542	60537	1	3	0	0.50011563301086426	0.50011563301086426	0.50011563301086426	0	1.000000000002	-1	1	0.99999999999800004	0.10650698095560074	0.10650698095560074	1	0	0
