phase	depth	coefficient	nodes
0	0	-1	1
0	1	29	5
0	2	28	19
0	3	27	57
0	4	26	147
0	5	25	335
0	6	24	725
0	7	23	1369
0	8	22	2567
0	9	21	4113
0	10	20	5863
0	11	19	8509
0	12	18	11043
0	13	17	14503
0	14	16	16781
0	15	15	16586
0	16	14	14023
0	17	13	11063
0	18	12	8917
0	19	11	6327
0	20	10	4233
0	21	9	2805
0	22	8	1583
0	23	7	1015
0	24	6	525
0	25	5	243
0	26	4	121
0	27	3	43
0	28	2	17
0	29	1	9
0	30	0	5
1	0	-1	1
1	1	29	5
1	2	28	17
1	3	27	41
1	4	26	99
1	5	25	245
1	6	24	473
1	7	23	891
1	8	22	1581
1	9	21	2417
1	10	20	3497
1	11	19	4281
1	12	18	5145
1	13	17	6213
1	14	16	6893
1	15	15	6611
1	16	14	5725
1	17	13	4743
1	18	12	3561
1	19	11	2625
1	20	10	1837
1	21	9	1203
1	22	8	775
1	23	7	423
1	24	6	199
1	25	5	91
1	26	4	49
1	27	3	19
1	28	2	3
1	29	1	5
1	30	0	3
