phase	depth	coefficient	nodes
0	0	-1	1
0	1	29	5
0	2	28	19
0	3	27	63
0	4	26	177
0	5	25	463
0	6	24	1091
0	7	23	2235
0	8	22	4431
0	9	21	7559
0	10	20	12469
0	11	19	18517
0	12	18	24772
0	13	17	27689
0	14	16	29377
0	15	15	28311
0	16	14	24847
0	17	13	20877
0	18	12	15809
0	19	11	11394
0	20	10	7998
0	21	9	5252
0	22	8	3088
0	23	7	1869
0	24	6	1175
0	25	5	663
0	26	4	326
0	27	3	155
0	28	2	72
0	29	1	31
0	30	0	12
1	0	-1	1
1	1	29	5
1	2	28	15
1	3	27	35
1	4	26	85
1	5	25	179
1	6	24	323
1	7	23	589
1	8	22	889
1	9	21	1295
1	10	20	1711
1	11	19	1987
1	12	18	2039
1	13	17	1887
1	14	16	1947
1	15	15	1667
1	16	14	1447
1	17	13	1167
1	18	12	771
1	19	11	483
1	20	10	311
1	21	9	221
1	22	8	129
1	23	7	69
1	24	6	39
1	25	5	17
1	26	4	7
1	27	3	3
1	28	2	3
1	29	1	1
1	30	0	3
