phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	29	1	0	0	5	0	0	0.57321047782897949	0.57321047782897949	0	2.4279968322568162	-2	2	0	0.43192002177238464	0.43192002177238464	95077	4.5255236887425433e-05	1.9874375201570924
0	2	28	3	1	0	21	0	0	0.57321047782897949	0.57321047782897949	0	2.3932259656418942	-2	2	0	0.43562605327925008	0.43562605327925008	52606	3.7779673804453719e-05	1.9874375201570924
0	3	27	12	3	0	63	0	0	0.57321047782897949	0.57321047782897949	0	2.3862274984707579	-2	2	0	0.43638506531715393	0.43638506531715393	28107	7.0709699368737053e-05	1.9874375201570924
0	4	26	36	12	-1	169	0	0.12142536661254612	0.57321047782897949	0.57321047782897949	0	2.1727129279606459	-2	2	-0.4602540847117898	0.19049526467181349	0.19049526467181349	6338	0.00031357486906864821	1.9874375201570924
0	5	25	108	36	0	395	0.12142536661254612	0.14506316044988138	0.57321047782897949	0.45178511121643339	-0.41620983755986712	1.819595390449585	-2	1	0.22873757525678834	0.40250316262245178	0.40250316262245178	3444	0.00057707245068440547	1.9874375201570924
0	6	24	350	108	0	849	0.14506316044988138	0.15042638274896034	0.57321047782897949	0.42814731737909811	-0.19647323113613346	1.7554444940818803	-1	1	0.11192221217959468	0.53850738149792765	0.53850738149792765	2281	0.00087130097332621323	1.9874375201570924
0	7	23	938	350	0	1573	0.15042638274896034	0.15048349915998563	0.57321047782897949	0.42278409508001913	-0.019709903214288591	1.695755979238317	-1	1	0.011623077527429207	0.59979231059241755	0.59979231059241755	1598	0.0012437030789468663	1.9874375201570924
0	8	22	1498	938	0	2891	0.15048349915998563	0.16155859321863797	0.57321047782897949	0.42272697866899384	-0.29481404703802899	1.8213962736453171	-2	1	0.16186156263951956	0.44761192131620764	0.44761192131620764	926	0.0021462608209039877	1.9874375201570924
0	9	21	3114	1498	0	4759	0.16155859321863797	0.18976351101562722	0.57321047782897949	0.41165188461034152	0.4361938229083806	1.6664110852388456	-1	2	-0.26175643379488273	0.40613722801208496	0.40613722801208496	480	0.0041404948336606091	1.9874375201570924
0	10	20	7346	3114	1	6995	0.18976351101562722	0.25350155393676349	0.57321047782897949	0.38344696681335227	0.3950371926155003	1.4838225490959598	-1	1	0.40770563013284977	0.374237060546875	0.374237060546875	205	0.0096948171714980116	1.9874375201570924
0	11	19	10967	7346	0	10325	0.25350155393676349	0.28793508485989538	0.57321047782897949	0.319708923892216	-0.46820532938538817	1.426668106769428	-1	0	0.32818097437223887	0.52082549714926885	0.52082549714926885	107	0.018574182431374694	1.9874375201570924
0	12	18	19797	10967	-1	13743	0.28793508485989538	0.32764359453701319	0.57321047782897949	0.28527539296908411	-0.52569030382560289	1.2713126407578392	-1	0	-0.37308658859213217	0.51874379757810241	0.51874379757810241	59	0.033685381697577836	1.9874375201570924
0	13	17	31623	19797	1	16795	0.32764359453701319	0.33253634238439223	0.57321047782897949	0.24556688329196633	0.84106103397085719	1.1260012308763221	0	1	0.14115345673773988	0.75248820467843414	0.75248820467843414	48	0.041404948336606094	1.9874375201570924
0	14	16	62012	31623	0	20053	0.33253634238439223	0.33321791654577415	0.57321047782897949	0.24067413544458729	-0.060584584831267933	1.1384665828917917	-1	1	0.05321595358326503	0.69301576454960945	0.69301576454960945	38	0.052300987372555063	1.9874375201570924
0	15	15	80254	62012	0	20097	0.33321791654577415	0.3390595761731639	0.57321047782897949	0.23999256128320531	-0.15883237638035011	1.0180516209303443	-1	0	0.15601603407418718	0.77346266468558711	0.77346266468558711	33	0.06022537939869977	1.9874375201570924
0	16	14	95092	80254	-1	19549	0.3390595761731639	0.35422032355725436	0.57321047782897949	0.23415090165581562	-0.73616744194675254	1.0368501619636388	-1	0	-0.25445581987814725	0.69698017835617065	0.69698017835617065	25	0.079497500806283691	1.9874375201570924
0	17	13	103500	95092	-1	15775	0.35422032355725436	0.39236222862081011	0.57321047782897949	0.21899015427172511	-0.62965716937844685	0.88739105366790849	-1	0	-0.41733892751205026	0.62978827953338623	0.62978827953338623	18	0.11041319556428292	1.9874375201570924
0	18	12	116359	103500	0	12036	0.39236222862081011	0.43193191401758879	0.57321047782897949	0.18084824920816936	-0.37354135907908947	0.79857286718300413	-1	0	0.46776114545034658	0.63774228096008301	0.63774228096008301	13	0.15287980924285327	1.9874375201570924
0	19	11	161706	116359	0	8939	0.43193191401758879	0.44685509709394405	0.57321047782897949	0.1412785638113907	0.23001277105108628	0.70771655101196651	0	0	-0.3250069123326142	1	1	12	0.16561979334642438	1.9874375201570924
0	20	10	163600	161706	0	5829	0.44685509709394405	0.44691912809562095	0.57321047782897949	0.12635538073503547	-0.013511482467515183	0.60021206976524177	0	0	0.022511180877785194	1	1	11	0.18067613819609932	1.9874375201570924
0	21	9	168121	163600	0	3733	0.44691912809562095	0.45081135624209834	0.57321047782897949	0.12629134973335857	0.1021973942839848	0.58214005250178946	0	0	-0.17555465191715297	1	1	10	0.19874375201570924	1.9874375201570924
0	22	8	168446	168121	-2	2382	0.45081135624209834	0.45584200429424426	0.57321047782897949	0.12239912158688117	-1.8833853676144536	0.57521503703334065	-2	-2	-0.20273223903704579	1	1	9	0.22082639112856584	1.9874375201570924
0	23	7	169039	168446	0	1294	0.45584200429424426	0.47225429620649539	0.57321047782897949	0.11736847353473526	0.1925076408371954	0.51480064640371315	0	0	-0.37394599673099183	1	1	8	0.24842969001963655	1.9874375201570924
0	24	6	169304	169039	0	632	0.47225429620649539	0.47257258158326171	0.57321047782897949	0.10095618162248411	0.023525312232788764	0.41898021120228035	0	0	-0.056148981750908822	1	1	7	0.28391964573672751	1.9874375201570924
0	25	5	169362	169304	0	328	0.47257258158326171	0.47262994652788037	0.57321047782897949	0.1006378962457178	-0.011345127040581359	0.47518951441254403	0	0	0.023874952406319074	1	1	6	0.33123958669284875	1.9874375201570924
0	26	4	169401	169362	-1	124	0.47262994652788037	0.50049564377125577	0.57321047782897949	0.10058053130109912	-1.2367618006697412	0.44981469558427151	-1	-1	0.52635408090037472	1	1	5	0.39748750403141847	1.9874375201570924
0	27	3	169424	169401	1	62	0.50049564377125577	0.51887258466423747	0.57321047782897949	0.072714834057723762	0.80662297498234181	0.38466243286118412	1	1	0.5027187697516684	1	1	4	0.4968593800392731	1.9874375201570924
0	28	2	169437	169424	1	28	0.51887258466423747	0.52663035672871161	0.57321047782897949	0.054337893164741996	0.87980446562801262	0.31810553277029702	1	1	0.3778479843630389	1	1	3	0.66247917338569751	1.9874375201570924
0	29	1	169446	169437	0	6	0.52663035672871161	0.52705840753320898	0.57321047782897949	0.046580121100267879	0.024640558520583042	0.25704146954379747	0	0	-0.095862191281101905	1	1	2	0.9937187600785462	1.9874375201570924
0	30	0	169455	169446	-1	5	0.52705840753320898	0.54236197471618652	0.57321047782897949	0.046152070295770488	-0.8567402599478825	0.24878455513482289	-1	-1	-0.57583856029358915	1	1	1	1.9874375201570924	1.9874375201570924
1	1	29	1	0	0	5	0	0	2.1694478988647461	2.1694478988647461	0	2.3617595071856137	-2	2	0	0.44938957691192627	0.44938957691192627	50380	0	0
1	2	28	3	1	0	17	0	0	2.1694478988647461	2.1694478988647461	0	2.327937212316908	-2	2	0	0.45334672927856445	0.45334672927856445	32299	0	0
1	3	27	12	3	0	53	0	0	2.1694478988647461	2.1694478988647461	0	2.2498603325809512	-2	2	0	0.46292683482170105	0.46292683482170105	20892	0	0
1	4	26	27	12	0	135	0	0	2.1694478988647461	2.1694478988647461	0	2.2129713357551291	-2	2	0	0.46768194437026978	0.46768194437026978	13431	0	0
1	5	25	62	27	0	283	0	0	2.1694478988647461	2.1694478988647461	0	1.9432455319823876	-1	1	0	0.58323287963867188	0.58323287963867188	9758	0	0
1	6	24	118	62	0	571	0	0	2.1694478988647461	2.1694478988647461	0	2.0205395324752966	-2	2	0	0.49517056345939636	0.49517056345939636	6651	0	0
1	7	23	224	118	0	1125	0	0	2.1694478988647461	2.1694478988647461	0	2.1376651073205148	-2	2	0	0.47787940502166748	0.47787940502166748	4172	0	0
1	8	22	467	224	0	1945	0	0	2.1694478988647461	2.1694478988647461	0	2.0730177977106505	-2	2	0	0.48719596862792969	0.48719596862792969	2633	0	0
1	9	21	906	467	0	3211	0	0	2.1694478988647461	2.1694478988647461	0	2.0396605180348661	-2	2	0	0.49222055077552795	0.49222055077552795	1626	0	0
1	10	20	1801	906	0	4735	0	0	2.1694478988647461	2.1694478988647461	0	1.8934693181385607	-1	1	0	0.58979427814483643	0.58979427814483643	1073	0	0
1	11	19	2247	1801	0	6009	0	0	2.1694478988647461	2.1694478988647461	0	1.7155979521224547	-1	1	0	0.61600536108016968	0.61600536108016968	766	0	0
1	12	18	3466	2247	0	7209	0	0	2.1694478988647461	2.1694478988647461	0	1.7385424122754518	-1	1	0	0.61235964298248291	0.61235964298248291	555	0	0
1	13	17	4383	3466	0	8195	0	0	2.1694478988647461	2.1694478988647461	0	1.6500244106756567	-1	1	0	0.62690365314483643	0.62690365314483643	410	0	0
1	14	16	6568	4383	0	8735	0	0	2.1694478988647461	2.1694478988647461	0	1.6044538428954584	-1	1	0	0.63492006063461304	0.63492006063461304	305	0	0
1	15	15	9213	6568	0	8113	0	0	2.1694478988647461	2.1694478988647461	0	1.465678118415624	-1	1	0	0.66181856393814087	0.66181856393814087	236	0	0
1	16	14	13568	9213	0	7575	0	0	2.1694478988647461	2.1694478988647461	0	1.4956742626189776	-1	1	0	0.65566664934158325	0.65566664934158325	171	0	0
1	17	13	19417	13568	0	6007	0	0	2.1694478988647461	2.1694478988647461	0	1.3367080362137054	-1	1	0	0.69062989950180054	0.69062989950180054	134	0	0
1	18	12	28072	19417	0	4931	0	0	2.1694478988647461	2.1694478988647461	0	1.417562409305744	-1	1	0	0.67210590839385986	0.67210590839385986	97	0	0
1	19	11	43971	28072	0	3567	0	0	2.1694478988647461	2.1694478988647461	0	1.2648674542473226	-1	1	0	0.70848679542541504	0.70848679542541504	76	0	0
1	20	10	54616	43971	0	2437	0	0	2.1694478988647461	2.1694478988647461	0	1.2357025479900372	-1	1	0	0.71613407135009766	0.71613407135009766	63	0	0
1	21	9	69635	54616	0	1569	0	0	2.1694478988647461	2.1694478988647461	0	1.1994585124269614	-1	1	0	0.72597014904022217	0.72597014904022217	44	0	0
1	22	8	74794	69635	0	969	0	0	2.1694478988647461	2.1694478988647461	0	1.1913671480043029	-1	1	0	0.72821724414825439	0.72821724414825439	35	0	0
1	23	7	76821	74794	0	593	0	0	2.1694478988647461	2.1694478988647461	0	1.1576397259148044	-1	1	0	0.73778855800628662	0.73778855800628662	28	0	0
1	24	6	78108	76821	0	307	0	0	2.1694478988647461	2.1694478988647461	0	1.1032071003507455	-1	1	0	0.75394219160079956	0.75394219160079956	21	0	0
1	25	5	78399	78108	0	157	0	0	2.1694478988647461	2.1694478988647461	0	1.0748820906773668	-1	1	0	0.76269680261611938	0.76269680261611938	16	0	0
1	26	4	78472	78399	0	71	0	0	2.1694478988647461	2.1694478988647461	0	1.0696534432085438	-1	1	0	0.76433902978897095	0.76433902978897095	9	0	0
1	27	3	78499	78472	0	29	0	0	2.1694478988647461	2.1694478988647461	0	1.0124813311345087	-1	1	0	0.78282368183135986	0.78282368183135986	6	0	0
1	28	2	78530	78499	0	7	0	0	2.1694478988647461	2.1694478988647461	0	0.87745314191167567	0	0	0	1	1	5	0	0
1	29	1	78537	78530	0	1	0	0	2.1694478988647461	2.1694478988647461	0	0.86514256959332103	0	0	0	1	1	4	0	0
1	30	0	78550	78537	1	3	0	2.1694478988647461	2.1694478988647461	2.1694478988647461	0	1.000000000002	-1	1	0.99999999999800004	0.10650698095560074	0.10650698095560074	1	0	0
