phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	30	1	0	0	5	0	0	0.56607818603515625	0.56607818603515625	0	2.5634647327794586	-2	2	0	0.4279460608959198	0.4279460608959198	171212	3.7590636656189489e-06	0.64359680831795152
0	2	29	3	1	0	23	0	0	0.56607818603515625	0.56607818603515625	0	2.9568183871945997	-2	2	0	0.39464649558067322	0.39464649558067322	84939	7.5771648867769994e-06	0.64359680831795152
0	3	28	12	3	0	91	0	0	0.56607818603515625	0.56607818603515625	0	2.7340086145391989	-2	2	0	0.4123024046421051	0.4123024046421051	44390	1.4498689081278475e-05	0.64359680831795152
0	4	27	33	12	0	259	0	0	0.56607818603515625	0.56607818603515625	0	2.5318519246001991	-2	2	0	0.43108069896697998	0.43108069896697998	24249	2.6541169051010412e-05	0.64359680831795152
0	5	26	93	33	-1	715	0	0.082269973916846692	0.56607818603515625	0.56607818603515625	0	2.6231162023019312	-2	2	-0.381225962891939	0.19698348641395569	0.19698348641395569	5721	0.00011249725717845682	0.64359680831795152
0	6	25	327	93	0	1677	0.082269973916846692	0.10275680384410943	0.56607818603515625	0.48380821211830954	0.45249970534165762	2.1989610537816455	-1	2	-0.20577886296052167	0.37184101343154907	0.37184101343154907	2758	0.00023335634819360098	0.64359680831795152
0	7	24	897	327	0	3627	0.10275680384410943	0.10310004496377274	0.56607818603515625	0.46332138219104679	0.057566161886938624	2.1149923035409306	-2	2	-0.027218142491847879	0.46714451909065247	0.46714451909065247	1609	0.00039999801635671317	0.64359680831795152
0	8	23	2645	897	0	6913	0.10310004496377274	0.1046570506129426	0.56607818603515625	0.46297814107138352	0.11652994391773569	2.0094290972849609	-1	2	-0.057991567891191122	0.49800953269004822	0.49800953269004822	968	0.00066487273586565243	0.64359680831795152
0	9	22	5669	2645	0	11349	0.1046570506129426	0.11819999970044429	0.56607818603515625	0.46142113542221364	0.31015211142857585	1.8103679853439394	-1	2	-0.17131992718577169	0.45320999622344971	0.45320999622344971	555	0.0011596338888611739	0.64359680831795152
0	10	21	13228	5669	-1	17405	0.11819999970044429	0.16548954243867414	0.56607818603515625	0.44787818633471199	-0.42425633832884829	1.7718484118439755	-2	1	-0.32493957035070015	0.3455827534198761	0.3455827534198761	242	0.0026594909434626097	0.64359680831795152
0	11	20	24486	13228	-1	23343	0.16548954243867414	0.16836026542909871	0.56607818603515625	0.40058864359648211	-0.87064768086504252	1.5280159669518631	-2	0	-0.084653774523700681	0.60639113187789917	0.60639113187789917	168	0.0038309333828449497	0.64359680831795152
0	12	19	42368	24486	-1	28333	0.16836026542909871	0.17074970267422204	0.56607818603515625	0.39771792060605754	-1.1122229609402645	1.4478430599492738	-2	0	0.077510445741402562	0.62743514776229858	0.62743514776229858	120	0.0053633067359829291	0.64359680831795152
0	13	18	60761	42368	-2	33887	0.17074970267422204	0.20601598168535568	0.56607818603515625	0.39532848336093424	-1.5633013190460452	1.4621135898030972	-3	-1	-0.298676302579723	0.47718259692192078	0.47718259692192078	64	0.010056200129967992	0.64359680831795152
0	14	17	80211	60761	-1	34825	0.20601598168535568	0.23508900692385742	0.56607818603515625	0.36006220434980057	-0.64523715875166754	1.2484805467960507	-1	0	-0.28415568200782371	0.61427652835845947	0.61427652835845947	42	0.015323733531379799	0.64359680831795152
0	15	16	113603	80211	0	32461	0.23508900692385742	0.25460928319715215	0.56607818603515625	0.33098917911129883	-0.27052155632348951	1.1139502496925286	-1	0	0.24284886726149452	0.69508832693099976	0.69508832693099976	32	0.020112400259935985	0.64359680831795152
0	16	15	141726	113603	-2	28607	0.25460928319715215	0.30338351679191067	0.56607818603515625	0.3114689028380041	-1.5832287423759177	1.0531976467176651	-2	-1	-0.39571989068050761	0.57837331295013428	0.57837331295013428	18	0.035755378239886199	0.64359680831795152
0	17	14	176327	141726	-2	23707	0.30338351679191067	0.31001104465022133	0.56607818603515625	0.26269466924324558	-1.8502912539571708	0.94253399191647214	-2	-1	-0.15883644232121927	0.81556642055511475	0.81556642055511475	16	0.04022480051987197	0.64359680831795152
0	18	13	233005	176327	-2	16942	0.31001104465022133	0.31126096456301378	0.56607818603515625	0.25606714138493492	-1.942350080610552	0.82515310361666883	-2	-2	-0.069865724477998936	1	1	15	0.042906453887863433	0.64359680831795152
0	19	12	252396	233005	4	10827	0.31126096456301378	0.31131248109143739	0.56607818603515625	0.25481722147214247	3.9892635474040818	0.75509553847187783	4	4	0.014218667769704773	1	1	14	0.045971200594139394	0.64359680831795152
0	20	11	270762	252396	-2	7084	0.31131248109143739	0.33680926656626164	0.56607818603515625	0.25476570494371886	-1.7427590498040628	0.81314476969319383	-2	-1	-0.31635320029543612	0.76748669147491455	0.76748669147491455	12	0.053633067359829291	0.64359680831795152
0	21	10	287743	270762	1	4131	0.33680926656626164	0.34097891803960828	0.56607818603515625	0.22926891946889458	1.0949979649917951	0.70442865904283414	1	1	-0.13485817729346322	1	1	11	0.058508800756177412	0.64359680831795152
0	22	9	289279	287743	-1	2341	0.34097891803960828	0.34161474688384308	0.56607818603515625	0.225099267995548	-0.96365865970468001	0.68378232230919833	-1	-1	-0.053147528255178982	1	1	10	0.064359680831795149	0.64359680831795152
0	23	8	289938	289279	-1	1255	0.34161474688384308	0.35137754763993034	0.56607818603515625	0.2244634391513132	-1.1416736441348661	0.67932040257922954	-1	-1	0.20855202287015465	1	1	9	0.071510756479772397	0.64359680831795152
0	24	7	290390	289938	2	638	0.35137754763993034	0.35226298002577067	0.56607818603515625	0.21470063839522591	1.9593844070972846	0.63245810707474104	2	2	0.064218629579390646	1	1	8	0.08044960103974394	0.64359680831795152
0	25	6	290539	290390	-1	324	0.35226298002577067	0.36686017470660137	0.56607818603515625	0.21381520600938556	-1.1662082378024945	0.63611720030269958	-1	-1	0.26128555826411137	1	1	7	0.091942401188278788	0.64359680831795152
0	26	5	290709	290539	1	138	0.36686017470660137	0.36872772013114302	0.56607818603515625	0.19921801132855488	1.058207161694398	0.60118084693089402	1	1	-0.096821384100230487	1	1	6	0.10726613471965858	0.64359680831795152
0	27	4	290850	290709	-1	58	0.36872772013114302	0.4306228530330421	0.56607818603515625	0.1973504659040132	-0.65710917635164412	0.61227523111184912	-1	-1	-0.56002726588447815	1	1	5	0.1287193616635903	0.64359680831795152
0	28	3	290904	290850	-2	32	0.4306228530330421	0.47956038837158033	0.56607818603515625	0.13545533300211418	-1.7069695853128148	0.48751693593391199	-2	-2	-0.60106714882805334	1	1	4	0.16089920207948788	0.64359680831795152
0	29	2	290949	290904	4	12	0.47956038837158033	0.48324398453013706	0.56607818603515625	0.086517797663575938	3.9255259314486262	0.36092902007629812	4	4	0.2063399294842804	1	1	3	0.21453226943931716	0.64359680831795152
0	30	1	290987	290949	2	6	0.48324398453013706	0.53048717095930398	0.56607818603515625	0.082834201505019175	1.7189416752086477	0.37216172622948812	2	2	0.75520480743374907	1	1	2	0.32179840415897576	0.64359680831795152
0	31	0	291016	290987	0	1	0.53048717095930398	0.54305458068847656	0.56607818603515625	0.035591015075852252	-0.14899945415582841	0.2507448243569303	0	0	0.59422743635071262	1	1	1	0.64359680831795152	0.64359680831795152
1	1	30	1	0	0	5	0	0	0.54305458068847656	0.54305458068847656	0	2.5107928187999762	-2	2	0	0.43321296572685242	0.43321296572685242	119447	0	0
1	2	29	3	1	0	21	0	0	0.54305458068847656	0.54305458068847656	0	2.8960641736679706	-2	2	0	0.39918258786201477	0.39918258786201477	60968	0	0
1	3	28	12	3	0	75	0	0	0.54305458068847656	0.54305458068847656	0	2.5966116654852818	-2	2	0	0.42474204301834106	0.42474204301834106	33957	0	0
1	4	27	33	12	0	211	0	0	0.54305458068847656	0.54305458068847656	0	2.2881010638279875	-2	2	0	0.4581548273563385	0.4581548273563385	20922	0	0
1	5	26	72	33	0	531	0	0	0.54305458068847656	0.54305458068847656	0	2.3515898480860282	-2	2	0	0.45056760311126709	0.45056760311126709	12285	0	0
1	6	25	171	72	0	1205	0	0	0.54305458068847656	0.54305458068847656	0	2.2908770798596261	-2	2	0	0.45781448483467102	0.45781448483467102	7158	0	0
1	7	24	358	171	0	2431	0	0	0.54305458068847656	0.54305458068847656	0	2.2007983892495644	-2	2	0	0.46928486227989197	0.46928486227989197	4247	0	0
1	8	23	795	358	0	4451	0	0	0.54305458068847656	0.54305458068847656	0	2.1029156946768315	-2	2	0	0.48281988501548767	0.48281988501548767	2508	0	0
1	9	22	1794	795	0	7539	0	0	0.54305458068847656	0.54305458068847656	0	2.09445175184673	-2	2	0	0.48404678702354431	0.48404678702354431	1445	0	0
1	10	21	3845	1794	0	11397	0	0	0.54305458068847656	0.54305458068847656	0	1.9728690796044626	-1	1	0	0.5794716477394104	0.5794716477394104	878	0	0
1	11	20	5559	3845	0	15159	0	0	0.54305458068847656	0.54305458068847656	0	1.8123083902790666	-1	1	0	0.601188063621521	0.601188063621521	579	0	0
1	12	19	9324	5559	0	19329	0	0	0.54305458068847656	0.54305458068847656	0	1.8058382679618061	-1	1	0	0.60213565826416016	0.60213565826416016	364	0	0
1	13	18	13373	9324	0	23953	0	0	0.54305458068847656	0.54305458068847656	0	1.8097281785169343	-1	1	0	0.60156524181365967	0.60156524181365967	237	0	0
1	14	17	20846	13373	0	25569	0	0	0.54305458068847656	0.54305458068847656	0	1.6175981073195733	-1	1	0	0.63256901502609253	0.63256901502609253	150	0	0
