phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	30	1	0	0	5	0	0	0.50474238395690918	0.50474238395690918	0	2.3259006050960336	-2	2	0	0.45358860492706299	0.45358860492706299	33351	0	0
0	2	29	3	1	0	17	0	0	0.50474238395690918	0.50474238395690918	0	2.3387860535449279	-2	2	0	0.45206514000892639	0.45206514000892639	21100	0	0
0	3	28	12	3	0	51	0	0	0.50474238395690918	0.50474238395690918	0	2.1889737662641484	-2	2	0	0.47085839509963989	0.47085839509963989	13941	0	0
0	4	27	27	12	0	141	0	0	0.50474238395690918	0.50474238395690918	0	2.2539808755936765	-2	2	0	0.46240505576133728	0.46240505576133728	8774	0	0
0	5	26	60	27	0	297	0	0	0.50474238395690918	0.50474238395690918	0	2.1376995150540385	-2	2	0	0.47787460684776306	0.47787460684776306	5781	0	0
0	6	25	131	60	0	549	0	0	0.50474238395690918	0.50474238395690918	0	1.9179520293957186	-1	1	0	0.58652830123901367	0.58652830123901367	4158	0	0
0	7	24	287	131	1	1057	0	0.11580145291896793	0.50474238395690918	0.50474238395690918	0	2.0877470712870188	-2	2	0.47898522467261179	0.18609003722667694	0.18609003722667694	727	0	0
0	8	23	961	287	0	1753	0.11580145291896793	0.14122623040766485	0.50474238395690918	0.38894093103794125	0.42824317429804981	1.6749571223001853	-1	2	-0.25567411165125942	0.41653203964233398	0.41653203964233398	398	0	0
0	9	22	1913	961	0	2589	0.14122623040766485	0.14285890718276334	0.50474238395690918	0.36351615354924433	-0.10351694013156208	1.544625413205869	-1	1	0.067017504209459275	0.61269962787628174	0.61269962787628174	304	0	0
0	10	21	2999	1913	0	3649	0.14285890718276334	0.15042367761665273	0.50474238395690918	0.36188347677414584	0.21906139874471786	1.5151385803398292	-1	1	-0.14458175746246577	0.57357758283615112	0.57357758283615112	214	0	0
0	11	20	4077	2999	0	4385	0.15042367761665273	0.15665824865698447	0.50474238395690918	0.35431870634025647	-0.18053954369629724	1.361024967746892	-1	1	0.13264969267622717	0.61686140298843384	0.61686140298843384	161	0	0
0	12	19	6621	4077	0	5053	0.15665824865698447	0.19086692243281864	0.50474238395690918	0.34808413529992471	0.42125062758273557	1.3437378705425793	0	1	-0.313491668886761	0.55833780765533447	0.55833780765533447	94	0	0
0	13	18	8510	6621	0	5349	0.19086692243281864	0.21229897381230622	0.50474238395690918	0.31387546152409057	0.31802980911355766	1.21706742842897	0	1	-0.26130829047333953	0.64521259069442749	0.64521259069442749	65	0	0
0	14	17	14640	8510	0	5037	0.21229897381230622	0.22970668439326641	0.50474238395690918	0.29244341014460296	-0.26518959091833399	1.0869424853331133	-1	0	0.2439775742476952	0.70351934432983398	0.70351934432983398	51	0	0
0	15	16	22357	14640	0	4733	0.22970668439326641	0.25335413975058818	0.50474238395690918	0.27503569956364277	-0.32566819941537212	1.1106511746732879	-1	0	0.29322275692111122	0.65200281143188477	0.65200281143188477	37	0	0
0	16	15	29581	22357	0	4537	0.25335413975058818	0.26960687776642173	0.50474238395690918	0.251388244206321	-0.28006307214953929	1.1014507003685081	-1	0	0.2542674602284421	0.68970000743865967	0.68970000743865967	25	0	0
0	17	14	41807	29581	0	3847	0.26960687776642173	0.2887901077790358	0.50474238395690918	0.23513550619048743	-0.26860607412561305	0.94040313713560852	-1	0	0.28562864533158122	0.72794729471206665	0.72794729471206665	19	0	0
0	18	13	47309	41807	0	2873	0.2887901077790358	0.29864443360626736	0.50474238395690918	0.21595227617787335	-0.18165022901050484	0.85035718145200268	-1	0	0.2136163872930823	0.81719940900802612	0.81719940900802612	17	0	0
0	19	12	49046	47309	0	2023	0.29864443360626736	0.31281172934141976	0.50474238395690918	0.20609795035064182	-0.20933328915505153	0.79842045340842405	-1	0	0.26218427679478445	0.81095212697982788	0.81095212697982788	15	0	0
0	20	11	50308	49046	0	1407	0.31281172934141976	0.32356873813555481	0.50474238395690918	0.19193065461548942	-0.18717377790488082	0.79062659073338226	0	0	0.23674106094921388	1	1	14	0	0
0	21	10	50464	50308	0	967	0.32356873813555481	0.36035045177348346	0.50474238395690918	0.18117364582135437	0.33124837991590889	0.73516579993311781	0	1	-0.4505764277201747	0.714668869972229	0.714668869972229	11	0	0
0	22	9	50690	50464	0	603	0.36035045177348346	0.37182593656363799	0.50474238395690918	0.14439193218342572	0.18045636785707511	0.64011522214267746	0	0	-0.28191232080535117	1	1	10	0	0
0	23	8	50768	50690	0	359	0.37182593656363799	0.3842226157991307	0.50474238395690918	0.13291644739327121	-0.17736398397696079	0.58076724699305926	0	0	0.30539598246159438	1	1	9	0	0
0	24	7	50828	50768	0	203	0.3842226157991307	0.433254715353105	0.50474238395690918	0.12051976815777847	0.37378114091339293	0.58601169599462566	0	0	-0.63783904565075589	1	1	8	0	0
