phase	depth	coefficient	nodes
0	0	-1	1
0	1	30	5
0	2	29	19
0	3	28	61
0	4	27	159
0	5	26	365
0	6	25	745
0	7	24	1263
0	8	23	1963
0	9	22	2959
0	10	21	4309
0	11	20	5963
0	12	19	7521
0	13	18	8873
0	14	17	9549
0	15	16	9913
0	16	15	9362
0	17	14	7939
0	18	13	6292
0	19	12	4541
0	20	11	3199
0	21	10	2155
0	22	9	1421
0	23	8	835
0	24	7	497
0	25	6	267
0	26	5	109
0	27	4	47
0	28	3	25
0	29	2	13
0	30	1	7
0	31	0	3
1	0	-1	1
1	1	30	5
1	2	29	21
1	3	28	57
1	4	27	151
1	5	26	323
1	6	25	575
1	7	24	891
1	8	23	1321
1	9	22	2029
1	10	21	2713
1	11	20	3265
1	12	19	3617
1	13	18	3913
1	14	17	3685
1	15	16	3561
1	16	15	3351
1	17	14	2921
1	18	13	2155
1	19	12	1509
1	20	11	937
1	21	10	647
1	22	9	385
1	23	8	213
1	24	7	121
1	25	6	63
1	26	5	35
1	27	4	19
1	28	3	9
1	29	2	5
1	30	1	3
1	31	0	3
