phase	depth	coefficient	nodes
0	0	-1	1
0	1	30	5
0	2	29	17
0	3	28	53
0	4	27	155
0	5	26	333
0	6	25	761
0	7	24	1575
0	8	23	2937
0	9	22	5069
0	10	21	7361
0	11	20	9871
0	12	19	11711
0	13	18	14173
0	14	17	15213
0	15	16	16321
0	16	15	15269
0	17	14	12131
0	18	13	10097
0	19	12	7563
0	20	11	5421
0	21	10	3451
0	22	9	2257
0	23	8	1391
0	24	7	861
0	25	6	465
0	26	5	213
0	27	4	77
0	28	3	33
0	29	2	17
0	30	1	7
0	31	0	3
1	0	-1	1
1	1	30	5
1	2	29	17
1	3	28	51
1	4	27	135
1	5	26	331
1	6	25	705
1	7	24	1297
1	8	23	2173
1	9	22	3653
1	10	21	5735
1	11	20	7945
1	12	19	9999
1	13	18	10983
1	14	17	11441
1	15	16	11179
1	16	15	9575
1	17	14	8281
1	18	13	6277
1	19	12	4911
1	20	11	3267
1	21	10	2253
1	22	9	1535
1	23	8	965
1	24	7	547
1	25	6	277
1	26	5	127
1	27	4	71
1	28	3	33
1	29	2	13
1	30	1	5
1	31	0	3
