phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	30	1	0	0	5	0	0	0.58614444732666016	0.58614444732666016	0	2.3156057661865868	-2	2	0	0.45481774210929871	0.45481774210929871	87195	9.5856295423589836e-06	0.83581896794599153
0	2	29	3	1	0	17	0	0	0.58614444732666016	0.58614444732666016	0	2.4432726760772705	-2	2	0	0.4402981698513031	0.4402981698513031	49940	1.6736463114657419e-05	0.83581896794599153
0	3	28	12	3	0	53	0	0	0.58614444732666016	0.58614444732666016	0	2.3708296526125272	-2	2	0	0.44834733009338379	0.44834733009338379	27007	3.0948234455733388e-05	0.83581896794599153
0	4	27	32	12	-1	155	0	0.11755860135796274	0.58614444732666016	0.58614444732666016	0	2.2329300706977349	-2	2	-0.44784205879207178	0.18990945816040039	0.18990945816040039	6057	0.00013799223509096772	0.83581896794599153
0	5	26	104	32	0	333	0.11755860135796274	0.13085489340530418	0.58614444732666016	0.4685858459686974	-0.32078869712935171	1.9043570058872821	-2	1	0.16844987370416353	0.43931254744529724	0.43931254744529724	3434	0.00024339515665288046	0.83581896794599153
0	6	25	445	104	1	761	0.13085489340530418	0.22381551219815368	0.58614444732666016	0.455289553921356	0.073044735646435405	2.0514130563650745	-1	2	0.45186183322633655	0.22009235620498657	0.22009235620498657	863	0.00096850401847739455	0.83581896794599153
0	7	24	1189	445	0	1575	0.22381551219815368	0.23239653812619093	0.58614444732666016	0.3623289351285065	-0.27050770654424072	1.7577679599358766	-2	1	0.1538927279992684	0.47532016038894653	0.47532016038894653	529	0.001579998049047243	0.83581896794599153
0	8	23	3157	1189	1	2937	0.23239653812619093	0.23274546378634725	0.58614444732666016	0.35374790920046922	0.9471550437192201	1.682612183955003	0	2	0.031406498053857625	0.60603994131088257	0.60603994131088257	374	0.0022348100747219025	0.83581896794599153
0	9	22	4748	3157	0	5069	0.23274546378634725	0.23489709512813547	0.58614444732666016	0.35339898354031291	-0.12946457057495803	1.6592034888768237	-1	1	0.078028145096655621	0.5851779580116272	0.5851779580116272	253	0.003303632284371508	0.83581896794599153
0	10	21	6505	4748	-1	7361	0.23489709512813547	0.23575015141210623	0.58614444732666016	0.35124735219852471	-1.0720446650378241	1.4619062162562164	-2	0	0.049281317937290584	0.63911324739456177	0.63911324739456177	195	0.0042862511176717513	0.83581896794599153
0	11	20	9815	6505	1	9871	0.23575015141210623	0.25052748727669855	0.58614444732666016	0.35039429591455395	0.71239756883864092	1.4004673703981738	0	2	0.20536175082721805	0.56024271249771118	0.56024271249771118	129	0.00647921680578288	0.83581896794599153
0	12	19	13746	9815	0	11711	0.25052748727669855	0.25079252397091589	0.58614444732666016	0.33561696004996161	-0.035953228051585455	1.279401442859444	-1	1	0.02810160036339376	0.6925998330116272	0.6925998330116272	104	0.0080367208456345336	0.83581896794599153
0	13	18	21524	13746	-1	14171	0.25079252397091589	0.25542602445114654	0.58614444732666016	0.33535192335574426	-0.84188740255667949	1.3451238335775257	-2	0	-0.1175450122111064	0.62977039813995361	0.62977039813995361	77	0.010854791791506384	0.83581896794599153
0	14	17	32467	21524	-1	15189	0.25542602445114654	0.25952292741871169	0.58614444732666016	0.33071842287551362	-0.86492000496288268	1.2136470122219678	-2	0	-0.11130089200303005	0.66987127065658569	0.66987127065658569	60	0.013930316132433193	0.83581896794599153
0	15	16	40301	32467	0	16117	0.25952292741871169	0.2852477075371968	0.58614444732666016	0.32662151990794847	-0.3473214952672965	1.2375940824012717	-1	0	0.28064249838153527	0.62092322111129761	0.62092322111129761	41	0.020385828486487598	0.83581896794599153
