phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	30	1	0	0	5	0	0	0.58178472518920898	0.58178472518920898	0	2.2115718586262032	-2	2	0	0.4383396142968593	0.4383396142968593	276152	5.4200806207472007e-05	4.0133526132032191
0	2	29	3	1	0	19	0	0	0.58178472518920898	0.58178472518920898	0	2.2038381283722503	-2	2	0	0.43925734699879071	0.43925734699879071	153142	2.620674023588055e-05	4.0133526132032191
0	3	28	12	3	0	67	0	0	0.58178472518920898	0.58178472518920898	0	2.2187278735372491	-2	2	0	0.43749615550041199	0.43749615550041199	85392	4.6999164010717857e-05	4.0133526132032191
0	4	27	27	12	0	183	0	0	0.58178472518920898	0.58178472518920898	0	2.2628344696326623	-2	2	0	0.43241539597511292	0.43241539597511292	46839	8.5683994389359699e-05	4.0133526132032191
0	5	26	62	27	0	465	0	0	0.58178472518920898	0.58178472518920898	0	2.1556883455488816	-2	2	0	0.4451185531186842	0.4451185531186842	26094	0.0001538036565188633	4.0133526132032191
0	6	25	190	62	-1	1157	0	0.11568037342097195	0.58178472518920898	0.58178472518920898	0	2.2425974106654181	-2	2	-0.44591151102028714	0.1950892776982594	0.1950892776982594	6065	0.0006617234316905555	4.0133526132032191
0	7	24	564	190	0	2495	0.11568037342097195	0.13986402263254213	0.58178472518920898	0.46610435176823706	-0.42793536973309754	1.8787060970691014	-2	1	0.2277819667486593	0.38311341404914856	0.38311341404914856	2830	0.001418145799718452	4.0133526132032191
0	8	23	1739	564	0	4659	0.13986402263254213	0.16541903915389916	0.58178472518920898	0.44192070255666688	-0.41248856528218292	1.7153233695592081	-2	1	0.24047277184137086	0.39978448152220969	0.39978448152220969	1377	0.0029145625368215099	4.0133526132032191
0	9	22	4993	1739	0	8159	0.16541903915389916	0.16900980778299121	0.58178472518920898	0.41636568603530982	-0.15150605307535567	1.6314498888567619	-1	1	0.092865894386448794	0.54850879449223033	0.54850879449223033	847	0.0047383147735575197	4.0133526132032191
0	10	21	10990	4993	0	14223	0.16900980778299121	0.16903205479216357	0.58178472518920898	0.4127749174062178	0.012660169666215935	1.7244887225491619	-1	1	-0.0073414047309636838	0.57375934663937467	0.57375934663937467	526	0.0076299479338464244	4.0133526132032191
0	11	20	21476	10990	1	23123	0.16903205479216357	0.21650830972329432	0.58178472518920898	0.41275267039704538	0.44123328530633155	1.6475448536145827	-1	2	0.33915113962923593	0.34755990168124362	0.34755990168124362	214	0.018753984173846817	4.0133526132032191
0	12	19	41093	21476	1	34097	0.21650830972329432	0.32988484962215753	0.58178472518920898	0.36527641546591466	0.17652319059680924	1.4780890169496934	-1	1	0.55712260896342058	0.26507642470186316	0.26507642470186316	62	0.06473149376134224	4.0133526132032191
0	13	18	76668	41093	0	47187	0.32988484962215753	0.33300021036988459	0.58178472518920898	0.25189987556705146	0.13284711488980488	1.1945709018284731	-1	1	-0.11120906652460905	0.61218363958870825	0.61218363958870825	48	0.083611512775067065	4.0133526132032191
0	14	17	141442	76668	0	55997	0.33300021036988459	0.35205946139062549	0.58178472518920898	0.24878451481932437	0.29605874657829545	1.0696375820752972	0	1	-0.27678416646868936	0.64814410656175592	0.64814410656175592	36	0.11148201703342275	4.0133526132032191
0	15	16	206410	141442	-1	65698	0.35205946139062549	0.37275858515452642	0.58178472518920898	0.22972526379858352	-0.67101296090271234	1.0959915037687917	-1	0	-0.300172983062367	0.62073487390822946	0.62073487390822946	25	0.16053410452812877	4.0133526132032191
0	16	15	328718	206410	0	62301	0.37275858515452642	0.37276345100233915	0.58178472518920898	0.20902614003468259	-0.004508675009794641	0.93447991544762143	0	0	0.0048247960552848896	1	1	22	0.18242511878196452	4.0133526132032191
0	17	14	472002	328718	0	52205	0.37276345100233915	0.37464962193350765	0.58178472518920898	0.20902127418686986	0.084225028912696245	0.8866370810439278	0	0	-0.094993803793463699	1	1	21	0.1911120292001533	4.0133526132032191
0	18	13	475591	472002	-2	39967	0.37464962193350765	0.40673737433882828	0.58178472518920898	0.20713510325570134	-1.6653368320209843	0.85028618212780738	-2	-1	-0.39358885868465421	0.68520444631576538	0.68520444631576538	14	0.28666804380022992	4.0133526132032191
0	19	12	480952	475591	0	29030	0.40673737433882828	0.40857026979417854	0.58178472518920898	0.17504735085038067	0.079566118420175067	0.77756570211095755	0	0	-0.10232719653679001	1	1	13	0.308719431784863	4.0133526132032191
0	20	11	482888	480952	0	18888	0.40857026979417854	0.42801230348005098	0.58178472518920898	0.17321445539503041	-0.23769237384928696	0.70947397412091329	0	0	0.33502620606175731	1	1	12	0.33444605110026826	4.0133526132032191
0	21	10	483746	482888	1	10885	0.42801230348005098	0.44890461242804236	0.58178472518920898	0.153772421709158	1.2301917993744902	0.62450490682053927	1	1	-0.36859886425302207	1	1	11	0.36485023756392904	4.0133526132032191
0	22	9	484401	483746	-1	6707	0.44890461242804236	0.45667884282399412	0.58178472518920898	0.1328801127611666	-1.1479204471678301	0.6115465232091325	-1	-1	0.24187930362453455	1	1	10	0.40133526132032193	4.0133526132032191
0	23	8	484528	484401	1	4033	0.45667884282399412	0.46495268757610908	0.58178472518920898	0.12510588236521483	1.1518994039920638	0.59066501870399857	1	1	-0.25716675134300709	1	1	9	0.44592806813369101	4.0133526132032191
0	24	7	484926	484528	-1	2161	0.46495268757610908	0.46620581389420801	0.58178472518920898	0.11683203761309992	-0.9453382910527075	0.5277968031347382	-1	-1	-0.1035658204495381	1	1	8	0.50166907665040239	4.0133526132032191
0	25	6	485014	484926	1	1118	0.46620581389420801	0.4676198573789167	0.58178472518920898	0.115578911295001	1.0556477510431135	0.50310140997906527	1	1	-0.11060941181903883	1	1	7	0.57333608760045984	4.0133526132032191
0	26	5	485205	485014	1	566	0.4676198573789167	0.50063607739714389	0.58178472518920898	0.11416486781029229	1.270791163607712	0.5035435675756833	1	1	-0.53777107095507026	1	1	6	0.66889210220053652	4.0133526132032191
0	27	4	485289	485205	-1	286	0.50063607739714389	0.50510978554886721	0.58178472518920898	0.081148647792065084	-1.0973185936629932	0.41447910704798541	-1	-1	0.2347973444454616	1	1	5	0.80267052264064387	4.0133526132032191
0	28	3	485505	485289	1	107	0.50510978554886721	0.54422060122132399	0.58178472518920898	0.076674939640341791	0.74643146010629025	0.35503703217479338	1	1	0.71420307436794861	1	1	4	1.0033381533008048	4.0133526132032191
0	29	2	485594	485505	-2	48	0.54422060122132399	0.54519900202555027	0.58178472518920898	0.037564123967884999	-1.9611758098104155	0.2405640008015579	-2	-2	-0.16138819632290133	1	1	3	1.337784204401073	4.0133526132032191
0	30	1	485695	485594	0	21	0.54519900202555027	0.55216169120312419	0.58178472518920898	0.036585723163658754	0.097011945588629661	0.2223783647483796	0	0	-0.43624722979862884	1	1	2	2.0066763066016096	4.0133526132032191
0	31	0	485864	485695	-1	7	0.55216169120312419	0.55633306503295898	0.58178472518920898	0.029623033986084738	-1.0760758929649457	0.20273198424845076	-1	-1	0.3752535311434313	1	1	1	4.0133526132032191	4.0133526132032191
1	1	30	1	0	0	5	0	0	0.55633306503295898	0.55633306503295898	0	2.1162457051155501	-2	2	0	0.48090651631355286	0.48090651631355286	51553	0	0
1	2	29	3	1	0	17	0	0	0.55633306503295898	0.55633306503295898	0	2.0780943946962034	-2	2	0	0.48644453287124634	0.48644453287124634	37776	0	0
1	3	28	12	3	0	41	0	0	0.55633306503295898	0.55633306503295898	0	2.1424285248356685	-2	2	0	0.47721406817436218	0.47721406817436218	26411	0	0
1	4	27	25	12	0	89	0	0	0.55633306503295898	0.55633306503295898	0	2.1380008809784581	-2	2	0	0.47783243656158447	0.47783243656158447	18212	0	0
1	5	26	48	25	0	215	0	0	0.55633306503295898	0.55633306503295898	0	2.1489680753459748	-2	2	0	0.47630521655082703	0.47630521655082703	12249	0	0
1	6	25	109	48	0	443	0	0	0.55633306503295898	0.55633306503295898	0	2.0278105993038347	-2	2	0	0.49404266476631165	0.49404266476631165	8532	0	0
1	7	24	206	109	0	905	0	0	0.55633306503295898	0.55633306503295898	0	2.1987044619386369	-2	2	0	0.46956232190132141	0.46956232190132141	5421	0	0
1	8	23	393	206	0	1583	0	0	0.55633306503295898	0.55633306503295898	0	2.0109592182416405	-2	2	0	0.4966682493686676	0.4966682493686676	3676	0	0
1	9	22	650	393	0	2373	0	0	0.55633306503295898	0.55633306503295898	0	1.8394958011882292	-1	1	0	0.59727102518081665	0.59727102518081665	2689	0	0
1	10	21	984	650	0	3479	0	0	0.55633306503295898	0.55633306503295898	0	1.8814493974624478	-1	1	0	0.59142589569091797	0.59142589569091797	1884	0	0
