phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	30	1	0	0	5	0	0	0.61226367950439453	0.61226367950439453	0	2.2849983840894383	-2	2	0	0.45853620767593384	0.45853620767593384	179312	1.5500955272044888e-05	1.001253275673099
0	2	29	3	1	0	19	0	0	0.61226367950439453	0.61226367950439453	0	2.7261391202238467	-2	2	0	0.4129803478717804	0.4129803478717804	100951	2.7533231882209318e-05	1.001253275673099
0	3	28	12	3	0	61	0	0	0.61226367950439453	0.61226367950439453	0	2.4888559060054432	-2	2	0	0.43547269701957703	0.43547269701957703	60398	4.6019856481024423e-05	1.001253275673099
0	4	27	27	12	0	173	0	0	0.61226367950439453	0.61226367950439453	0	2.4346791557975309	-2	2	0	0.44122812151908875	0.44122812151908875	35883	2.7903276639999415e-05	1.001253275673099
0	5	26	64	27	0	457	0	0	0.61226367950439453	0.61226367950439453	0	2.3668543579074632	-2	2	0	0.44880315661430359	0.44880315661430359	21601	4.6352172384292346e-05	1.001253275673099
0	6	25	143	64	0	1055	0	0	0.61226367950439453	0.61226367950439453	0	2.325760544677212	-2	2	0	0.45360526442527771	0.45360526442527771	13024	7.6877554950330077e-05	1.001253275673099
0	7	24	330	143	0	2169	0	0	0.61226367950439453	0.61226367950439453	0	2.16253308103063	-2	2	0	0.47443670034408569	0.47443670034408569	8323	0.00012029956454080247	1.001253275673099
0	8	23	759	330	0	3869	0	0	0.61226367950439453	0.61226367950439453	0	2.0902562764320924	-2	2	0	0.48465842008590698	0.48465842008590698	5418	0.00018480126904265391	1.001253275673099
0	9	22	1628	759	0	6073	0	0	0.61226367950439453	0.61226367950439453	0	1.9592317346170802	-1	1	0	0.58119016885757446	0.58119016885757446	3685	0.00027171052257071883	1.001253275673099
0	10	21	2302	1628	0	9497	0	0	0.61226367950439453	0.61226367950439453	0	2.0228173233458677	-2	2	0	0.49481642246246338	0.49481642246246338	2406	0.00041614849362971694	1.001253275673099
0	11	20	5276	2302	0	12941	0	0	0.61226367950439453	0.61226367950439453	0	1.8407165189039896	-1	1	0	0.59709757566452026	0.59709757566452026	1673	0.00059847774995403402	1.001253275673099
0	12	19	8188	5276	0	17839	0	0	0.61226367950439453	0.61226367950439453	0	1.9561723985459205	-1	1	0	0.58157873153686523	0.58157873153686523	1034	0.00096833005384245544	1.001253275673099
0	13	18	12323	8188	0	21895	0	0	0.61226367950439453	0.61226367950439453	0	1.8052511023452258	-1	1	0	0.60222196578979492	0.60222196578979492	705	0.0014202174123022679	1.001253275673099
0	14	17	17832	12323	0	26439	0	0	0.61226367950439453	0.61226367950439453	0	1.8246773490556445	-1	1	0	0.59939312934875488	0.59939312934875488	436	0.0022964524671401352	1.001253275673099
0	15	16	23719	17832	0	27397	0	0	0.61226367950439453	0.61226367950439453	0	1.6308862784192772	-1	1	0	0.63022446632385254	0.63022446632385254	301	0.0033264228427677708	1.001253275673099
0	16	15	29596	23719	0	26563	0	0	0.61226367950439453	0.61226367950439453	0	1.5732784892899183	-1	1	0	0.64062631130218506	0.64062631130218506	210	0.0047678727413004709	1.001253275673099
0	17	14	46454	29596	-1	26179	0	0.22811554882439047	0.61226367950439453	0.61226367950439453	0	1.6382938623132173	-1	1	-0.61039110443106515	0.18553432822227478	0.18553432822227478	39	0.025673160914694845	1.001253275673099
0	18	13	149985	46454	1	24203	0.22811554882439047	0.30847431688002286	0.61226367950439453	0.38414813068000403	0.42844744510382565	1.249651450006154	0	1	0.45736957684749591	0.44299095869064331	0.44299095869064331	20	0.050062663783654947	1.001253275673099
0	19	12	209051	149985	1	19071	0.30847431688002286	0.32244339717976694	0.61226367950439453	0.30378936262437167	0.78677417275198558	0.99435664977408733	0	1	0.21443596449670069	0.76016914844512939	0.76016914844512939	17	0.05889725151018229	1.001253275673099
0	20	11	256609	209051	0	13481	0.32244339717976694	0.35532323258444387	0.61226367950439453	0.28982028232462759	-0.30275316718225537	0.89885215771670945	-1	0	0.33682198410839642	0.7063603401184082	0.7063603401184082	12	0.083437772972758242	1.001253275673099
0	21	10	258671	256609	0	8761	0.35532323258444387	0.36364088454651972	0.57813072204589844	0.22280748946145457	-0.14725415063131497	0.76213527918350843	0	0	0.19321261546778343	1	1	11	0.09102302506119081	1.001253275673099
0	22	9	259038	258671	-1	5270	0.36364088454651972	0.39655108254458149	0.57813072204589844	0.21448983749937875	-0.73004085248034689	0.68918554596287485	-1	-1	-0.39170750039815155	1	1	10	0.10012532756730989	1.001253275673099
0	23	8	259278	259038	0	2921	0.39655108254458149	0.43755309158829486	0.57813072204589844	0.18157963950131695	-0.28855401515159301	0.60723686296911994	0	0	0.47519186127912488	1	1	9	0.11125036396367766	1.001253275673099
0	24	7	259592	259278	0	1682	0.43755309158829486	0.47499181062678353	0.57813072204589844	0.14057763045760358	0.28345441743089073	0.54926363712227344	0	0	-0.51606259412324784	1	1	8	0.12515665945913737	1.001253275673099
0	25	6	259660	259592	-1	899	0.47499181062678353	0.48571052990965496	0.57813072204589844	0.10313891141911488	-0.8521860689832661	0.45851673372949697	-1	-1	-0.32237412539874077	1	1	7	0.14303618223901413	1.001253275673099
0	26	5	259689	259660	1	439	0.48571052990965496	0.50822820383762179	0.57813072204589844	0.092420192136243445	1.2068929497796701	0.41914796520165631	1	1	-0.49360361246208539	1	1	6	0.16687554594551648	1.001253275673099
0	27	4	259721	259689	0	213	0.50822820383762179	0.51760889828079648	0.57813072204589844	0.069902518208276629	0.1284431069904638	0.35062244841814089	0	0	-0.36632881770675085	1	1	5	0.20025065513461979	1.001253275673099
0	28	3	259726	259721	1	104	0.51760889828079648	0.56221844185811665	0.57813072204589844	0.060521823765101922	0.71664332130678243	0.33004683072056257	1	1	0.85853476633782411	1	1	4	0.25031331891827474	1.001253275673099
0	29	2	259737	259726	0	46	0.56221844185811665	0.56639513359348548	0.57813072204589844	0.015912280187781749	0.083072719777658108	0.1621468165774716	0	0	-0.5123302543406214	1	1	3	0.33375109189103297	1.001253275673099
0	30	1	259742	259737	0	24	0.56639513359348548	0.57377701653452273	0.57813072204589844	0.011735588452412958	0.10616492615040853	0.13385972256107501	0	0	-0.79310582839412036	1	1	2	0.50062663783654948	1.001253275673099
0	31	0	259748	259742	0	3	0.57377701653452273	0.57396364212036133	0.57813072204589844	0.0043537055113757354	-0.016152794906836437	0.078017424921642542	0	0	0.20704086200050353	1	1	1	1.001253275673099	1.001253275673099
