phase	depth	coefficient	nodes
0	0	-1	1
0	1	31	5
0	2	30	17
0	3	29	49
0	4	28	149
0	5	27	345
0	6	26	623
0	7	25	1251
0	8	24	2269
0	9	23	3963
0	10	22	6017
0	11	21	8355
0	12	20	10701
0	13	19	12525
0	14	18	14185
0	15	17	14577
0	16	16	13765
0	17	15	12133
0	18	14	10517
0	19	13	8193
0	20	12	6097
0	21	11	4195
0	22	10	2688
0	23	9	1561
0	24	8	989
0	25	7	483
0	26	6	277
0	27	5	127
0	28	4	83
0	29	3	35
0	30	2	23
0	31	1	13
0	32	0	7
1	0	-1	1
1	1	31	5
1	2	30	15
1	3	29	41
1	4	28	109
1	5	27	243
1	6	26	451
1	7	25	777
1	8	24	1317
1	9	23	1935
1	10	22	2759
1	11	21	3919
1	12	20	4989
1	13	19	5297
1	14	18	5555
1	15	17	5311
1	16	16	5173
1	17	15	4697
1	18	14	3743
1	19	13	2591
1	20	12	1979
1	21	11	1589
1	22	10	1085
1	23	9	643
1	24	8	363
1	25	7	211
1	26	6	133
1	27	5	61
1	28	4	35
1	29	3	19
1	30	2	11
1	31	1	5
1	32	0	5
