phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	31	1	0	0	5	0	0	2.1781253814697266	2.1781253814697266	0	2.0589309925110717	-2	2	0	0.4762644838730169	0.4762644838730169	97523	5.7216588566575172e-05	1.4619263513052059
0	2	30	3	1	0	17	0	0	2.1781253814697266	2.1781253814697266	0	2.4175303920874254	-2	2	0	0.43191254782546384	0.43191254782546384	57872	9.6418533432024298e-05	1.4619263513052059
0	3	29	12	3	0	49	0	0	2.1781253814697266	2.1781253814697266	0	2.2183263410698992	-2	2	0	0.45481237769126892	0.45481237769126892	36145	0.00011647353462129001	1.4619263513052059
0	4	28	27	12	0	149	0	0	2.1781253814697266	2.1781253814697266	0	2.2305558795477172	-2	2	0	0.45328984339967138	0.45328984339967138	22028	0.00019111748269868021	1.4619263513052059
0	5	27	58	27	0	345	0	0	2.1781253814697266	2.1781253814697266	0	2.0427439334201485	-2	2	0	0.47862309217453003	0.47862309217453003	14519	0.00028996045932133945	1.4619263513052059
0	6	26	129	58	0	623	0	0	2.1781253814697266	2.1781253814697266	0	1.8976059865400978	-1	1	0	0.57847486202493725	0.57847486202493725	10024	0.00041998562538772224	1.4619263513052059
0	7	25	209	129	0	1251	0	0	2.1781253814697266	2.1781253814697266	0	2.0700661489467005	-2	2	0	0.47466240747756983	0.47466240747756983	6061	0.00024120216982432039	1.4619263513052059
0	8	24	451	209	0	2269	0	0	2.1781253814697266	2.1781253814697266	0	2.0334415424026795	-2	2	0	0.47999471426010132	0.47999471426010132	3708	0.00039426277003916014	1.4619263513052059
0	9	23	936	451	0	3963	0	0	2.1781253814697266	2.1781253814697266	0	2.0153259360021747	-2	2	0	0.48270033351479968	0.48270033351479968	2191	0.00066724160260392786	1.4619263513052059
0	10	22	2065	936	0	6017	0	0	2.1781253814697266	2.1781253814697266	0	1.8864593022173071	-1	1	0	0.57992889225271027	0.57992889225271027	1310	0.0011159743139734395	1.4619263513052059
0	11	21	3684	2065	-1	8355	0	0.66889107639825418	2.1781253814697266	2.1781253814697266	0	1.8045284640141737	-1	1	-0.55416138894007794	0.20444038510322571	0.20444038510322571	268	0.0054549490720343504	1.4619263513052059
0	12	20	7276	3684	0	10701	0.66889107639825418	0.75751558152534326	2.1781253814697266	1.5092343050714723	0.35421757118910702	1.4617446849814615	-1	1	-0.24232519866737151	0.50942371757555849	0.50942371757555849	161	0.0090802878963056263	1.4619263513052059
0	13	19	13763	7276	0	12525	0.75751558152534326	0.76986983022984223	2.1781253814697266	1.4206097999443832	0.12447569811338784	1.3347926416873173	-1	1	-0.093254708054157046	0.6275352333118801	0.6275352333118801	123	0.011885580091912243	1.4619263513052059
0	14	18	22495	13763	0	14185	0.76986983022984223	0.87056600399466311	2.1781253814697266	1.4082555512398844	-0.34703531283655109	1.2978004506298477	-1	0	0.26740267555626762	0.60869135186461376	0.60869135186461376	77	0.018986056510457219	1.4619263513052059
0	15	17	33013	22495	0	14577	0.87056600399466311	0.88915950295370016	2.1781253814697266	1.3075593774750633	-0.14158851550141757	1.1873484136013164	-1	1	0.1192476562729966	0.65271961688995361	0.65271961688995361	59	0.024778412733986541	1.4619263513052059
0	16	16	58220	33013	0	13765	0.88915950295370016	0.88959290228403376	2.1781253814697266	1.2889658785160265	-0.021151564510361688	1.1535039570112142	-1	1	0.018336794062819201	0.7084446338282635	0.7084446338282635	47	0.031104815985217145	1.4619263513052059
0	17	15	85398	58220	0	12133	0.88959290228403376	0.89015259732943042	2.1781253814697266	1.2885324791856927	0.023051499890176377	1.1060407872270077	-1	1	-0.020841455537973039	0.72157813193765474	0.72157813193765474	41	0.035656740275736731	1.4619263513052059
0	18	14	105072	85398	0	10517	0.89015259732943042	0.89034673167798417	2.1781253814697266	1.2879727841402961	-0.013798229298845128	1.1238944057216009	-1	1	0.012277158092966856	0.71949189901351929	0.71949189901351929	34	0.042997833861917821	1.4619263513052059
0	19	13	123209	105072	0	8191	0.89034673167798417	1.0385415322866214	2.1781253814697266	1.2877786497917423	-0.35676802620451631	1.051695589459599	-1	0	0.33923126594819825	0.62425049019606382	0.62425049019606382	25	0.058477054052208238	1.4619263513052059
0	20	12	129320	123209	0	6083	1.0385415322866214	1.1477973173356113	2.1781253814697266	1.1395838491831052	-0.30028155232855608	0.9697941814372929	-1	0	0.30963431012085563	0.68159480934127592	0.68159480934127592	17	0.085995667723835642	1.4619263513052059
0	21	11	132595	129320	0	4141	1.1477973173356113	1.1689273112968961	2.1781253814697266	1.0303280641341153	0.12587320038712235	0.87896453587726187	0	1	-0.14320623329983725	0.83596653991887782	0.83596653991887782	15	0.097461756753680392	1.4619263513052059
0	22	10	133975	132595	0	2591	1.1689273112968961	1.175381251430565	2.1781253814697266	1.0091980701728305	0.064863950751595068	0.81110884374426018	0	0	-0.079969477896663713	1	1	14	0.1044233108075147	1.4619263513052059
0	23	9	135229	133975	0	1469	1.175381251430565	1.3112398333257225	2.1781253814697266	1.0027441300391615	-0.27627646556016416	0.75057728493755205	-1	0	0.36808530061384731	0.75751038663120229	0.75751038663120229	11	0.13290239557320052	1.4619263513052059
0	24	8	135564	135229	0	913	1.3112398333257225	1.3143687086907165	2.1781253814697266	0.86688554814400398	0.045057597426804361	0.74998880355647546	0	0	-0.060077693444408123	1	1	10	0.14619263513052058	1.4619263513052059
0	25	7	135606	135564	0	430	1.3143687086907165	1.3475823315314905	2.1781253814697266	0.86375667277901014	0.12804349113927443	0.65297279823356702	0	0	-0.19609314734956776	1	1	9	0.16243626125613397	1.4619263513052059
0	26	6	135699	135606	0	246	1.3475823315314905	1.5639222368624497	2.1781253814697266	0.83054304993823613	-0.34258831698594899	0.67125155534909664	-1	0	0.51037247400906161	0.71869933605194092	0.71869933605194092	7	0.2088466216150294	1.4619263513052059
