phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	31	1	0	0	5	0	0	0.59452509880065918	0.59452509880065918	0	2.1798684589680026	-2	2	0	0.47208124399185181	0.47208124399185181	128990	0	0
0	2	30	3	1	0	19	0	0	0.59452509880065918	0.59452509880065918	0	2.54749214792648	-2	2	0	0.42952004075050354	0.42952004075050354	77977	0	0
0	3	29	12	3	0	61	0	0	0.59452509880065918	0.59452509880065918	0	2.5640132640692483	-2	2	0	0.42789232730865479	0.42789232730865479	45748	0	0
0	4	28	27	12	0	159	0	0	0.59452509880065918	0.59452509880065918	0	2.2399967092628645	-2	2	0	0.46418341994285583	0.46418341994285583	30259	0	0
0	5	27	58	27	0	383	0	0	0.59452509880065918	0.59452509880065918	0	2.3095338896472568	-2	2	0	0.4555477499961853	0.4555477499961853	19118	0	0
0	6	26	133	58	0	879	0	0	0.59452509880065918	0.59452509880065918	0	2.346946054043189	-2	2	0	0.45110887289047241	0.45110887289047241	11767	0	0
0	7	25	308	133	0	1845	0	0	0.59452509880065918	0.59452509880065918	0	2.285460931746746	-2	2	0	0.45847928524017334	0.45847928524017334	7164	0	0
0	8	24	637	308	0	3305	0	0	0.59452509880065918	0.59452509880065918	0	2.0490552814384446	-2	2	0	0.49078992009162903	0.49078992009162903	4841	0	0
0	9	23	1286	637	0	5723	0	0	0.59452509880065918	0.59452509880065918	0	2.1472944702501491	-2	2	0	0.4765373170375824	0.4765373170375824	3132	0	0
0	10	22	2843	1286	0	8769	0	0	0.59452509880065918	0.59452509880065918	0	1.9944816768482014	-1	1	0	0.57679241895675659	0.57679241895675659	2091	0	0
0	11	21	4141	2843	0	12133	0	0	0.59452509880065918	0.59452509880065918	0	1.8583055950314042	-1	1	0	0.59462106227874756	0.59462106227874756	1494	0	0
0	12	20	7112	4141	0	15169	0	0	0.59452509880065918	0.59452509880065918	0	1.7582941997453942	-1	1	0	0.60928767919540405	0.60928767919540405	1117	0	0
0	13	19	10499	7112	0	16481	0	0	0.59452509880065918	0.59452509880065918	0	1.606099907908725	-1	1	0	0.63462388515472412	0.63462388515472412	884	0	0
0	14	18	14746	10499	0	18259	0	0	0.59452509880065918	0.59452509880065918	0	1.6747957212860185	-1	1	0	0.62270092964172363	0.62270092964172363	671	0	0
0	15	17	21451	14746	0	18241	0	0	0.59452509880065918	0.59452509880065918	0	1.5822977257834685	-1	1	0	0.63895642757415771	0.63895642757415771	506	0	0
0	16	16	28012	21451	0	16775	0	0	0.59452509880065918	0.59452509880065918	0	1.4828419160476491	-1	1	0	0.65827453136444092	0.65827453136444092	391	0	0
0	17	15	35751	28012	0	14421	0	0	0.59452509880065918	0.59452509880065918	0	1.4220230880519649	-1	1	0	0.67112988233566284	0.67112988233566284	312	0	0
0	18	14	47820	35751	0	12183	0	0	0.59452509880065918	0.59452509880065918	0	1.4389238103392918	-1	1	0	0.66747355461120605	0.66747355461120605	239	0	0
0	19	13	71023	47820	0	10057	0	0	0.59452509880065918	0.59452509880065918	0	1.4438768861954783	-1	1	0	0.66641443967819214	0.66641443967819214	168	0	0
0	20	12	84312	71023	0	7817	0	0	0.59452509880065918	0.59452509880065918	0	1.4086948724806843	-1	1	0	0.67406022548675537	0.67406022548675537	123	0	0
0	21	11	121679	84312	0	6135	0	0	0.59452509880065918	0.59452509880065918	0	1.467074337253865	-1	1	0	0.66152781248092651	0.66152781248092651	80	0	0
0	22	10	161826	121679	0	4343	0	0	0.59452509880065918	0.59452509880065918	0	1.3550679887808101	-1	1	0	0.68628185987472534	0.68628185987472534	55	0	0
0	23	9	169619	161826	0	2911	0	0	0.59452509880065918	0.59452509880065918	0	1.2848493888257415	-1	1	0	0.70338213443756104	0.70338213443756104	36	0	0
0	24	8	178714	169619	0	1761	0	0	0.59452509880065918	0.59452509880065918	0	1.2183048138225216	-1	1	0	0.72080898284912109	0.72080898284912109	25	0	0
0	25	7	179057	178714	0	1025	0	0	0.59452509880065918	0.59452509880065918	0	1.1814705998049049	-1	1	0	0.7309914231300354	0.7309914231300354	16	0	0
0	26	6	179614	179057	0	603	0	0	0.59452509880065918	0.59452509880065918	0	1.128539863864831	-1	1	0	0.74631494283676147	0.74631494283676147	13	0	0
0	27	5	179733	179614	0	287	0	0	0.59452509880065918	0.59452509880065918	0	0.99293612650482099	0	0	0	1	1	12	0	0
0	28	4	179762	179733	0	143	0	0	0.59452509880065918	0.59452509880065918	0	0.97560668792839222	0	0	0	1	1	11	0	0
0	29	3	179795	179762	0	69	0	0	0.59452509880065918	0.59452509880065918	0	1.0588234046467009	-1	1	0	0.76776641607284546	0.76776641607284546	8	0	0
0	30	2	179876	179795	0	27	0	0	0.59452509880065918	0.59452509880065918	0	0.93289076249295333	0	0	0	1	1	7	0	0
0	31	1	179925	179876	0	13	0	0	0.59452509880065918	0.59452509880065918	0	1.0180664542601219	-1	1	0	0.78097563982009888	0.78097563982009888	4	0	0
0	32	0	179972	179925	1	3	0	0.59452509880065918	0.59452509880065918	0.59452509880065918	0	1.000000000002	-1	1	0.99999999999800004	0.10650698095560074	0.10650698095560074	1	0	0
