phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	31	1	0	0	5	0	0	0.57789397239685059	0.57789397239685059	0	2.7561487627260584	-2	2	0	0.41041630506515503	0.41041630506515503	53710	8.9539835532749563e-06	0.48091845664639787
0	2	30	6	1	-1	19	0	0.10093112849077918	0.57789397239685059	0.57789397239685059	0	2.392828197291033	-2	2	-0.41791550314064307	0.19328309595584869	0.19328309595584869	12416	3.87337674489689e-05	0.48091845664639787
0	3	29	32	6	1	61	0.10093112849077918	0.15340343595396591	0.57789397239685059	0.47696284390607141	0.30056845568415497	2.1087369493884087	-1	2	0.33168269020879981	0.29303273558616638	0.29303273558616638	4686	0.00010262877862705887	0.48091845664639787
0	4	28	86	32	0	189	0.15340343595396591	0.15340374761084694	0.57789397239685059	0.42449053644288465	-0.0017343236519599507	2.0240712357408679	-2	2	0.00085684911742996985	0.49419304728507996	0.49419304728507996	3056	0.0001573686049235595	0.48091845664639787
0	5	27	246	86	0	429	0.15340374761084694	0.15363616737455751	0.57789397239685059	0.42449022478600368	-0.045042221346865398	1.9249396563996439	-1	1	0.023399290048972846	0.57394206523895264	0.57394206523895264	2082	0.00023098869195312097	0.48091845664639787
0	6	26	412	246	0	957	0.15363616737455751	0.15670588639357283	0.57789397239685059	0.42425780502229304	0.16461801126139766	1.9352762128680709	-1	2	-0.085061765430080122	0.49173024296760559	0.49173024296760559	1336	0.00035996890467544752	0.48091845664639787
0	7	25	975	412	1	1865	0.15670588639357283	0.19189142705706119	0.57789397239685059	0.42118808600327773	0.46440684579264602	1.8530662313284259	-1	2	0.28903076703491493	0.35885119438171387	0.35885119438171387	613	0.00078453255570374854	0.48091845664639787
0	8	24	1978	975	0	3445	0.19189142705706119	0.19996793641768168	0.57789397239685059	0.38600254533978939	-0.25429588679525023	1.7580149721586544	-2	1	0.1446494431631615	0.48178532719612122	0.48178532719612122	383	0.0012556617667007777	0.48091845664639787
0	9	23	4541	1978	-1	5473	0.19996793641768168	0.20009703360797834	0.57789397239685059	0.37792603597916891	-0.97076123868384234	1.5819909000641028	-2	0	-0.018482256323328325	0.63028395175933838	0.63028395175933838	286	0.0016815330651971953	0.48091845664639787
0	10	22	6620	4541	1	7591	0.20009703360797834	0.21456346214995942	0.57789397239685059	0.37779693878887227	0.71686689946951054	1.4469022735878605	0	2	0.19568225560141586	0.55553179979324341	0.55553179979324341	193	0.0024918054748518026	0.48091845664639787
0	11	21	9958	6620	0	10201	0.21456346214995942	0.23537517916540932	0.57789397239685059	0.36333051024689117	0.34489822646405183	1.441079497785777	-1	1	-0.23933324080592985	0.5263751745223999	0.5263751745223999	123	0.0039099061515967303	0.48091845664639787
0	12	20	15233	9958	1	12641	0.23537517916540932	0.23798932120174493	0.57789397239685059	0.3425187932314413	0.88234928551926151	1.3467040964755734	0	2	0.087361963766679943	0.64612495899200439	0.64612495899200439	97	0.0049579222334680192	0.48091845664639787
0	13	19	29126	15233	0	13477	0.23798932120174493	0.33583882109806179	0.57789397239685059	0.33990465119510566	-0.65361604229638637	1.2182094145511844	-1	0	0.53653832788444922	0.37650734186172485	0.37650734186172485	37	0.012997796125578321	0.48091845664639787
0	14	18	40678	29126	1	13577	0.33583882109806179	0.35956091720543526	0.57789397239685059	0.2420551512987888	0.68459735775017916	1.0075021033525462	0	1	0.31305407820022668	0.67543941736221313	0.67543941736221313	26	0.018496863717169149	0.48091845664639787
0	15	17	59174	40678	0	11947	0.35956091720543526	0.36016573865766133	0.57789397239685059	0.21833305519141535	-0.047342895998707328	0.8994995972018146	0	0	0.052632481599750321	1	1	25	0.019236738265855913	0.48091845664639787
0	16	16	69404	59174	-1	9655	0.36016573865766133	0.36042744703118212	0.57789397239685059	0.21772823373918926	-0.96882407008504479	0.89922419145558086	-1	-1	-0.034669807831226716	1	1	24	0.020038269026933245	0.48091845664639787
0	17	15	74600	69404	1	6621	0.36042744703118212	0.36367632082723322	0.57789397239685059	0.21746652536566849	1.1042505172762584	0.85291942535068577	1	1	-0.12222786136380327	1	1	23	0.020909498115060775	0.48091845664639787
0	18	14	85270	74600	2	4150	0.36367632082723322	0.42321700147322333	0.57789397239685059	0.21421765156961736	1.5518900197289649	0.8499734223062918	1	2	0.52720469665409919	0.56074738502502441	0.56074738502502441	17	0.028289320979199874	0.48091845664639787
0	19	13	93508	85270	1	2484	0.42321700147322333	0.45492956193000855	0.57789397239685059	0.15467697092362725	0.67689640072212376	0.71357392375962791	0	1	0.45279625350591679	0.72940540313720703	0.72940540313720703	14	0.034351318331885559	0.48091845664639787
0	20	12	101848	93508	-2	1401	0.45492956193000855	0.45748977352333853	0.57789397239685059	0.12296441046684201	-2.0913789057246599	0.63328286759294883	-2	-2	0.14429398046402719	1	1	13	0.036993727434338299	0.48091845664639787
0	21	11	102518	101848	-1	739	0.45748977352333853	0.4576469801536403	0.57789397239685059	0.12040419887351207	-0.97899607367818875	0.58128065916789073	-1	-1	-0.036133881268092825	1	1	12	0.040076538053866489	0.48091845664639787
0	22	10	104332	102518	0	402	0.4576469801536403	0.46231883015307812	0.57789397239685059	0.1202469922432103	0.11127157087358054	0.56451681832473466	0	0	-0.19710939915623965	1	1	11	0.043719859695127081	0.48091845664639787
0	23	9	105849	104332	-1	184	0.46231883015307812	0.46351550060307584	0.57789397239685059	0.11557514224377245	-0.9461654459262685	0.52906137327099267	-1	-1	-0.10175483751703922	1	1	10	0.048091845664639789	0.48091845664639787
0	24	8	106459	105849	2	90	0.46351550060307584	0.47077476986472305	0.57789397239685059	0.11437847179377478	1.8651892675108919	0.53511874013204197	2	2	0.25192676387271218	1	1	9	0.053435384071821988	0.48091845664639787
0	25	7	106890	106459	2	56	0.47077476986472305	0.47085279187997164	0.57789397239685059	0.10711920253212755	1.9858588991135531	0.52397227083410736	2	2	0.026988261924501687	1	1	8	0.060114807080799734	0.48091845664639787
0	26	6	106975	106890	0	20	0.47085279187997164	0.49780196791495757	0.57789397239685059	0.10704118051687896	-0.24307135096622551	0.48443607216613788	0	0	0.50176146024663482	1	1	7	0.068702636663771119	0.48091845664639787
0	27	5	107187	106975	0	10	0.49780196791495757	0.50501120447178216	0.57789397239685059	0.08009200448189302	-0.12305382787813107	0.41015222452912142	0	0	0.30001989631874848	1	1	6	0.080153076107732979	0.48091845664639787
0	28	4	107332	107187	-1	8	0.50501120447178216	0.50858934114947674	0.57789397239685059	0.072882767925068453	-0.91939516466973581	0.36378522897882276	-1	-1	-0.22157258983969483	1	1	5	0.096183691329279578	0.48091845664639787
0	29	3	107459	107332	0	4	0.50858934114947674	0.53743129321544036	0.57789397239685059	0.069304631247373807	0.25305700269741416	0.39227186745734793	0	0	-0.64510617174179397	1	1	4	0.12022961416159947	0.48091845664639787
0	30	2	107536	107459	3	2	0.53743129321544036	0.54110622401741315	0.57789397239685059	0.040462679181410263	2.9167848532533296	0.27612461177341519	3	3	0.30136808961801653	1	1	3	0.16030615221546596	0.48091845664639787
0	31	1	107662	107536	-1	2	0.54110622401741315	0.54819406371255575	0.57789397239685059	0.036787748379437393	-1.1139846146433166	0.25968143098799135	-1	-1	0.43894018224424997	1	1	2	0.24045922832319894	0.48091845664639787
0	32	0	107706	107662	-3	1	0.54819406371255575	0.56078243255615234	0.57789397239685059	0.029699908684294788	-2.8524087376225471	0.2267010202762583	-3	-3	-0.65103925071708035	1	1	1	0.48091845664639787	0.48091845664639787
1	1	31	1	0	0	5	0	0	2.2431297302246094	2.2431297302246094	0	2.5171830062506388	-2	2	0	0.43256217241287231	0.43256217241287231	70222	0	0
1	2	30	3	1	0	19	0	0	2.2431297302246094	2.2431297302246094	0	2.5267966784175417	-2	2	0	0.43158930540084839	0.43158930540084839	41245	0	0
1	3	29	12	3	0	67	0	0	2.2431297302246094	2.2431297302246094	0	2.5460322551091088	-2	2	0	0.42966490983963013	0.42966490983963013	23668	0	0
1	4	28	27	12	0	191	0	0	2.2431297302246094	2.2431297302246094	0	2.4102136329337864	-2	2	0	0.44391176104545593	0.44391176104545593	14193	0	0
1	5	27	62	27	0	465	0	0	2.2431297302246094	2.2431297302246094	0	2.2697256561356576	-2	2	0	0.46042832732200623	0.46042832732200623	8898	0	0
1	6	26	143	62	0	995	0	0	2.2431297302246094	2.2431297302246094	0	2.1745951810035202	-2	2	0	0.47279393672943115	0.47279393672943115	5703	0	0
1	7	25	332	143	0	1905	0	0	2.2431297302246094	2.2431297302246094	0	2.0668122046019923	-2	2	0	0.48811918497085571	0.48811918497085571	3726	0	0
1	8	24	777	332	0	3283	0	0	2.2431297302246094	2.2431297302246094	0	2.0300354205322058	-2	2	0	0.49369904398918152	0.49369904398918152	2415	0	0
1	9	23	1644	777	0	5237	0	0	2.2431297302246094	2.2431297302246094	0	1.9739307828212895	-1	1	0	0.57933878898620605	0.57933878898620605	1634	0	0
1	10	22	2380	1644	0	7653	0	0	2.2431297302246094	2.2431297302246094	0	1.8751527576126756	-1	1	0	0.59228813648223877	0.59228813648223877	1133	0	0
1	11	21	3689	2380	0	9845	0	0	2.2431297302246094	2.2431297302246094	0	1.7327088036870735	-1	1	0	0.61327862739562988	0.61327862739562988	832	0	0
