phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	31	1	0	0	5	0	0	0.58540058135986328	0.58540058135986328	0	2.1810711351384637	-2	2	0	0.46584824421775706	0.46584824421775706	152611	1.3544163036825979e-05	1.2187392866322651
0	2	30	3	1	0	17	0	0	0.58540058135986328	0.58540058135986328	0	2.5151962665280672	-2	2	0	0.4274805847925035	0.4274805847925035	89904	2.0982555038698623e-05	1.2187392866322651
0	3	29	12	3	0	61	0	0	0.58540058135986328	0.58540058135986328	0	2.5264951875588331	-2	2	0	0.42636015375911962	0.42636015375911962	50083	3.766578735697065e-05	1.2187392866322651
0	4	28	27	12	0	173	0	0	0.58540058135986328	0.58540058135986328	0	2.2528040333872723	-2	2	0	0.45666483044624329	0.45666483044624329	29780	6.3345051316291505e-05	1.2187392866322651
0	5	27	79	27	-1	417	0	0.11427106557628357	0.58540058135986328	0.58540058135986328	0	2.2633850141580671	-2	2	-0.44181612661775954	0.19165526330471039	0.19165526330471039	6828	0.00027627645404205639	1.2187392866322651
0	6	26	241	79	0	895	0.11427106557628357	0.13735462852003139	0.58540058135986328	0.4711295157835797	-0.42010279188590521	1.8979042699309732	-2	1	0.22135088610195516	0.39830324350523383	0.39830324350523383	3719	0.00050723732944317316	1.2187392866322651
0	7	25	727	241	0	1663	0.13735462852003139	0.1614390344457777	0.58540058135986328	0.4480459528398319	-0.40441035551360915	1.7442774971236683	-2	1	0.23184978088663416	0.41664329481604168	0.41664329481604168	2125	0.00088772500150548759	1.2187392866322651
0	8	24	1758	727	0	3021	0.1614390344457777	0.16580909878027905	0.58540058135986328	0.42396154691408555	0.18499764169093216	1.8221558133083469	-1	2	-0.10152679608394537	0.49246788391819507	0.49246788391819507	1388	0.0013590890693077529	1.2187392866322651
0	9	23	3709	1758	0	4813	0.16580909878027905	0.19203318071191924	0.58540058135986328	0.41959148257958423	0.40538500679478223	1.6215519527417694	-1	2	-0.24999816139676864	0.42747226994443344	0.42747226994443344	801	0.0023550756906356566	1.2187392866322651
0	10	22	8422	3709	0	7085	0.19203318071191924	0.19866728392548311	0.58540058135986328	0.39336740064794401	-0.19720445534895076	1.5185349556184058	-1	1	0.12986494293023471	0.57463379426699268	0.57463379426699268	577	0.0032693511753884943	1.2187392866322651
0	11	21	11806	8422	0	9979	0.19866728392548311	0.21309883228262097	0.58540058135986328	0.38673329743438017	0.29041491980174156	1.5033781801768089	-1	1	-0.19317489347064126	0.53824070670124713	0.53824070670124713	372	0.0032761808780437233	1.2187392866322651
0	12	20	19113	11806	0	13791	0.21309883228262097	0.22113855034376842	0.58540058135986328	0.37230174907724228	0.22235299596111754	1.5131086506608253	-1	1	-0.14695111012947318	0.56512632512120864	0.56512632512120864	243	0.0050153880108323662	1.2187392866322651
0	13	19	27389	19113	0	16415	0.22113855034376842	0.22151171704234965	0.58540058135986328	0.36426203101609489	-0.04370135152000789	1.3653700761673315	-1	1	0.032006964472723748	0.65928130359528503	0.65928130359528503	182	0.0066963697067706869	1.2187392866322651
0	14	18	40575	27389	0	19655	0.22151171704234965	0.22614739459005054	0.58540058135986328	0.36388886431751366	-0.15870192469578559	1.4060797928327697	-1	1	0.11286836316455093	0.60845724915095423	0.60845724915095423	126	0.0096725340208909921	1.2187392866322651
0	15	17	55628	40575	0	21517	0.22614739459005054	0.22673903652506888	0.58540058135986328	0.35925318676981277	0.053794741088108909	1.3255944033943121	-1	1	-0.040581599432196074	0.66468578577041626	0.66468578577041626	96	0.012695200902419428	1.2187392866322651
0	16	16	72093	55628	0	24535	0.22673903652506888	0.22777097448141312	0.58540058135986328	0.3586615448347944	-0.076206781131611889	1.4207224134902743	-1	1	0.053639458635973421	0.63620809804773037	0.63620809804773037	62	0.019657085268262341	1.2187392866322651
0	17	15	103887	72093	0	25169	0.22777097448141312	0.23016607031404335	0.58540058135986328	0.35762960687845019	0.10809169661422956	1.3208321113461565	-1	1	-0.081836060530104324	0.64568756086565371	0.64568756086565371	43	0.028342774107727096	1.2187392866322651
0	18	14	134443	103887	0	21302	0.23016607031404335	0.27097720377464152	0.58540058135986328	0.35523451104581993	-0.38802807962133529	1.1448046940324095	-1	0	0.3389469676740775	0.59343451261520386	0.59343451261520386	25	0.048749571465290603	1.2187392866322651
0	19	13	157044	134443	0	15738	0.27097720377464152	0.31537570272886967	0.58540058135986328	0.31442337758522176	-0.3686363186837609	0.98100538420372252	-1	0	0.37577400146787293	0.62611065429119306	0.62611065429119306	17	0.07169054627248618	1.2187392866322651
0	20	12	181350	157044	0	11409	0.31537570272886967	0.32233014398285659	0.58540058135986328	0.27002487863099361	-0.14599616111957134	0.90972934678979156	-1	0	0.16048307294334896	0.81596610498529365	0.81596610498529365	15	0.081249285775484334	1.2187392866322651
0	21	11	208449	181350	0	7108	0.32233014398285659	0.32858701354845904	0.58540058135986328	0.26307043737700669	-0.12493190564938103	0.81008545999617121	0	0	0.15422064932503729	1	1	14	0.08705280618801893	1.2187392866322651
0	22	10	212054	208449	0	4427	0.32858701354845904	0.33340010757294625	0.58540058135986328	0.25681356781140424	0.10882490515389211	0.79492308007798784	0	0	-0.13689991884902319	1	1	13	0.093749175894789621	1.2187392866322651
0	23	9	214745	212054	0	2878	0.33340010757294625	0.36969275699601228	0.58540058135986328	0.25200047378691703	-0.31821873479200091	0.83852706835930735	-1	0	0.37949727182288739	0.69685115506801476	0.69685115506801476	11	0.11079448060293319	1.2187392866322651
0	24	8	215331	214745	0	1615	0.36969275699601228	0.374803065789722	0.58540058135986328	0.215707824363851	-0.10826208835688196	0.70337313697331627	0	0	0.15391842916086385	1	1	10	0.12187392866322651	1.2187392866322651
0	25	7	215622	215331	0	998	0.374803065789722	0.39247369516329278	0.58540058135986328	0.21059751557014125	-0.21422017454798148	0.73953882950729299	0	0	0.28966724396432647	1	1	9	0.13541547629247389	1.2187392866322651
0	26	6	215625	215622	0	524	0.39247369516329278	0.4676257524964344	0.58540058135986328	0.1929268861965705	0.40552973423500216	0.64975352370994477	0	1	-0.6241285648125765	0.64142996072769165	0.64142996072769165	7	0.17410561237603786	1.2187392866322651
0	27	5	215659	215625	0	244	0.4676257524964344	0.46855158207733189	0.58540058135986328	0.11777482886342885	0.043332945564999586	0.48874117193334027	0	0	-0.088662359656717829	1	1	6	0.20312321443871084	1.2187392866322651
0	28	4	215664	215659	0	118	0.46855158207733189	0.47571782366515414	0.58540058135986328	0.1168489992825314	-0.11788431407532664	0.47601736616601975	0	0	0.24764708696407586	1	1	5	0.24374785732645302	1.2187392866322651
0	29	3	215669	215664	0	56	0.47571782366515414	0.47571972015929503	0.58540058135986328	0.10968275769470917	-0.0018362097703860023	0.4415864328814878	0	0	0.0041582114704117297	1	1	4	0.30468482165806626	1.2187392866322651
0	30	2	215670	215669	0	30	0.47571972015929503	0.56165842768581564	0.58540058135986328	0.10968086120056826	0.35175160394327981	0.39738100467798015	0	0	-0.8851746807281935	1	1	3	0.40624642887742168	1.2187392866322651
0	31	1	215675	215670	0	15	0.56165842768581564	0.56304830881839607	0.58540058135986328	0.023742153674047663	0.046455454144838398	0.19200296537069436	0	0	-0.24195175348020403	1	1	2	0.60936964331613253	1.2187392866322651
0	32	0	215677	215675	0	4	0.56304830881839607	0.5655817985534668	0.58540058135986328	0.022352272541467193	0.06442753196610751	0.19136951785051681	0	0	-0.33666559172936489	1	1	1	1.2187392866322651	1.2187392866322651
1	1	31	1	0	0	5	0	0	0.58540058135986328	0.58540058135986328	0	2.1810711351384637	-2	2	0	0.47191914916038513	0.47191914916038513	94613	5.8243893023724963e-06	0.55106294506536901
1	2	30	3	1	0	17	0	0	0.58540058135986328	0.58540058135986328	0	2.5151962665280672	-2	2	0	0.43276414275169373	0.43276414275169373	58110	9.4831000699598874e-06	0.55106294506536901
1	3	29	12	3	0	57	0	0	0.58540058135986328	0.58540058135986328	0	2.5264951875588331	-2	2	0	0.43161970376968384	0.43161970376968384	35047	1.5723541103813993e-05	0.55106294506536901
1	4	28	27	12	0	157	0	0	0.58540058135986328	0.58540058135986328	0	2.2528040333872723	-2	2	0	0.46255388855934143	0.46255388855934143	23220	2.3732254309447418e-05	0.55106294506536901
