phase	depth	coefficient	nodes
0	0	-1	1
0	1	31	5
0	2	30	21
0	3	29	75
0	4	28	221
0	5	27	581
0	6	26	1373
0	7	25	2895
0	8	24	5347
0	9	23	9081
0	10	22	13109
0	11	21	20499
0	12	20	28013
0	13	19	33515
0	14	18	42053
0	15	17	48371
0	16	16	48603
0	17	15	48621
0	18	14	42213
0	19	13	31727
0	20	12	22333
0	21	11	13788
0	22	10	8123
0	23	9	4337
0	24	8	2312
0	25	7	1113
0	26	6	511
0	27	5	225
0	28	4	103
0	29	3	49
0	30	2	27
0	31	1	15
0	32	0	3
1	0	-1	1
1	1	31	5
1	2	30	21
1	3	29	67
1	4	28	181
1	5	27	423
1	6	26	773
1	7	25	1485
1	8	24	2521
1	9	23	3987
1	10	22	5477
1	11	21	6917
1	12	20	8081
1	13	19	8379
1	14	18	8645
1	15	17	8399
1	16	16	7189
1	17	15	6349
1	18	14	5367
1	19	13	3883
1	20	12	3067
1	21	11	2023
1	22	10	1351
1	23	9	805
1	24	8	441
1	25	7	217
1	26	6	107
1	27	5	55
1	28	4	33
1	29	3	9
1	30	2	3
1	31	1	1
1	32	0	3
