phase	depth	coefficient	nodes
0	0	-1	1
0	1	31	5
0	2	30	23
0	3	29	85
0	4	28	273
0	5	27	759
0	6	26	1891
0	7	25	4261
0	8	24	8345
0	9	23	14797
0	10	22	25641
0	11	21	38815
0	12	20	58355
0	13	19	84341
0	14	18	106623
0	15	17	119941
0	16	16	121923
0	17	15	111021
0	18	14	93393
0	19	13	70114
0	20	12	53663
0	21	11	37729
0	22	10	24083
0	23	9	13332
0	24	8	7127
0	25	7	3390
0	26	6	1705
0	27	5	820
0	28	4	377
0	29	3	131
0	30	2	48
0	31	1	24
0	32	0	8
1	0	-1	1
1	1	31	5
1	2	30	19
1	3	29	57
1	4	28	149
1	5	27	329
1	6	26	719
1	7	25	1349
1	8	24	2297
1	9	23	3779
1	10	22	5459
1	11	21	7557
1	12	20	9803
1	13	19	11959
1	14	18	13227
1	15	17	13175
1	16	16	11221
1	17	15	8921
1	18	14	7213
1	19	13	5801
1	20	12	4115
1	21	11	2585
1	22	10	1595
1	23	9	929
1	24	8	423
1	25	7	203
1	26	6	87
1	27	5	49
1	28	4	27
1	29	3	11
1	30	2	3
1	31	1	1
1	32	0	3
