phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	31	2	0	-1	5	0	0.074466341729459859	0.65352129936218262	0.65352129936218262	0	2.9624420510048357	-2	2	-0.33755934556114214	0.20070414245128632	0.20070414245128632	185231	8.365804950368029e-06	1.5496064167616204
0	2	30	12	2	-1	23	0.074466341729459859	0.10082063506494082	0.65352129936218262	0.57905495763272274	-0.46335914455724703	2.5154630226286683	-2	2	-0.21333680941251174	0.3118860125541687	0.3118860125541687	82823	1.8709856160264907e-05	1.5496064167616204
0	3	29	48	12	0	79	0.10082063506494082	0.13058289970932557	0.65352129936218262	0.55270066429724185	-0.56301430491280824	2.4262270237319701	-2	1	0.2320534308643516	0.32953843474388123	0.32953843474388123	36266	4.2728903567022014e-05	1.5496064167616204
0	4	28	108	48	0	259	0.13058289970932557	0.13302052885769725	0.65352129936218262	0.52293839965285704	-0.1604993749341283	2.3507951981121469	-2	2	0.068274503479937576	0.41487529873847961	0.41487529873847961	21350	7.2581096803822962e-05	1.5496064167616204
0	5	27	332	108	0	747	0.13302052885769725	0.17299624645395234	0.65352129936218262	0.5205007705044854	-0.64497420898397417	2.3273135749924285	-2	1	0.27713249126133438	0.30772632360458374	0.30772632360458374	8498	0.00018234954304090613	1.5496064167616204
0	6	26	690	332	0	1851	0.17299624645395234	0.17358539376384757	0.65352129936218262	0.48052505290823028	-0.074428909519070913	2.1256302609624478	-2	2	0.035014983972504625	0.46151795983314514	0.46151795983314514	5410	0.00028643371844022555	1.5496064167616204
0	7	25	2030	690	0	4383	0.17358539376384757	0.17478173352716209	0.65352129936218262	0.47993590559833504	-0.11126179867573875	2.2284886612658408	-2	2	0.04992702032082097	0.43969619274139404	0.43969619274139404	3147	0.00049240750453181459	1.5496064167616204
0	8	24	4522	2030	0	8723	0.17478173352716209	0.17485041255144118	0.65352129936218262	0.47873956583502053	-0.023858819610260294	1.9919872583208391	-2	1	0.011977395693972593	0.52864569425582886	0.52864569425582886	1993	0.00077752454428581057	1.5496064167616204
0	9	23	10865	4522	0	15165	0.17485041255144118	0.21356493141333965	0.65352129936218262	0.47867088681074144	0.52112646025912746	1.8324186318638525	-1	2	-0.28439268800113732	0.36569774150848389	0.36569774150848389	938	0.0016520324272511944	1.5496064167616204
0	10	22	25911	10865	0	22977	0.21356493141333965	0.26970523260255858	0.65352129936218262	0.43995636794884296	0.57268759249668422	1.6031907888875407	-1	2	-0.35721736705715107	0.35330796241760254	0.35330796241760254	420	0.0036895390875276673	1.5496064167616204
0	11	21	50778	25911	1	37295	0.26970523260255858	0.29905916799829119	0.65352129936218262	0.38381606675962404	0.53330102904717624	1.6875834263525498	-1	2	0.27654868118817766	0.39803916215896606	0.39803916215896606	221	0.0070117937410028074	1.5496064167616204
0	12	20	101544	50778	1	53597	0.29905916799829119	0.30188567752196871	0.65352129936218262	0.35446213136389143	0.86602662626483418	1.500300277811397	0	2	0.089297706410214811	0.60955923795700073	0.60955923795700073	160	0.0096850401047601266	1.5496064167616204
0	13	19	169634	101544	-1	70003	0.30188567752196871	0.3225633967501414	0.65352129936218262	0.35163562184021391	-0.66002703791156636	1.4019724976613499	-2	0	-0.24249617068490811	0.53373712301254272	0.53373712301254272	102	0.015192219772172749	1.5496064167616204
0	14	18	227259	169634	1	89667	0.3225633967501414	0.35169954932728165	0.65352129936218262	0.33095790261204122	0.58996359292244205	1.381951163413182	0	1	0.29670831931921415	0.56473362445831299	0.56473362445831299	61	0.025403383881338039	1.5496064167616204
0	15	17	293756	227259	0	97243	0.35169954932728165	0.36610697574768108	0.65352129936218262	0.30182175003490097	-0.25702492782696212	1.1764062067421153	-1	0	0.21848314498335994	0.69554245471954346	0.69554245471954346	44	0.035218327653673193	1.5496064167616204
0	16	16	371392	293756	-1	91923	0.36610697574768108	0.36780641718394591	0.65352129936218262	0.28741432361450153	-0.91913423344416689	1.0516368850374485	-1	0	-0.076895141000073858	0.83120852708816528	0.83120852708816528	41	0.037795278457600494	1.5496064167616204
0	17	15	423248	371392	2	78067	0.36780641718394591	0.36795700374102486	0.65352129936218262	0.28571488217823671	2.0233028516258673	1.015038228718659	2	3	-0.022957609838285466	0.86744320392608643	0.86744320392608643	36	0.043044622687822789	1.5496064167616204
0	18	14	491136	423248	1	62051	0.36795700374102486	0.3727405905706937	0.65352129936218262	0.28556429562115776	0.86831754562375973	1.0174264761773555	0	1	0.12942699788096107	0.80969595909118652	0.80969595909118652	31	0.049987303766503885	1.5496064167616204
0	19	13	545819	491136	1	45525	0.3727405905706937	0.42372206538785123	0.65352129936218262	0.28078070879148892	0.57474605103246101	0.997989083611308	0	1	0.42611082220330659	0.57434147596359253	0.57434147596359253	18	0.086089245375645579	1.5496064167616204
0	20	12	591567	545819	1	29740	0.42372206538785123	0.42486938047697165	0.65352129936218262	0.22979923397433136	0.94137783166676015	0.82964980198785909	1	1	0.070658931265673658	1	1	17	0.091153318633036495	1.5496064167616204
