phase	depth	coefficient	nodes
0	0	-1	1
0	1	31	5
0	2	30	23
0	3	29	91
0	4	28	303
0	5	27	825
0	6	26	2037
0	7	25	4575
0	8	24	9447
0	9	23	17703
0	10	22	29743
0	11	21	47958
0	12	20	67227
0	13	19	83875
0	14	18	84920
0	15	17	74386
0	16	16	65285
0	17	15	54643
0	18	14	45163
0	19	13	35763
0	20	12	25034
0	21	11	16536
0	22	10	9816
0	23	9	5572
0	24	8	2966
0	25	7	1546
0	26	6	785
0	27	5	421
0	28	4	198
0	29	3	63
0	30	2	29
0	31	1	14
0	32	0	8
1	0	-1	1
1	1	31	5
1	2	30	21
1	3	29	65
1	4	28	189
1	5	27	467
1	6	26	1019
1	7	25	2037
1	8	24	3721
1	9	23	6239
1	10	22	9005
1	11	21	11315
1	12	20	13549
1	13	19	15285
1	14	18	16579
1	15	17	16879
1	16	16	15561
1	17	15	13751
1	18	14	12625
1	19	13	10121
1	20	12	7481
1	21	11	5067
1	22	10	3087
1	23	9	1841
1	24	8	975
1	25	7	487
1	26	6	261
1	27	5	131
1	28	4	51
1	29	3	23
1	30	2	9
1	31	1	1
1	32	0	3
