phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	5
0	2	31	21
0	3	30	73
0	4	29	233
0	5	28	631
0	6	27	1351
0	7	26	2493
0	8	25	4889
0	9	24	8071
0	10	23	12053
0	11	22	16665
0	12	21	20261
0	13	20	24233
0	14	19	25659
0	15	18	27283
0	16	17	26753
0	17	16	26327
0	18	15	25929
0	19	14	22701
0	20	13	18959
0	21	12	14443
0	22	11	9962
0	23	10	6437
0	24	9	3769
0	25	8	2064
0	26	7	1075
0	27	6	537
0	28	5	285
0	29	4	117
0	30	3	45
0	31	2	17
0	32	1	5
0	33	0	3
1	0	-1	1
1	1	32	5
1	2	31	19
1	3	30	69
1	4	29	207
1	5	28	487
1	6	27	1017
1	7	26	1811
1	8	25	3083
1	9	24	4793
1	10	23	6771
1	11	22	8857
1	12	21	10481
1	13	20	12881
1	14	19	13761
1	15	18	14071
1	16	17	14943
1	17	16	14949
1	18	15	13043
1	19	14	11015
1	20	13	8459
1	21	12	6121
1	22	11	3929
1	23	10	2323
1	24	9	1237
1	25	8	653
1	26	7	307
1	27	6	181
1	28	5	85
1	29	4	31
1	30	3	17
1	31	2	3
1	32	1	1
1	33	0	3
