phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	32	1	0	0	5	0	0	2.4065675735473633	2.4065675735473633	0	2.7890240989741275	-2	2	0	0.40767237544059753	0.40767237544059753	172167	8.8095706475861996e-06	1.5167173496829733
0	2	31	3	1	0	21	0	0	2.4065675735473633	2.4065675735473633	0	2.65034486423141	-2	2	0	0.41972073912620544	0.41972073912620544	101650	1.4920977370221085e-05	1.5167173496829733
0	3	30	12	3	0	73	0	0	2.4065675735473633	2.4065675735473633	0	2.4750981581877776	-2	2	0	0.43691039085388184	0.43691039085388184	62741	2.4174261642035883e-05	1.5167173496829733
0	4	29	31	12	0	233	0	0	2.4065675735473633	2.4065675735473633	0	2.5997680732768611	-2	2	0	0.42444127798080444	0.42444127798080444	35848	4.230967835536078e-05	1.5167173496829733
0	5	28	72	31	0	631	0	0	2.4065675735473633	2.4065675735473633	0	2.4311087826624327	-2	2	0	0.44161638617515564	0.44161638617515564	21265	7.1324587335197428e-05	1.5167173496829733
0	6	27	161	72	0	1351	0	0	2.4065675735473633	2.4065675735473633	0	2.2205761065162375	-2	2	0	0.46668913960456848	0.46668913960456848	13342	0.00011367990928518762	1.5167173496829733
0	7	26	386	161	0	2493	0	0	2.4065675735473633	2.4065675735473633	0	2.0590390414896573	-2	2	0	0.4892829954624176	0.4892829954624176	8695	0.00017443557788188307	1.5167173496829733
0	8	25	960	386	-1	4889	0	0.46468365612372675	2.4065675735473633	2.4065675735473633	0	2.2757278871927809	-2	2	-0.4394198469982929	0.19088950753211975	0.19088950753211975	1963	0.00077265275072999149	1.5167173496829733
0	9	24	4451	960	-1	8071	0.46468365612372675	0.63415130385268648	2.4065675735473633	1.9418839174236366	-0.46342267061605463	1.8163542373339336	-2	1	-0.29541447276911137	0.36012914776802063	0.36012914776802063	917	0.0016539992908211269	1.5167173496829733
0	10	23	10206	4451	0	12053	0.63415130385268648	0.64140709237154492	2.4065675735473633	1.7724162696946768	-0.10713756926914353	1.6744891770154011	-1	1	0.063982240518332192	0.59027862548828125	0.59027862548828125	670	0.0022637572383327961	1.5167173496829733
