phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	7
0	2	31	37
0	3	30	171
0	4	29	651
0	5	28	2213
0	6	27	6763
0	7	26	19183
0	8	25	49689
0	9	24	114263
0	10	23	238057
0	11	22	472495
0	12	21	762098
0	13	20	1047304
0	14	19	1147272
0	15	18	981058
0	16	17	772462
0	17	16	594332
0	18	15	469426
0	19	14	342334
0	20	13	222302
0	21	12	146011
0	22	11	93177
0	23	10	54676
0	24	9	31940
0	25	8	18220
0	26	7	10281
0	27	6	5581
0	28	5	2904
0	29	4	1298
0	30	3	535
0	31	2	208
0	32	1	72
0	33	0	20
1	0	-1	1
1	1	32	5
1	2	31	19
1	3	30	65
1	4	29	191
1	5	28	457
1	6	27	1009
1	7	26	2103
1	8	25	4051
1	9	24	6761
1	10	23	10169
1	11	22	14055
1	12	21	17679
1	13	20	19035
1	14	19	18669
1	15	18	16903
1	16	17	16727
1	17	16	16889
1	18	15	14849
1	19	14	11225
1	20	13	7821
1	21	12	5115
1	22	11	3209
1	23	10	2017
1	24	9	1225
1	25	8	725
1	26	7	391
1	27	6	177
1	28	5	79
1	29	4	39
1	30	3	13
1	31	2	1
1	32	1	1
1	33	0	3
