phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	32	1	0	0	7	0	0	0.58125829696655273	0.58125829696655273	0	2.5908246580702996	-2	2	0	0.36595968663399064	0.36595968663399064	3726643	1.9202041521191931e-05	10.385620527281862
0	2	31	3	1	0	37	0	0	0.58125829696655273	0.58125829696655273	0	2.6094249401957623	-2	2	0	0.36464439393752579	0.36464439393752579	1890134	3.6099524058067389e-05	10.385620527281862
0	3	30	16	3	0	171	0	0	0.58125829696655273	0.58125829696655273	0	2.5852139019481561	-2	2	0	0.36636034259251976	0.36636034259251976	699422	4.0852650405827342e-05	10.385620527281862
0	4	29	49	16	0	651	0	0	0.58125829696655273	0.58125829696655273	0	2.5225250959311603	-2	2	0	0.37096525279329279	0.37096525279329279	286026	9.9897360562132705e-05	10.385620527281862
0	5	28	150	49	0	2213	0	0	0.58125829696655273	0.58125829696655273	0	2.3957843474791281	-2	2	0	0.38105235116546854	0.38105235116546854	122104	8.5055530754781682e-05	10.385620527281862
0	6	27	463	150	0	6763	0	0	0.58125829696655273	0.58125829696655273	0	2.3645193285565251	-2	2	0	0.38371546712567334	0.38371546712567334	53651	0.00019357738955996836	10.385620527281862
0	7	26	1432	463	0	19183	0	0	0.58125829696655273	0.58125829696655273	0	2.349464984578292	-2	2	0	0.38502425583030525	0.38502425583030525	24398	0.00042567507694408812	10.385620527281862
0	8	25	4153	1432	0	49689	0	0	0.58125829696655273	0.58125829696655273	0	2.2954830650542375	-2	2	0	0.38986487439612211	0.38986487439612211	11493	0.00090364748344921799	10.385620527281862
0	9	24	11468	4153	0	114263	0	0	0.58125829696655273	0.58125829696655273	0	2.1525238548494672	-2	2	0	0.40390657776733374	0.40390657776733374	5558	0.0018685895155239047	10.385620527281862
0	10	23	45356	11468	1	238057	0	0.13870903185047129	0.58125829696655273	0.58125829696655273	0	2.0470677309382634	-2	2	0.48850362149065524	0.19793784618377686	0.19793784618377686	1262	0.0082294932862772285	10.385620527281862
0	11	22	104815	45356	0	472495	0.13870903185047129	0.15256424882783226	0.58125829696655273	0.44254926511608145	0.32523690583412812	1.8381204507190501	-1	2	-0.17693993106213438	0.38857468669471873	0.38857468669471873	632	0.016432943872281426	10.385620527281862
0	12	21	222269	104815	0	762098	0.15256424882783226	0.15498047422906983	0.58125829696655273	0.42869404813872047	-0.12556444746055587	1.6725214413790559	-1	1	0.07507494035892498	0.51029371495205011	0.51029371495205011	390	0.026629796223799646	10.385620527281862
0	13	20	534962	222269	0	1047304	0.15498047422906983	0.17368943537201381	0.58125829696655273	0.42627782273748294	-0.33930011495979762	1.6195916899078551	-1	1	0.20949731779563635	0.46013412361442951	0.46013412361442951	218	0.047640461134320466	10.385620527281862
0	14	19	1192730	534962	0	1143718	0.17368943537201381	0.18494740705102958	0.58125829696655273	0.40756886159453892	0.26071604629373463	1.568693813434453	-1	1	-0.16619944826768357	0.48466977923684745	0.48466977923684745	131	0.079279546009785207	10.385620527281862
0	15	18	2900940	1192730	0	958870	0.18494740705102958	0.18523847326333565	0.58125829696655273	0.39631088991552316	0.037789899061511777	1.3944335963935235	-1	1	-0.027100536848258118	0.56548082358378982	0.56548082358378982	96	0.10818354715918606	10.385620527281862
0	16	17	5879992	2900940	0	752266	0.18523847326333565	0.20097282913205383	0.58125829696655273	0.39601982370321709	0.25942725962248286	1.3015162263378011	-1	1	-0.19932694988556371	0.51458259798688222	0.51458259798688222	66	0.15735788677699791	10.385620527281862
0	17	16	7111716	5879992	0	579508	0.20097282913205383	0.20311586024908498	0.58125829696655273	0.3802854678344989	-0.091849944566050362	1.2235438116517954	-1	1	0.075068782736968029	0.58916956186294556	0.58916956186294556	52	0.19972347167849736	10.385620527281862
0	18	15	7436712	7111716	0	458028	0.20311586024908498	0.21352206483892922	0.58125829696655273	0.37814243671746772	-0.20055202495773936	1.2089506708272921	-1	1	0.16588933675887738	0.55867499945573507	0.55867499945573507	36	0.28848945909116286	10.385620527281862
0	19	14	7502665	7436712	0	334294	0.21352206483892922	0.23543832049754856	0.58125829696655273	0.36773623212762352	-0.26305840415554904	1.0775494588258028	-1	0	0.24412652431026388	0.70291330525020679	0.70291330525020679	29	0.35812484576834008	10.385620527281862
0	20	13	7510159	7502665	0	217321	0.23543832049754856	0.23603452633705732	0.58125829696655273	0.34581997646900414	-0.03850526191704233	0.92735711338427051	0	0	0.041521503810460166	1	1	28	0.37091501883149508	10.385620527281862
0	21	12	7511462	7510159	0	142874	0.23603452633705732	0.26326338655583281	0.58125829696655273	0.34522377062949539	-0.26497842839290497	0.94350918982545184	-1	0	0.2808435055539053	0.73034471273422241	0.73034471273422241	23	0.45154871857747225	10.385620527281862
0	22	11	7513778	7511462	1	91288	0.26326338655583281	0.37400362576433088	0.58125829696655273	0.31799491041071992	0.47661016573172044	0.88691630502796337	0	1	0.59012313935504634	0.47365236282348633	0.47365236282348633	13	0.79889388671398942	10.385620527281862
0	23	10	7514091	7513778	0	53546	0.37400362576433088	0.3763806270855557	0.58125829696655273	0.20725467120222185	-0.071929584768618868	0.6716530720685514	0	0	0.10709336078385043	1	1	12	0.86546837727348847	10.385620527281862
0	24	9	7514255	7514091	0	31319	0.3763806270855557	0.37881807090757391	0.58125829696655273	0.20487766988099707	-0.074238337909888749	0.68062554635196149	0	0	0.10907368715117109	1	1	11	0.94414732066198748	10.385620527281862
0	25	8	7514312	7514255	0	17859	0.37881807090757391	0.42590815168713353	0.58125829696655273	0.20244022605897882	0.323600329408818	0.67095384204389374	0	0	-0.48229894387824096	1	1	10	1.0385620527281862	10.385620527281862
0	26	7	7514337	7514312	-1	10106	0.42590815168713353	0.50422682943273156	0.58125829696655273	0.15535014527941921	-0.58135572782075429	0.58961471298338319	-1	0	-0.71003023323646974	0.63458198308944702	0.63458198308944702	8	1.2982025659102328	10.385620527281862
0	27	6	7514361	7514337	0	5494	0.50422682943273156	0.51708346098942726	0.58125829696655273	0.077031467533821146	0.16304502356190406	0.39909660617800252	0	0	-0.4085352294105547	1	1	7	1.4836600753259803	10.385620527281862
0	28	5	7514373	7514361	0	2871	0.51708346098942726	0.51729773634270171	0.58125829696655273	0.064174835977125463	0.019813300080778227	0.34288863517348506	0	0	-0.05778348433961264	1	1	6	1.7309367545469769	10.385620527281862
0	29	4	7514382	7514373	0	1281	0.51729773634270171	0.51828165037761609	0.58125829696655273	0.063960560623851012	0.038967615863501205	0.31418206402719001	0	0	-0.12402877288414803	1	1	5	2.0771241054563725	10.385620527281862
0	30	3	7514386	7514382	0	530	0.51828165037761609	0.52132397005818587	0.58125829696655273	0.062976646588936619	-0.070040224217754007	0.31866536969380416	0	0	0.21979239314599364	1	1	4	2.5964051318204655	10.385620527281862
0	31	2	7514390	7514386	0	205	0.52132397005818587	0.53667484728428483	0.58125829696655273	0.059934326908366871	-0.13808580687002214	0.27284767600893051	0	0	0.50609119670677527	1	1	3	3.4618735090939539	10.385620527281862
0	32	1	7514394	7514390	0	71	0.53667484728428483	0.53741037632984912	0.58125829696655273	0.044583449682267948	0.029612357978030739	0.23054723171652705	0	0	-0.12844378029418752	1	1	2	5.192810263640931	10.385620527281862
0	33	0	7514398	7514394	0	18	0.53741037632984912	0.53748655319213867	0.58125829696655273	0.04384792063670364	0.0086905730506901639	0.20850255245317539	0	0	-0.041680895262142435	1	1	1	10.385620527281862	10.385620527281862
1	1	32	1	0	0	5	0	0	0.53748655319213867	0.53748655319213867	0	2.4913643233395502	-2	2	0	0.43521228432655334	0.43521228432655334	118811	0	0
1	2	31	3	1	0	19	0	0	0.53748655319213867	0.53748655319213867	0	2.5092505508567542	-2	2	0	0.43337056040763855	0.43337056040763855	72052	0	0
1	3	30	12	3	0	65	0	0	0.53748655319213867	0.53748655319213867	0	2.4859689610613174	-2	2	0	0.43577307462692261	0.43577307462692261	43167	0	0
1	4	29	27	12	0	191	0	0	0.53748655319213867	0.53748655319213867	0	2.4256867438541434	-2	2	0	0.44220826029777527	0.44220826029777527	26130	0	0
1	5	28	62	27	0	457	0	0	0.53748655319213867	0.53748655319213867	0	2.3038115030796753	-2	2	0	0.45623916387557983	0.45623916387557983	16483	0	0
1	6	27	143	62	0	1009	0	0	0.53748655319213867	0.53748655319213867	0	2.2737467310505544	-2	2	0	0.4599277675151825	0.4599277675151825	10198	0	0
1	7	26	328	143	0	2103	0	0	0.53748655319213867	0.53748655319213867	0	2.259270315063922	-2	2	0	0.4617379903793335	0.4617379903793335	6219	0	0
