phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	5
0	2	31	19
0	3	30	69
0	4	29	221
0	5	28	615
0	6	27	1381
0	7	26	2697
0	8	25	4771
0	9	24	8055
0	10	23	12461
0	11	22	17529
0	12	21	23331
0	13	20	28721
0	14	19	33635
0	15	18	36479
0	16	17	35953
0	17	16	30639
0	18	15	23579
0	19	14	19606
0	20	13	15083
0	21	12	10867
0	22	11	7041
0	23	10	4049
0	24	9	2129
0	25	8	1005
0	26	7	451
0	27	6	183
0	28	5	71
0	29	4	33
0	30	3	19
0	31	2	11
0	32	1	7
0	33	0	5
1	0	-1	1
1	1	32	5
1	2	31	19
1	3	30	51
1	4	29	135
1	5	28	313
1	6	27	663
1	7	26	1371
1	8	25	2453
1	9	24	3773
1	10	23	5435
1	11	22	7271
1	12	21	8417
1	13	20	9293
1	14	19	9277
1	15	18	8417
1	16	17	7409
1	17	16	5829
1	18	15	4553
1	19	14	3277
1	20	13	2365
1	21	12	1477
1	22	11	917
1	23	10	535
1	24	9	243
1	25	8	127
1	26	7	65
1	27	6	27
1	28	5	7
1	29	4	3
1	30	3	3
1	31	2	3
1	32	1	3
1	33	0	3
