phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	5
0	2	31	23
0	3	30	87
0	4	29	259
0	5	28	635
0	6	27	1463
0	7	26	2973
0	8	25	5935
0	9	24	10441
0	10	23	16469
0	11	22	22623
0	12	21	26627
0	13	20	31941
0	14	19	36955
0	15	18	38641
0	16	17	35297
0	17	16	32028
0	18	15	26372
0	19	14	20349
0	20	13	14625
0	21	12	10751
0	22	11	6957
0	23	10	4065
0	24	9	2169
0	25	8	1043
0	26	7	533
0	27	6	243
0	28	5	93
0	29	4	33
0	30	3	7
0	31	2	5
0	32	1	3
0	33	0	3
1	0	-1	1
1	1	32	5
1	2	31	19
1	3	30	61
1	4	29	197
1	5	28	529
1	6	27	1229
1	7	26	2637
1	8	25	4923
1	9	24	8887
1	10	23	13615
1	11	22	17531
1	12	21	22133
1	13	20	26189
1	14	19	26357
1	15	18	25207
1	16	17	23923
1	17	16	21079
1	18	15	16235
1	19	14	12371
1	20	13	8519
1	21	12	5645
1	22	11	3663
1	23	10	2217
1	24	9	1313
1	25	8	765
1	26	7	387
1	27	6	165
1	28	5	59
1	29	4	13
1	30	3	7
1	31	2	1
1	32	1	1
1	33	0	3
