phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	32	2	0	-1	5	0	0.075979366429515804	0.57966303825378418	0.57966303825378418	0	2.7621036420422223	-2	2	-0.36204289541453555	0.19871315360069275	0.19871315360069275	74961	1.2424021175431876e-05	0.93131705133154885
0	2	31	13	2	1	23	0.075979366429515804	0.1023921822780595	0.57966303825378418	0.50368367182426832	0.41035878970593725	2.574894344699628	-2	2	0.2289962737724863	0.29576471447944641	0.29576471447944641	31206	2.9844166228659517e-05	0.93131705133154885
0	3	30	33	13	0	87	0.1023921822780595	0.12227171247518581	0.57966303825378418	0.47727085597572466	-0.49484314134571961	2.4246382637524739	-2	1	0.20408947130112479	0.34911277890205383	0.34911277890205383	14314	6.5063368124322255e-05	0.93131705133154885
0	4	29	94	33	-1	259	0.12227171247518581	0.1362937399073634	0.57966303825378418	0.45739132577859837	-0.60616992407303005	2.2493002682304222	-2	1	-0.17509004088493949	0.38771235942840576	0.38771235942840576	7423	0.00012546370083949196	0.93131705133154885
0	5	28	264	94	0	635	0.1362937399073634	0.15505895315286508	0.57966303825378418	0.44336929834642075	0.41424858826744748	2.0135716748259131	-1	2	-0.20572825563970154	0.39586758613586426	0.39586758613586426	3879	0.00024009204726258026	0.93131705133154885
0	6	27	711	264	0	1463	0.15505895315286508	0.16689831385609005	0.57966303825378418	0.42460408510091913	0.34428789474757326	2.0618150769927235	-1	2	-0.1669829164552124	0.41691160202026367	0.41691160202026367	2075	0.00044882749461761391	0.93131705133154885
0	7	26	1809	711	-1	2973	0.16689831385609005	0.19449797279034439	0.57966303825378418	0.41276472439769413	-0.51827935723964824	1.8629220658669625	-2	1	-0.2585833576114574	0.37995064258575439	0.37995064258575439	1017	0.00091574931301037249	0.93131705133154885
0	8	25	5598	1809	1	5935	0.19449797279034439	0.23489943967702387	0.57966303825378418	0.38516506546343982	0.38774215444045557	1.890424063865713	-1	2	0.32387328180087976	0.32727709412574768	0.32727709412574768	420	0.0022174215507894022	0.93131705133154885
0	9	24	12608	5598	0	10441	0.23489943967702387	0.2393808065087849	0.57966303825378418	0.34476359857676031	0.18906923337754813	1.6583504696679865	-1	1	-0.1140104198935712	0.56440889835357666	0.56440889835357666	283	0.0032908729729029993	0.93131705133154885
0	10	23	31057	12608	0	16469	0.2393808065087849	0.29632943840316944	0.57966303825378418	0.34028223174499928	-0.64322859502799934	1.5723286630198359	-2	0	0.40909296520271138	0.35172969102859497	0.35172969102859497	113	0.0082417438170933523	0.93131705133154885
0	11	22	48690	31057	0	22623	0.29632943840316944	0.31539812486718988	0.57966303825378418	0.28333359985061474	0.33642606841325451	1.2968157937632758	0	1	-0.25942471554650626	0.62352573871612549	0.62352573871612549	78	0.011939962196558318	0.93131705133154885
0	12	21	89851	48690	1	26627	0.31539812486718988	0.31555334644870509	0.57966303825378418	0.2642649133865943	0.97270041900754967	1.1264182598703036	0	2	0.024235740812292631	0.73744803667068481	0.73744803667068481	72	0.012934959046271512	0.93131705133154885
0	13	20	134518	89851	0	31937	0.31555334644870509	0.31625844882266246	0.57966303825378418	0.26410969180507909	-0.061005465872334283	1.1806871286480936	-1	1	0.051669459581715406	0.70932596921920776	0.70932596921920776	57	0.016338895637395594	0.93131705133154885
0	14	19	150314	134518	1	36879	0.31625844882266246	0.34048426755117173	0.57966303825378418	0.26340458943112172	0.64184818285673506	1.1809719870187532	0	1	0.30326868128970924	0.61785310506820679	0.61785310506820679	38	0.024508343456093391	0.93131705133154885
0	15	18	162734	150314	1	37897	0.34048426755117173	0.34056128120313439	0.57966303825378418	0.23917877070261248	0.98107922891427479	1.0544264392729927	0	2	0.017944135675098179	0.76261800527572632	0.76261800527572632	35	0.026609058609472824	0.93131705133154885
0	16	17	189374	162734	1	33109	0.34056128120313439	0.34191646010135079	0.57966303825378418	0.23910175705064976	0.92746622804809586	0.96345920645140093	0	1	0.075284735945447517	0.85504299402236938	0.85504299402236938	30	0.03104390171105163	0.93131705133154885
0	17	16	205812	189374	0	27740	0.34191646010135079	0.34864855996113336	0.57966303825378418	0.23774657815243336	0.16748789413629181	0.99532585328269418	0	1	-0.16827443352737026	0.79187989234924316	0.79187989234924316	27	0.034493224123390696	0.93131705133154885
0	18	15	217582	205812	0	20131	0.34864855996113336	0.3489444705664359	0.57966303825378418	0.23101447829265082	0.033346095826995867	0.93171766209341489	0	0	-0.03578991488910141	1	1	26	0.035819886589674957	0.93131705133154885
0	19	14	225355	217582	1	13513	0.3489444705664359	0.3541050376402145	0.57966303825378418	0.23071856768734827	0.86290606471996545	0.91666532389401367	0	1	0.14955723938335164	0.82971268892288208	0.82971268892288208	23	0.040492045710067343	0.93131705133154885
0	20	13	235719	225355	1	8475	0.3541050376402145	0.39351184067073947	0.57966303825378418	0.22555800061356968	0.63461278992832204	0.87417193180375818	0	1	0.4179809449129091	0.64929819107055664	0.64929819107055664	17	0.054783355960679347	0.93131705133154885
0	21	12	248419	235719	0	5435	0.39351184067073947	0.4051826288735122	0.57966303825378418	0.18615119758304471	0.2051452607833722	0.81930256001854762	0	1	-0.25039011324305893	0.80838340520858765	0.80838340520858765	14	0.066522646523682061	0.93131705133154885
0	22	11	277534	248419	-2	3174	0.4051826288735122	0.44834701970079333	0.57966303825378418	0.17448040938027198	-1.6503109120912716	0.70306035320615001	-2	-1	-0.49738132197904378	0.70165276527404785	0.70165276527404785	12	0.077609754277629076	0.93131705133154885
0	23	10	295183	277534	0	1716	0.44834701970079333	0.45504349244359377	0.57966303825378418	0.13131601855299083	0.12885619086314432	0.57061224820015766	0	0	-0.2258209340398605	1	1	11	0.084665186484686253	0.93131705133154885
0	24	9	299721	295183	0	834	0.45504349244359377	0.49230142147094746	0.57966303825378418	0.12461954581019041	0.28225389894009983	0.51620674662798638	0	0	-0.54678459896904674	1	1	10	0.093131705133154885	0.93131705133154885
