phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	32	1	0	0	5	0	0	0.55109548568725586	0.55109548568725586	0	2.4341961016053215	-2	2	0	0.44128057360649109	0.44128057360649109	87751	1.2280414415621978e-05	1.0776186453852441
0	2	31	3	1	0	21	0	0	0.55109548568725586	0.55109548568725586	0	2.4141881507581466	-2	2	0	0.44347211718559265	0.44347211718559265	53788	2.0034555019432664e-05	1.0776186453852441
0	3	30	12	3	0	57	0	0	0.55109548568725586	0.55109548568725586	0	2.4528376707322899	-2	2	0	0.43927076458930969	0.43927076458930969	30771	3.5020592290963704e-05	1.0776186453852441
0	4	29	27	12	0	155	0	0	0.55109548568725586	0.55109548568725586	0	2.2595058709462852	-2	2	0	0.46170836687088013	0.46170836687088013	18058	5.9675415072834427e-05	1.0776186453852441
0	5	28	77	27	-1	375	0	0.11631426993232635	0.55109548568725586	0.55109548568725586	0	2.1766917298553059	-2	2	-0.45941278054402052	0.18852558732032776	0.18852558732032776	4002	0.00026927002633314443	1.0776186453852441
0	6	27	248	77	0	801	0.11631426993232635	0.12688426395723654	0.55109548568725586	0.43478121575492951	0.29688988412612594	1.9041160581038603	-1	2	-0.1559200569012438	0.44826915860176086	0.44826915860176086	2532	0.00042559978095783733	1.0776186453852441
0	7	26	758	248	0	1511	0.12688426395723654	0.12764122157956351	0.55109548568725586	0.42421122173001929	-0.078034218158758772	1.8473125324737569	-1	1	0.042242022823426782	0.57479888200759888	0.57479888200759888	1786	0.00060336990223137964	1.0776186453852441
0	8	25	1402	758	0	2623	0.12764122157956351	0.13690457864659106	0.55109548568725586	0.42345426410769238	-0.25854348468419391	1.7480451704601139	-2	1	0.14790434998664312	0.48139545321464539	0.48139545321464539	1185	0.00090938282310991066	1.0776186453852441
0	9	24	2991	1402	0	4565	0.13690457864659106	0.13793375016667489	0.55109548568725586	0.4141909070406648	0.093862900808932337	1.8830002263144294	-1	1	-0.049847524974890159	0.5657007098197937	0.5657007098197937	775	0.0013904756714648312	1.0776186453852441
0	10	23	4423	2991	0	6767	0.13793375016667489	0.15070671109600195	0.55109548568725586	0.413161735520581	0.29145575260471512	1.6576272832836596	-1	1	-0.17582707255358326	0.52526497840881348	0.52526497840881348	501	0.0021509354199306268	1.0776186453852441
0	11	22	6456	4423	0	8851	0.15070671109600195	0.15090873114898706	0.55109548568725586	0.40038877459125388	-0.033978543757198797	1.5126848879193739	-1	1	0.022462407093875755	0.64177387952804565	0.64177387952804565	389	0.0027702278801677227	1.0776186453852441
