phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	5
0	2	31	23
0	3	30	85
0	4	29	267
0	5	28	743
0	6	27	1745
0	7	26	3929
0	8	25	7341
0	9	24	13573
0	10	23	23817
0	11	22	39979
0	12	21	61409
0	13	20	85369
0	14	19	105767
0	15	18	116172
0	16	17	117959
0	17	16	108530
0	18	15	90891
0	19	14	65757
0	20	13	44449
0	21	12	28698
0	22	11	17031
0	23	10	9417
0	24	9	5033
0	25	8	2406
0	26	7	1073
0	27	6	452
0	28	5	193
0	29	4	82
0	30	3	31
0	31	2	13
0	32	1	9
0	33	0	7
1	0	-1	1
1	1	32	5
1	2	31	15
1	3	30	45
1	4	29	109
1	5	28	229
1	6	27	427
1	7	26	719
1	8	25	1173
1	9	24	1781
1	10	23	2555
1	11	22	3565
1	12	21	4281
1	13	20	4381
1	14	19	4373
1	15	18	3931
1	16	17	3347
1	17	16	2905
1	18	15	2187
1	19	14	1551
1	20	13	1043
1	21	12	621
1	22	11	339
1	23	10	165
1	24	9	83
1	25	8	39
1	26	7	19
1	27	6	9
1	28	5	5
1	29	4	1
1	30	3	1
1	31	2	1
1	32	1	1
1	33	0	3
