phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	32	1	0	0	5	0	0	0.51767873764038086	0.51767873764038086	0	2.178050371069427	-2	2	0	0.47232657670974731	0.47232657670974731	68441	0	0
0	2	31	3	1	0	17	0	0	0.51767873764038086	0.51767873764038086	0	2.4244148133262491	-2	2	0	0.44234746694564819	0.44234746694564819	42852	0	0
0	3	30	12	3	0	51	0	0	0.51767873764038086	0.51767873764038086	0	2.3146535273156785	-2	2	0	0.45493200421333313	0.45493200421333313	27697	0	0
0	4	29	27	12	0	131	0	0	0.51767873764038086	0.51767873764038086	0	2.2283489527517828	-2	2	0	0.46568119525909424	0.46568119525909424	18262	0	0
0	5	28	58	27	0	293	0	0	0.51767873764038086	0.51767873764038086	0	2.1331998847222189	-2	2	0	0.4785057008266449	0.4785057008266449	12473	0	0
0	6	27	133	58	0	627	0	0	0.51767873764038086	0.51767873764038086	0	2.0952920918864661	-2	2	0	0.48392456769943237	0.48392456769943237	8392	0	0
0	7	26	274	133	0	1145	0	0	0.51767873764038086	0.51767873764038086	0	1.9411295868765186	-1	1	0	0.58350551128387451	0.58350551128387451	6011	0	0
0	8	25	390	274	0	2037	0	0	0.51767873764038086	0.51767873764038086	0	2.0753429250705335	-2	2	0	0.48685139417648315	0.48685139417648315	3950	0	0
0	9	24	894	390	0	3235	0	0	0.51767873764038086	0.51767873764038086	0	1.9830866920720047	-1	1	0	0.57819831371307373	0.57819831371307373	2667	0	0
0	10	23	1376	894	0	4609	0	0	0.51767873764038086	0.51767873764038086	0	1.8715342634157215	-1	1	0	0.59278601408004761	0.59278601408004761	1872	0	0
0	11	22	2423	1376	0	6251	0	0	0.51767873764038086	0.51767873764038086	0	1.8276525205467518	-1	1	0	0.59896457195281982	0.59896457195281982	1285	0	0
0	12	21	3052	2423	0	7655	0	0	0.51767873764038086	0.51767873764038086	0	1.7252006296058782	-1	1	0	0.61446934938430786	0.61446934938430786	926	0	0
0	13	20	4459	3052	0	8889	0	0	0.51767873764038086	0.51767873764038086	0	1.6950852461617218	-1	1	0	0.61933684349060059	0.61933684349060059	655	0	0
0	14	19	6404	4459	0	9829	0	0	0.51767873764038086	0.51767873764038086	0	1.6783753225177513	-1	1	0	0.62210237979888916	0.62210237979888916	472	0	0
0	15	18	9283	6404	0	9995	0	0	0.51767873764038086	0.51767873764038086	0	1.597653949634172	-1	1	0	0.63614898920059204	0.63614898920059204	333	0	0
0	16	17	18360	9283	1	9629	0	0.2136321757447163	0.51767873764038086	0.51767873764038086	0	1.5566709902987208	-1	1	0.64239650268558213	0.17812865972518921	0.17812865972518921	44	0	0
0	17	16	44006	18360	0	8795	0.2136321757447163	0.22966426196637557	0.51767873764038086	0.30404656189566454	-0.26761879665573135	1.1654446218126258	-1	0	0.22962806781801573	0.68945467472076416	0.68945467472076416	34	0	0
0	18	15	72385	44006	0	6941	0.22966426196637557	0.2298955258708609	0.51767873764038086	0.28801447567400529	0.028542473957129215	1.0072675538375477	0	1	-0.028336536651445195	0.86671537160873413	0.86671537160873413	32	0	0
0	19	14	87726	72385	0	4889	0.2298955258708609	0.23098018681246643	0.51767873764038086	0.28778321176951999	-0.058723175573268394	0.95652265287700355	-1	0	0.061392352179681663	0.86357873678207397	0.86357873678207397	30	0	0
