phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	7
0	2	31	33
0	3	30	125
0	4	29	417
0	5	28	1287
0	6	27	3729
0	7	26	9327
0	8	25	23139
0	9	24	48795
0	10	23	91991
0	11	22	155741
0	12	21	204011
0	13	20	250299
0	14	19	257485
0	15	18	215978
0	16	17	186234
0	17	16	148147
0	18	15	119079
0	19	14	97961
0	20	13	74248
0	21	12	53769
0	22	11	38042
0	23	10	24719
0	24	9	15605
0	25	8	8998
0	26	7	5182
0	27	6	2798
0	28	5	1434
0	29	4	578
0	30	3	254
0	31	2	111
0	32	1	54
0	33	0	16
1	0	-1	1
1	1	32	5
1	2	31	19
1	3	30	69
1	4	29	203
1	5	28	545
1	6	27	1379
1	7	26	3015
1	8	25	5675
1	9	24	9767
1	10	23	15483
1	11	22	22019
1	12	21	29725
1	13	20	38615
1	14	19	47173
1	15	18	53509
1	16	17	56449
1	17	16	61841
1	18	15	58961
1	19	14	52473
1	20	13	43389
1	21	12	34135
1	22	11	24011
1	23	10	16067
1	24	9	9587
1	25	8	5803
1	26	7	3289
1	27	6	1739
1	28	5	769
1	29	4	323
1	30	3	145
1	31	2	69
1	32	1	11
1	33	0	3
