phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	32	1	0	0	7	0	0	0.63353204727172852	0.63353204727172852	0	2.5871488838395131	-2	2	0	0.38560410171139259	0.38560410171139259	1089274	3.7270540773107758e-05	5.8362030512767138
0	2	31	3	1	0	33	0	0	0.63353204727172852	0.63353204727172852	0	2.5936427604882457	-2	2	0	0.38508773384622075	0.38508773384622075	563755	6.9567757666721511e-05	5.8362030512767138
0	3	30	16	3	0	125	0	0	0.63353204727172852	0.63353204727172852	0	2.5402322517354947	-2	2	0	0.38941665572899975	0.38941665572899975	333386	0.00011763892671978602	5.8362030512767138
0	4	29	45	16	0	417	0	0	0.63353204727172852	0.63353204727172852	0	2.4501157391996857	-2	2	0	0.39716693167139694	0.39716693167139694	233715	0.00016780767697153619	5.8362030512767138
0	5	28	130	45	0	1287	0	0	0.63353204727172852	0.63353204727172852	0	2.4689955067564648	-2	2	0	0.39549450887756021	0.39549450887756021	187322	0.00020936767290228903	5.8362030512767138
0	6	27	330	130	-1	3729	0	0.10799820744929073	0.63353204727172852	0.63353204727172852	0	2.4220104952414077	-2	2	-0.41288012664054435	0.20003663897405149	0.20003663897405149	41133	0.0001418861510533322	5.8362030512767138
0	7	26	1007	330	0	9327	0.10799820744929073	0.13523186771890933	0.63353204727172852	0.52553383982243784	0.47624910538216031	2.0920955136714379	-1	2	-0.22764214266029678	0.34895267125369384	0.34895267125369384	17192	0.00033947202485322907	5.8362030512767138
0	8	25	3191	1007	0	23139	0.13523186771890933	0.13683867634876407	0.63353204727172852	0.49830017955281919	-0.12105700663389739	2.1318339539848736	-2	2	0.056785382561158101	0.39719437665057833	0.39719437665057833	8533	0.00068395676213251074	5.8362030512767138
0	9	24	9789	3191	0	48795	0.13683867634876407	0.13775617805733675	0.63353204727172852	0.49669337092296445	-0.083060337807050744	1.9325664425740192	-2	1	0.042979292187450599	0.46517487984156547	0.46517487984156547	4651	0.001254827574989618	5.8362030512767138
0	10	23	24151	9789	0	91991	0.13775617805733675	0.15179472354592682	0.63353204727172852	0.49577586921439176	0.30630750962830211	1.8202845372578358	-1	2	-0.16827452156998407	0.41405328799744479	0.41405328799744479	2290	0.0025485602844003115	5.8362030512767138
0	11	22	55005	24151	0	155741	0.15179472354592682	0.15577423307730798	0.63353204727172852	0.48173732372580169	0.15778531816626992	1.7360289495889007	-1	1	-0.090888644572219943	0.51850206967039791	0.51850206967039791	1331	0.0043848257334911447	5.8362030512767138
0	12	21	134663	55005	0	203765	0.15577423307730798	0.17625708079488461	0.63353204727172852	0.47775781419442054	-0.32685516301421308	1.5785708576539479	-1	1	0.20705764421622549	0.48388654708614026	0.48388654708614026	728	0.0080167624330724097	5.8362030512767138
0	13	20	310716	134663	0	244181	0.17625708079488461	0.18420412548130072	0.63353204727172852	0.4572749664768439	-0.22138946476354587	1.6793562544589826	-1	1	0.13182995816147905	0.50534614120304389	0.50534614120304389	419	0.013928885563906238	5.8362030512767138
0	14	19	700985	310716	0	238549	0.18420412548130072	0.19691359746251622	0.63353204727172852	0.4493279217904278	-0.27170230206527957	1.6155160148378491	-1	1	0.16818298275585375	0.49635665831442888	0.49635665831442888	224	0.026054477907485329	5.8362030512767138
0	15	18	1219558	700985	1	180070	0.19691359746251622	0.32759744594436774	0.63353204727172852	0.43661844980921227	0.23241485505260642	1.4030289916708687	-1	1	0.5470914353902806	0.29268411389476756	0.29268411389476756	73	0.079947987003790605	5.8362030512767138
0	16	17	1514412	1219558	0	139154	0.32759744594436774	0.32952057262169765	0.63353204727172852	0.30593460132736078	0.091648439643629398	1.1559403624394329	-1	1	-0.07928474739840348	0.61914431126200686	0.61914431126200686	55	0.1061127827504857	5.8362030512767138
0	17	16	1591307	1514412	0	103935	0.32952057262169765	0.37816389007099566	0.63353204727172852	0.30401147465003087	-0.41452227527953711	1.0362899069587672	-1	0	0.40000609143830107	0.56185348516265998	0.56185348516265998	33	0.17685463791747619	5.8362030512767138
0	18	15	1605209	1591307	0	80013	0.37816389007099566	0.4158810011822423	0.63353204727172852	0.25536815720073286	0.37072472715338328	0.96464099591758201	0	1	-0.38431367599170296	0.59732896089553833	0.59732896089553833	22	0.26528195687621425	5.8362030512767138
0	19	14	1638317	1605209	1	62515	0.4158810011822423	0.42470047242009823	0.63353204727172852	0.21765104608948624	0.80798960856919488	0.9538582455232375	0	1	0.20129866500810942	0.71391370715033742	0.71391370715033742	18	0.32423350284870633	5.8362030512767138
0	20	13	1690426	1638317	0	45074	0.42470047242009823	0.4520489350903632	0.63353204727172852	0.20883157485163029	0.3161601139743801	0.87365245578413231	0	1	-0.36188316289984651	0.64331523646964917	0.64331523646964917	15	0.38908020341844757	5.8362030512767138
0	21	12	1716460	1690426	1	31535	0.4520489350903632	0.48061358806644422	0.63353204727172852	0.18148311218136534	0.69249049604153767	0.7751079220845456	0	1	0.39673121019258589	0.66168095653298364	0.66168095653298364	13	0.4489386962520549	5.8362030512767138
0	22	11	1717952	1716460	-1	21698	0.48061358806644422	0.50257014720777871	0.63353204727172852	0.1529184592052843	-0.73598612305575051	0.69674613838715382	-1	-1	-0.37892406200541806	1	1	12	0.4863502542730595	5.8362030512767138
0	23	10	1718126	1717952	1	13819	0.50257014720777871	0.5043914269440688	0.63353204727172852	0.13096190006394981	1.0708842272062475	0.60108205823788652	1	1	-0.11792770427061088	1	1	11	0.53056391375242851	5.8362030512767138
0	24	9	1718176	1718126	1	8647	0.5043914269440688	0.50451602166563991	0.63353204727172852	0.12914062032765977	1.0180440605540146	0.58091941055950858	1	1	-0.03106121129028161	1	1	10	0.58362030512767138	5.8362030512767138
0	25	8	1718240	1718176	-1	5014	0.50451602166563991	0.50456205728198711	0.63353204727172852	0.1290160256060886	-1.0102026541713014	0.54011720873974034	-1	-1	0.018889703949828269	1	1	9	0.64846700569741267	5.8362030512767138
0	26	7	1718310	1718240	-1	2868	0.50456205728198711	0.51144089798259562	0.63353204727172852	0.12896998998974135	-0.87467792686955637	0.54264309051991211	-1	-1	-0.230947514710583	1	1	8	0.72952538140958922	5.8362030512767138
0	27	6	1718350	1718310	0	1582	0.51144089798259562	0.51801372145975777	0.63353204727172852	0.12209114928913291	0.12233290186170563	0.52724125403530309	0	0	-0.23202452563303108	1	1	7	0.83374329303953054	5.8362030512767138
0	28	5	1718362	1718350	0	836	0.51801372145975777	0.53098350829427954	0.63353204727172852	0.11551832581197077	0.1574091766045094	0.4697741020419266	0	0	-0.33507418974420367	1	1	6	0.972700508546119	5.8362030512767138
0	29	4	1718380	1718362	-1	332	0.53098350829427954	0.53680497199918786	0.63353204727172852	0.10254853897744895	-0.90796455771564377	0.38628135423435095	-1	-1	-0.23826012121858667	1	1	5	1.1672406102553428	5.8362030512767138
0	30	3	1718400	1718380	0	148	0.53680497199918786	0.58434513084709894	0.63353204727172852	0.096727075272540611	0.2644572166418061	0.37722384427091366	0	0	-0.70106177183189644	1	1	4	1.4590507628191784	5.8362030512767138
0	31	2	1718420	1718400	1	71	0.58434513084709894	0.61412442502147646	0.63353204727172852	0.049186916424629565	0.80814621162593381	0.24656871840779768	1	1	0.7780946002110497	1	1	3	1.945401017092238	5.8362030512767138
0	32	1	1718440	1718420	1	40	0.61412442502147646	0.62663097477536844	0.63353204727172852	0.019407622250252096	0.87048672628172519	0.16133614993672082	1	1	0.80275421081433074	1	1	2	2.9181015256383569	5.8362030512767138
0	33	0	1718452	1718440	2	15	0.62663097477536844	0.63293814659118652	0.63353204727172852	0.0069010724963600818	1.9163569805524525	0.087492467742496943	2	2	0.95600251776782719	1	1	1	5.8362030512767138	5.8362030512767138
1	1	32	1	0	0	5	0	0	2.5317525863647461	2.5317525863647461	0	2.5859359461861651	-2	2	0	0.42576491832733154	0.42576491832733154	378861	0	0
1	2	31	3	1	0	19	0	0	2.5317525863647461	2.5317525863647461	0	2.5924267782990569	-2	2	0	0.42514201998710632	0.42514201998710632	235992	0	0
1	3	30	12	3	0	69	0	0	2.5317525863647461	2.5317525863647461	0	2.5390413100909588	-2	2	0	0.43036088347434998	0.43036088347434998	147269	0	0
1	4	29	27	12	0	203	0	0	2.5317525863647461	2.5317525863647461	0	2.4489670470414189	-2	2	0	0.43968555331230164	0.43968555331230164	94030	0	0
1	5	28	68	27	0	545	0	0	2.5317525863647461	2.5317525863647461	0	2.4678379631628982	-2	2	0	0.43767553567886353	0.43767553567886353	58549	0	0
1	6	27	147	68	0	1379	0	0	2.5317525863647461	2.5317525863647461	0	2.5691712305715821	-2	2	0	0.42738848924636841	0.42738848924636841	34232	0	0
1	7	26	346	147	0	3015	0	0	2.5317525863647461	2.5317525863647461	0	2.4168705947643367	-2	2	0	0.44317620992660522	0.44317620992660522	20865	0	0
1	8	25	805	346	0	5675	0	0	2.5317525863647461	2.5317525863647461	0	2.1888802262763001	-2	2	0	0.47087091207504272	0.47087091207504272	13650	0	0
