phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	5
0	2	31	29
0	3	30	107
0	4	29	295
0	5	28	893
0	6	27	2351
0	7	26	5923
0	8	25	13795
0	9	24	27211
0	10	23	47803
0	11	22	79155
0	12	21	121149
0	13	20	167575
0	14	19	202097
0	15	18	231803
0	16	17	242487
0	17	16	212410
0	18	15	180112
0	19	14	140079
0	20	13	108675
0	21	12	77666
0	22	11	50623
0	23	10	30161
0	24	9	18582
0	25	8	11217
0	26	7	6065
0	27	6	3009
0	28	5	1272
0	29	4	564
0	30	3	202
0	31	2	83
0	32	1	38
0	33	0	11
1	0	-1	1
1	1	32	5
1	2	31	19
1	3	30	69
1	4	29	181
1	5	28	451
1	6	27	1035
1	7	26	2393
1	8	25	4911
1	9	24	8947
1	10	23	14243
1	11	22	21373
1	12	21	28013
1	13	20	33771
1	14	19	35847
1	15	18	35209
1	16	17	31499
1	17	16	27419
1	18	15	23427
1	19	14	18031
1	20	13	12479
1	21	12	7743
1	22	11	4477
1	23	10	2369
1	24	9	1173
1	25	8	565
1	26	7	263
1	27	6	131
1	28	5	67
1	29	4	9
1	30	3	1
1	31	2	1
1	32	1	1
1	33	0	3
