phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	7
0	2	31	27
0	3	30	113
0	4	29	397
0	5	28	1119
0	6	27	3005
0	7	26	6915
0	8	25	15893
0	9	24	32459
0	10	23	59291
0	11	22	105371
0	12	21	156962
0	13	20	215856
0	14	19	271123
0	15	18	266463
0	16	17	235136
0	17	16	201780
0	18	15	159811
0	19	14	118407
0	20	13	90373
0	21	12	60836
0	22	11	38399
0	23	10	23971
0	24	9	14544
0	25	8	7751
0	26	7	4226
0	27	6	2066
0	28	5	1029
0	29	4	401
0	30	3	140
0	31	2	55
0	32	1	26
0	33	0	12
1	0	-1	1
1	1	32	5
1	2	31	23
1	3	30	79
1	4	29	237
1	5	28	671
1	6	27	1601
1	7	26	3485
1	8	25	7005
1	9	24	11987
1	10	23	19965
1	11	22	29623
1	12	21	39429
1	13	20	50917
1	14	19	55807
1	15	18	58627
1	16	17	56539
1	17	16	48691
1	18	15	41977
1	19	14	30821
1	20	13	22803
1	21	12	16583
1	22	11	10825
1	23	10	6877
1	24	9	3813
1	25	8	1911
1	26	7	952
1	27	6	465
1	28	5	207
1	29	4	89
1	30	3	27
1	31	2	9
1	32	1	7
1	33	0	3
2	0	-1	1
2	1	32	5
2	2	31	23
2	3	30	75
2	4	29	201
2	5	28	533
2	6	27	1201
2	7	26	2523
2	8	25	4587
2	9	24	8099
2	10	23	12431
2	11	22	18073
2	12	21	24395
2	13	20	28165
2	14	19	27651
2	15	18	26657
2	16	17	24153
2	17	16	21075
2	18	15	17491
2	19	14	14217
2	20	13	10903
2	21	12	7321
2	22	11	4737
2	23	10	2673
2	24	9	1331
2	25	8	639
2	26	7	287
2	27	6	135
2	28	5	53
2	29	4	21
2	30	3	7
2	31	2	5
2	32	1	1
2	33	0	3
