phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	32	1	0	0	7	0	0	0.62645483016967773	0.62645483016967773	0	2.7379566572161051	-2	2	0	0.38888635379683123	0.38888635379683123	934716	1.5495106986080138e-05	5.5959517923940396
0	2	31	3	1	0	27	0	0	0.62645483016967773	0.62645483016967773	0	2.6827282085135229	-2	2	0	0.39320976127996687	0.39320976127996687	467919	1.1959231816605095e-05	5.5959517923940396
0	3	30	16	3	0	113	0	0	0.62645483016967773	0.62645483016967773	0	2.8435072847327696	-2	2	0	0.38111061209437325	0.38111061209437325	218390	2.5623663136563211e-05	5.5959517923940396
0	4	29	41	16	0	397	0	0	0.62645483016967773	0.62645483016967773	0	2.6036090234582123	-2	2	0	0.39973587393367105	0.39973587393367105	109959	5.0891257581407976e-05	5.5959517923940396
0	5	28	116	41	0	1119	0	0	0.62645483016967773	0.62645483016967773	0	2.3248113879684253	-2	2	0	0.42638656497001648	0.42638656497001648	61954	9.0324301778642858e-05	5.5959517923940396
0	6	27	279	116	0	3005	0	0	0.62645483016967773	0.62645483016967773	0	2.4484155368843443	-2	2	0	0.41380442422045544	0.41380442422045544	32586	0.00017172871148327625	5.5959517923940396
0	7	26	600	279	0	6915	0	0	0.62645483016967773	0.62645483016967773	0	2.2793085807407203	-2	2	0	0.43136703968048096	0.43136703968048096	18422	0.00030376461797818039	5.5959517923940396
0	8	25	1343	600	0	15893	0	0	0.62645483016967773	0.62645483016967773	0	2.4011750360014599	-2	2	0	0.41845753788948059	0.41845753788948059	9441	0.00059272871437284608	5.5959517923940396
0	9	24	3200	1343	0	32459	0	0	0.62645483016967773	0.62645483016967773	0	2.2658874101593565	-2	2	0	0.43287455390580665	0.43287455390580665	4900	0.0011420309780395999	5.5959517923940396
0	10	23	9040	3200	-1	59291	0	0.13718086307234265	0.62645483016967773	0.62645483016967773	0	2.1369684760547152	-2	2	-0.46795262129753373	0.19286796163219272	0.19286796163219272	1099	0.0050918578638708273	5.5959517923940396
0	11	22	30408	9040	0	105371	0.13718086307234265	0.16924496663204489	0.62645483016967773	0.48927396709733512	0.49147662775122292	1.9198591715740114	-1	2	-0.25599618713089356	0.35980764567565388	0.35980764567565388	497	0.011259460346869294	5.5959517923940396
