phase	depth	coefficient	nodes
0	0	-1	1
0	1	32	5
0	2	31	23
0	3	30	85
0	4	29	269
0	5	28	689
0	6	27	1629
0	7	26	3253
0	8	25	6227
0	9	24	11351
0	10	23	17367
0	11	22	23373
0	12	21	29365
0	13	20	31139
0	14	19	33815
0	15	18	33667
0	16	17	35139
0	17	16	35045
0	18	15	32289
0	19	14	26549
0	20	13	20554
0	21	12	15879
0	22	11	10622
0	23	10	6972
0	24	9	4208
0	25	8	2328
0	26	7	1249
0	27	6	548
0	28	5	248
0	29	4	118
0	30	3	40
0	31	2	19
0	32	1	9
0	33	0	4
1	0	-1	1
1	1	32	5
1	2	31	21
1	3	30	61
1	4	29	149
1	5	28	361
1	6	27	793
1	7	26	1567
1	8	25	2677
1	9	24	3849
1	10	23	5467
1	11	22	7679
1	12	21	9565
1	13	20	11101
1	14	19	12163
1	15	18	12543
1	16	17	12441
1	17	16	11795
1	18	15	9633
1	19	14	7323
1	20	13	5571
1	21	12	4029
1	22	11	2687
1	23	10	1717
1	24	9	895
1	25	8	513
1	26	7	239
1	27	6	101
1	28	5	41
1	29	4	11
1	30	3	5
1	31	2	3
1	32	1	1
1	33	0	3
