phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	5
0	2	32	19
0	3	31	57
0	4	30	189
0	5	29	497
0	6	28	1189
0	7	27	2469
0	8	26	4687
0	9	25	8243
0	10	24	13783
0	11	23	20751
0	12	22	29725
0	13	21	38177
0	14	20	43285
0	15	19	48445
0	16	18	49491
0	17	17	46879
0	18	16	42563
0	19	15	33371
0	20	14	23457
0	21	13	16167
0	22	12	10411
0	23	11	5715
0	24	10	2879
0	25	9	1673
0	26	8	863
0	27	7	453
0	28	6	215
0	29	5	79
0	30	4	43
0	31	3	23
0	32	2	11
0	33	1	7
0	34	0	3
1	0	-1	1
1	1	33	5
1	2	32	19
1	3	31	61
1	4	30	155
1	5	29	423
1	6	28	941
1	7	27	1767
1	8	26	3117
1	9	25	4893
1	10	24	6923
1	11	23	9491
1	12	22	12457
1	13	21	16045
1	14	20	17963
1	15	19	18879
1	16	18	18231
1	17	17	15809
1	18	16	13607
1	19	15	10397
1	20	14	7679
1	21	13	5115
1	22	12	3431
1	23	11	2185
1	24	10	1237
1	25	9	711
1	26	8	367
1	27	7	189
1	28	6	99
1	29	5	41
1	30	4	19
1	31	3	5
1	32	2	3
1	33	1	1
1	34	0	3
