phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	33	1	0	0	5	0	0	0.55661869049072266	0.55661869049072266	0	2.1849962409101122	-2	2	0	0.47139137983322144	0.47139137983322144	268838	8.7770919625361965e-07	0.2359615849024306
0	2	32	3	1	0	19	0	0	0.55661869049072266	0.55661869049072266	0	2.5427279268375456	-2	2	0	0.4299933910369873	0.4299933910369873	142587	1.6548604354003562e-06	0.2359615849024306
0	3	31	13	3	-1	57	0	0.090893252483069356	0.55661869049072266	0.55661869049072266	0	2.4746459368850768	-2	2	-0.40409821263511131	0.19473515450954437	0.19473515450954437	33427	7.0590117241281182e-06	0.2359615849024306
0	4	30	47	13	0	189	0.090893252483069356	0.10528336914140211	0.55661869049072266	0.46572543800765331	0.43766888688195776	2.4898804603508524	-2	2	-0.17577907608475518	0.33802413940429688	0.33802413940429688	15598	1.5127682068369701e-05	0.2359615849024306
0	5	29	142	47	0	497	0.10528336914140211	0.12556117210217804	0.55661869049072266	0.45133532134932053	0.48225134777317602	2.2751637629971961	-1	2	-0.21196335649170162	0.35882541537284851	0.35882541537284851	7273	3.2443501292785732e-05	0.2359615849024306
0	6	28	566	142	1	1189	0.12556117210217804	0.21732553718863079	0.55661869049072266	0.43105751838854461	0.0072116923880550373	2.1517273189297814	-2	2	0.46139131983774534	0.18973849713802338	0.18973849713802338	1629	0.00014485057391186654	0.2359615849024306
0	7	27	2652	566	0	2469	0.21732553718863079	0.24509654926005442	0.55661869049072266	0.33929315330209187	-0.50997210903373336	1.7825352179138854	-2	1	0.28609370738299217	0.37295955419540405	0.37295955419540405	782	0.00030174115716423351	0.2359615849024306
0	8	26	5921	2652	0	4687	0.24509654926005442	0.24804022141183488	0.55661869049072266	0.31152214123066824	-0.16086791309037721	1.6548901378307201	-1	1	0.097207608778941482	0.57497936487197876	0.57497936487197876	542	0.00043535347767976128	0.2359615849024306
0	9	25	11355	5921	0	8243	0.24804022141183488	0.24817901135248313	0.55661869049072266	0.30857846907888775	0.034057699350365782	1.6059023084188404	-1	1	-0.021207827631743517	0.62455880641937256	0.62455880641937256	398	0.00059286830377495124	0.2359615849024306
0	10	24	18534	11355	0	13783	0.24817901135248313	0.25205043218358475	0.55661869049072266	0.30843967913823955	0.17908994128249367	1.5985312254364559	-1	1	-0.11203405878643113	0.57665026187896729	0.57665026187896729	269	0.00087718061302018808	0.2359615849024306
0	11	23	25855	18534	0	20751	0.25205043218358475	0.2645539924183164	0.55661869049072266	0.30456825830713791	-0.30467371648697344	1.503697455441783	-1	1	0.20261636766384031	0.5378577709197998	0.5378577709197998	178	0.0013256268814743292	0.2359615849024306
0	12	22	41012	25855	0	29725	0.2645539924183164	0.26480346209466821	0.55661869049072266	0.29206469807240626	0.042858630948289997	1.4664556923752607	-1	1	-0.029225997874419669	0.64806079864501953	0.64806079864501953	133	0.0017741472549054932	0.2359615849024306
0	13	21	67543	41012	1	38175	0.26480346209466821	0.29573024380423613	0.55661869049072266	0.29181522839605445	0.55573056046613067	1.3646869902861252	0	1	0.32554676837706364	0.54074704647064209	0.54074704647064209	72	0.0032772442347559806	0.2359615849024306
0	14	20	89213	67543	0	43253	0.29573024380423613	0.29653452221156756	0.55661869049072266	0.26088844668648653	0.065774481225104237	1.1846270639642287	-1	1	-0.055523365307050238	0.70639681816101074	0.70639681816101074	58	0.0040683031879729416	0.2359615849024306
0	15	19	162313	89213	0	47977	0.29653452221156756	0.29884228635591387	0.55661869049072266	0.26008416827915509	0.11316244192140795	1.201333417949995	-1	1	-0.0941973645538913	0.68257540464401245	0.68257540464401245	42	0.0056181329738673952	0.2359615849024306
0	16	18	210842	162313	0	47465	0.29884228635591387	0.30545034995861703	0.55661869049072266	0.25777640413480879	0.18091293475712372	1.1299366415624614	0	1	-0.16010891947619268	0.75576043128967285	0.75576043128967285	32	0.0073737995282009564	0.2359615849024306
0	17	17	234234	210842	0	41717	0.30545034995861703	0.32139810289630305	0.55661869049072266	0.25116834053210563	0.26728424475816609	1.0607329466714066	0	1	-0.2519807135216337	0.70631754398345947	0.70631754398345947	25	0.0094384633960972238	0.2359615849024306
0	18	16	270610	234234	0	33761	0.32139810289630305	0.33569624808792792	0.55661869049072266	0.23522058759441961	-0.25254838932134099	1.0243359546331405	-1	0	0.24654839867628153	0.72437959909439087	0.72437959909439087	20	0.01179807924512153	0.2359615849024306
0	19	15	290223	270610	0	22880	0.33569624808792792	0.33716431147172882	0.55661869049072266	0.22092244240279477	-0.071967923236771855	0.88284911323766402	0	0	0.081517806562487874	1	1	19	0.012419030784338453	0.2359615849024306
0	20	14	320910	290223	-1	14218	0.33716431147172882	0.35228613800318509	0.55661869049072266	0.21945437901899384	-0.79054970171772976	0.79790462586209754	-1	0	-0.26250041858821066	0.81100654602050781	0.81100654602050781	15	0.015730772326828707	0.2359615849024306
0	21	13	335814	320910	0	8883	0.35228613800318509	0.35361900520023148	0.55661869049072266	0.20433255248753757	0.062835440101629517	0.77800072456036651	0	0	-0.080765271956702397	1	1	14	0.016854398921602187	0.2359615849024306
0	22	12	365146	335814	0	5233	0.35361900520023148	0.35980988751700616	0.55661869049072266	0.20299968529049114	0.12875709915189587	0.73729721201636567	0	0	-0.17463391567665099	1	1	13	0.018150891146340817	0.2359615849024306
0	23	11	371138	365146	0	2657	0.35980988751700616	0.36745270725153595	0.55661869049072266	0.19680880297371653	0.12650370646028219	0.64194630284753085	0	0	-0.19706275415738031	1	1	12	0.019663465408535884	0.2359615849024306
0	24	10	382475	371138	0	1260	0.36745270725153595	0.37035331140536581	0.55661869049072266	0.18916598323918671	0.075794549307697259	0.6120899709237726	0	0	-0.12382909851195133	1	1	11	0.021451053172948237	0.2359615849024306
0	25	9	386067	382475	0	710	0.37035331140536581	0.3705260295652143	0.55661869049072266	0.18626537908535684	-0.020262346124447352	0.6654061322235294	0	0	0.030451096170001385	1	1	10	0.02359615849024306	0.2359615849024306
0	26	8	386356	386067	-1	322	0.3705260295652143	0.41958225831857532	0.55661869049072266	0.18609266092550836	-0.6910544946930739	0.60172689739830199	-1	-1	-0.51343143649173673	1	1	9	0.026217953878047845	0.2359615849024306
0	27	7	387642	386356	0	174	0.41958225831857532	0.42544786847951971	0.55661869049072266	0.13703643217214734	-0.10376755035488065	0.50156010905237303	0	0	0.2068895601584719	1	1	8	0.029495198112803826	0.2359615849024306
0	28	6	388427	387642	1	80	0.42544786847951971	0.42811940827220635	0.55661869049072266	0.13117082201120295	0.93236949457690321	0.47389314814250494	1	1	0.14271256229001134	1	1	7	0.033708797843204373	0.2359615849024306
0	29	5	388643	388427	1	28	0.42811940827220635	0.42922695080157763	0.55661869049072266	0.12849928221851631	1.0405503559495048	0.43678208355386905	1	1	-0.092838872005846992	1	1	6	0.039326930817071767	0.2359615849024306
0	30	4	388872	388643	1	14	0.42922695080157763	0.42963299598546828	0.55661869049072266	0.12739173968914505	0.97559549007482294	0.43226845443328837	1	1	0.056456837585272937	1	1	5	0.047192316980486121	0.2359615849024306
0	31	3	389428	388872	0	4	0.42963299598546828	0.47251741640835376	0.55661869049072266	0.1269856945052544	-0.24473779386064426	0.42114210895316206	0	0	0.58112876546349612	1	1	4	0.058990396225607651	0.2359615849024306
0	32	2	390099	389428	0	2	0.47251741640835376	0.49090422153137125	0.55661869049072266	0.084101274082368893	0.1624810624514649	0.34749687328403611	0	0	-0.46757560986356422	1	1	3	0.078653861634143535	0.2359615849024306
0	33	1	390320	390099	2	2	0.49090422153137125	0.50821569092260155	0.55661869049072266	0.065714468959351402	1.8543236671278631	0.28382623459290446	2	2	0.51325887151017713	1	1	2	0.1179807924512153	0.2359615849024306
0	34	0	390430	390320	1	1	0.50821569092260155	0.54894614219665527	0.55661869049072266	0.048402999568121073	0.79051572248850288	0.22836416768483753	1	1	0.91732551404738638	1	1	1	0.2359615849024306	0.2359615849024306
1	1	33	1	0	0	5	0	0	0.54894614219665527	0.54894614219665527	0	2.1698847629784126	-2	2	0	0.47343337535858154	0.47343337535858154	124436	0	0
1	2	32	3	1	0	19	0	0	0.54894614219665527	0.54894614219665527	0	2.5251423693737407	-2	2	0	0.43175616860389709	0.43175616860389709	76051	0	0
1	3	31	12	3	0	61	0	0	0.54894614219665527	0.54894614219665527	0	2.4915481639471393	-2	2	0	0.43519324064254761	0.43519324064254761	46180	0	0
