phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	5
0	2	32	23
0	3	31	89
0	4	30	251
0	5	29	649
0	6	28	1579
0	7	27	3543
0	8	26	7505
0	9	25	14413
0	10	24	24593
0	11	23	39069
0	12	22	59709
0	13	21	84445
0	14	20	114897
0	15	19	152256
0	16	18	188712
0	17	17	205135
0	18	16	198288
0	19	15	165568
0	20	14	119178
0	21	13	84919
0	22	12	53441
0	23	11	32390
0	24	10	18512
0	25	9	10638
0	26	8	5929
0	27	7	2921
0	28	6	1332
0	29	5	583
0	30	4	240
0	31	3	99
0	32	2	41
0	33	1	20
0	34	0	11
1	0	-1	1
1	1	33	5
1	2	32	19
1	3	31	61
1	4	30	175
1	5	29	409
1	6	28	875
1	7	27	1719
1	8	26	3319
1	9	25	5329
1	10	24	8021
1	11	23	10665
1	12	22	13405
1	13	21	16953
1	14	20	18599
1	15	19	19087
1	16	18	17611
1	17	17	15611
1	18	16	14151
1	19	15	11379
1	20	14	8159
1	21	13	5851
1	22	12	4329
1	23	11	3035
1	24	10	1965
1	25	9	1269
1	26	8	661
1	27	7	377
1	28	6	173
1	29	5	67
1	30	4	17
1	31	3	13
1	32	2	1
1	33	1	1
1	34	0	3
