phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	5
0	2	32	25
0	3	31	91
0	4	30	291
0	5	29	759
0	6	28	1847
0	7	27	4183
0	8	26	8021
0	9	25	14897
0	10	24	24771
0	11	23	37407
0	12	22	50835
0	13	21	66687
0	14	20	87235
0	15	19	110405
0	16	18	116325
0	17	17	115237
0	18	16	98992
0	19	15	75485
0	20	14	56492
0	21	13	38911
0	22	12	26043
0	23	11	17111
0	24	10	10119
0	25	9	5918
0	26	8	3316
0	27	7	1889
0	28	6	1011
0	29	5	459
0	30	4	223
0	31	3	92
0	32	2	24
0	33	1	13
0	34	0	4
1	0	-1	1
1	1	33	5
1	2	32	19
1	3	31	75
1	4	30	255
1	5	29	661
1	6	28	1543
1	7	27	3569
1	8	26	7287
1	9	25	12311
1	10	24	19913
1	11	23	27861
1	12	22	41633
1	13	21	60771
1	14	20	77675
1	15	19	87553
1	16	18	95831
1	17	17	90149
1	18	16	74645
1	19	15	59969
1	20	14	44269
1	21	13	31597
1	22	12	20829
1	23	11	13729
1	24	10	8589
1	25	9	5131
1	26	8	3069
1	27	7	1609
1	28	6	805
1	29	5	349
1	30	4	155
1	31	3	65
1	32	2	29
1	33	1	9
1	34	0	3
