phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	33	1	0	0	5	0	0	0.57865715026855469	0.57865715026855469	0	2.1440310095106878	-2	2	0	0.46191372779140283	0.46191372779140283	454180	1.3243747832001696e-05	2.496981628301207
0	2	32	3	1	0	19	0	0	0.57865715026855469	0.57865715026855469	0	2.5505082282313105	-2	2	0	0.41650733351707458	0.41650733351707458	262795	2.2888736050299779e-05	2.496981628301207
0	3	31	12	3	0	71	0	0	0.57865715026855469	0.57865715026855469	0	2.5670746579643535	-2	2	0	0.41496368624324076	0.41496368624324076	147840	4.0686183646770361e-05	2.496981628301207
0	4	30	27	12	0	205	0	0	0.57865715026855469	0.57865715026855469	0	2.3387590431320997	-2	2	0	0.43819404301336473	0.43819404301336473	88681	6.7827893126357728e-05	2.496981628301207
0	5	29	64	27	0	533	0	0	0.57865715026855469	0.57865715026855469	0	2.3854163498643608	-2	2	0	0.43308193136873741	0.43308193136873741	50338	4.9604307447677839e-05	2.496981628301207
0	6	28	153	64	0	1283	0	0	0.57865715026855469	0.57865715026855469	0	2.3429233926778297	-2	2	0	0.43772946483703062	0.43772946483703062	28753	8.6842473074155986e-05	2.496981628301207
0	7	27	344	153	0	2951	0	0	0.57865715026855469	0.57865715026855469	0	2.3730311652959144	-2	2	0	0.43441929765910958	0.43441929765910958	15918	0.00015686528636142774	2.496981628301207
0	8	26	789	344	0	5823	0	0	0.57865715026855469	0.57865715026855469	0	2.1784365347735153	-2	2	0	0.45741946868358457	0.45741946868358457	9271	0.00026933250224368534	2.496981628301207
0	9	25	1718	789	0	10967	0	0	0.57865715026855469	0.57865715026855469	0	2.2113204374720796	-2	2	0	0.45325183193010343	0.45325183193010343	4982	0.00050120064799301627	2.496981628301207
0	10	24	4086	1718	-1	18703	0	0.13392744325568343	0.57865715026855469	0.57865715026855469	0	2.0786236916283616	-2	2	-0.48108756001747272	0.1888380916589783	0.1888380916589783	1103	0.0022638092731651922	2.496981628301207
0	11	23	19975	4086	-1	30109	0.13392744325568343	0.19697590388493114	0.57865715026855469	0.44472970701287129	-0.31570652558519408	1.8174113039307398	-2	1	-0.37652097405512991	0.29934253842618258	0.29934253842618258	406	0.0061502010549290814	2.496981628301207
0	12	22	45131	19975	-1	42331	0.19697590388493114	0.23265334507371985	0.57865715026855469	0.38168124638362355	-0.53192167039706184	1.5309890928511938	-2	0	-0.30573590092090458	0.44968128211076547	0.44968128211076547	206	0.012121270040297122	2.496981628301207
0	13	21	96247	45131	0	56119	0.23265334507371985	0.23292481378055066	0.57865715026855469	0.34600380519483487	-0.039942088988280625	1.4259730751162183	-1	1	0.028010408951813694	0.63271743059158325	0.63271743059158325	156	0.016006292489110303	2.496981628301207
0	14	20	139305	96247	1	66865	0.23292481378055066	0.23337193718629809	0.57865715026855469	0.345732336488004	1.048126814898704	1.3382690021479573	0	2	-0.035961988823965306	0.64859330654144287	0.64859330654144287	122	0.020467062527059075	2.496981628301207
