phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	7
0	2	32	31
0	3	31	89
0	4	30	271
0	5	29	731
0	6	28	1701
0	7	27	3543
0	8	26	6861
0	9	25	11885
0	10	24	18893
0	11	23	26655
0	12	22	32347
0	13	21	41185
0	14	20	49851
0	15	19	51863
0	16	18	53365
0	17	17	53345
0	18	16	50361
0	19	15	41761
0	20	14	35313
0	21	13	26531
0	22	12	18155
0	23	11	11473
0	24	10	7167
0	25	9	3943
0	26	8	1955
0	27	7	931
0	28	6	367
0	29	5	157
0	30	4	65
0	31	3	39
0	32	2	13
0	33	1	9
0	34	0	3
1	0	-1	1
1	1	33	5
1	2	32	23
1	3	31	75
1	4	30	203
1	5	29	513
1	6	28	1099
1	7	27	2013
1	8	26	3327
1	9	25	5063
1	10	24	7385
1	11	23	10135
1	12	22	13135
1	13	21	16209
1	14	20	20591
1	15	19	22891
1	16	18	24451
1	17	17	23093
1	18	16	21617
1	19	15	18133
1	20	14	14493
1	21	13	11197
1	22	12	7485
1	23	11	4775
1	24	10	3021
1	25	9	1715
1	26	8	903
1	27	7	445
1	28	6	239
1	29	5	125
1	30	4	65
1	31	3	25
1	32	2	13
1	33	1	7
1	34	0	3
