phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	5
0	2	32	21
0	3	31	75
0	4	30	233
0	5	29	613
0	6	28	1489
0	7	27	3603
0	8	26	7709
0	9	25	13771
0	10	24	24601
0	11	23	38265
0	12	22	58249
0	13	21	77699
0	14	20	99345
0	15	19	117593
0	16	18	137156
0	17	17	145718
0	18	16	130775
0	19	15	103382
0	20	14	77909
0	21	13	57895
0	22	12	38755
0	23	11	23021
0	24	10	12405
0	25	9	6201
0	26	8	3243
0	27	7	1513
0	28	6	639
0	29	5	261
0	30	4	127
0	31	3	49
0	32	2	17
0	33	1	9
0	34	0	7
1	0	-1	1
1	1	33	5
1	2	32	21
1	3	31	69
1	4	30	185
1	5	29	463
1	6	28	1025
1	7	27	2143
1	8	26	3657
1	9	25	6437
1	10	24	10571
1	11	23	16653
1	12	22	23365
1	13	21	27583
1	14	20	32305
1	15	19	35301
1	16	18	33647
1	17	17	30303
1	18	16	24201
1	19	15	20897
1	20	14	16853
1	21	13	11679
1	22	12	7633
1	23	11	4707
1	24	10	2707
1	25	9	1527
1	26	8	811
1	27	7	383
1	28	6	179
1	29	5	79
1	30	4	33
1	31	3	7
1	32	2	5
1	33	1	1
1	34	0	3
