phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	7
0	2	32	29
0	3	31	105
0	4	30	323
0	5	29	895
0	6	28	2149
0	7	27	4725
0	8	26	9555
0	9	25	17977
0	10	24	30525
0	11	23	46451
0	12	22	68437
0	13	21	91697
0	14	20	112075
0	15	19	136811
0	16	18	146325
0	17	17	135041
0	18	16	119982
0	19	15	96008
0	20	14	72005
0	21	13	53276
0	22	12	35141
0	23	11	23534
0	24	10	13724
0	25	9	7399
0	26	8	3877
0	27	7	1852
0	28	6	912
0	29	5	414
0	30	4	229
0	31	3	106
0	32	2	39
0	33	1	15
0	34	0	4
1	0	-1	1
1	1	33	5
1	2	32	23
1	3	31	83
1	4	30	251
1	5	29	655
1	6	28	1475
1	7	27	3239
1	8	26	6533
1	9	25	11395
1	10	24	16937
1	11	23	24751
1	12	22	31829
1	13	21	39445
1	14	20	46163
1	15	19	47539
1	16	18	44287
1	17	17	41109
1	18	16	36333
1	19	15	30723
1	20	14	25241
1	21	13	18457
1	22	12	13419
1	23	11	8463
1	24	10	5015
1	25	9	2881
1	26	8	1439
1	27	7	767
1	28	6	373
1	29	5	215
1	30	4	101
1	31	3	37
1	32	2	19
1	33	1	1
1	34	0	3
