phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	5
0	2	32	21
0	3	31	81
0	4	30	257
0	5	29	719
0	6	28	1983
0	7	27	4669
0	8	26	11159
0	9	25	23089
0	10	24	39937
0	11	23	64861
0	12	22	100376
0	13	21	134510
0	14	20	160358
0	15	19	156713
0	16	18	151195
0	17	17	127465
0	18	16	105911
0	19	15	80828
0	20	14	61047
0	21	13	40462
0	22	12	25971
0	23	11	15052
0	24	10	8805
0	25	9	4880
0	26	8	2610
0	27	7	1344
0	28	6	699
0	29	5	356
0	30	4	158
0	31	3	88
0	32	2	44
0	33	1	20
0	34	0	10
1	0	-1	1
1	1	33	5
1	2	32	19
1	3	31	55
1	4	30	161
1	5	29	433
1	6	28	1087
1	7	27	2287
1	8	26	4271
1	9	25	7253
1	10	24	11937
1	11	23	17819
1	12	22	24111
1	13	21	32503
1	14	20	39685
1	15	19	45697
1	16	18	47171
1	17	17	46147
1	18	16	40171
1	19	15	31357
1	20	14	25153
1	21	13	17615
1	22	12	12453
1	23	11	7615
1	24	10	4477
1	25	9	2499
1	26	8	1301
1	27	7	683
1	28	6	353
1	29	5	177
1	30	4	93
1	31	3	49
1	32	2	15
1	33	1	3
1	34	0	3
