phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	33	1	0	0	5	0	0	0.60276031494140625	0.60276031494140625	0	2.253053539938854	-2	2	0	0.43725926987109393	0.43725926987109393	696872	5.3105231576929715e-06	3.7007548939478165
0	2	32	3	1	0	21	0	0	0.60276031494140625	0.60276031494140625	0	2.5069272728183427	-2	2	0	0.41091127959158186	0.41091127959158186	376141	9.8387436996972315e-06	3.7007548939478165
0	3	31	12	3	0	81	0	0	0.60276031494140625	0.60276031494140625	0	2.6071070516619508	-2	2	0	0.40195341700454301	0.40195341700454301	188855	1.9595747499127989e-05	3.7007548939478165
0	4	30	36	12	-1	257	0	0.10259379430984183	0.60276031494140625	0.60276031494140625	0	2.4238837078029283	-2	2	-0.41256104687729683	0.19746418003046246	0.19746418003046246	44849	8.2515884277192721e-05	3.7007548939478165
0	5	29	126	36	0	719	0.10259379430984183	0.12824831748545931	0.60276031494140625	0.50016652063156442	0.49677717892937923	2.1934966348390286	-1	2	-0.22647729248321169	0.34771794080734253	0.34771794080734253	18292	0.00020231548731400702	3.7007548939478165
0	6	28	370	126	0	1983	0.12824831748545931	0.13813410711855975	0.60276031494140625	0.47451199745594697	0.33191438005475682	2.2995559720269112	-1	2	-0.14433846537868594	0.38668461281204253	0.38668461281204253	8642	0.00042822898564543122	3.7007548939478165
0	7	27	1085	370	0	4669	0.13813410711855975	0.13895821268939815	0.60276031494140625	0.46462620782284653	0.087454183162231511	2.0765434094973232	-1	2	-0.042115268461159636	0.4700966561171866	0.4700966561171866	5287	0.00069997255417965137	3.7007548939478165
0	8	26	3193	1085	0	11159	0.13895821268939815	0.14277514378989095	0.60276031494140625	0.46380210225200813	0.20015817395275448	2.206391249414148	-2	2	-0.090717443701746669	0.39398333136749764	0.39398333136749764	2830	0.0013076872416776736	3.7007548939478165
0	9	25	6992	3193	0	23089	0.14277514378989095	0.15336032752552969	0.60276031494140625	0.45998517115151533	-0.30510564243127408	2.0112819426274831	-2	1	0.15169710221367202	0.4140945138647335	0.4140945138647335	1595	0.002320222504042518	3.7007548939478165
0	10	24	16664	6992	0	39937	0.15336032752552969	0.16708451925644474	0.60276031494140625	0.44939998741587656	0.30637884424108552	1.7532018214237692	-1	2	-0.17475389341785894	0.43747848598270478	0.43747848598270478	959	0.0038589727778392249	3.7007548939478165
0	11	23	39159	16664	0	64861	0.16708451925644474	0.18110368513892297	0.60276031494140625	0.43567579568496151	-0.30452273301118299	1.6976194720759303	-2	1	0.17938221021864104	0.4436293012444571	0.4436293012444571	587	0.0063045228176283078	3.7007548939478165
0	12	22	89036	39159	0	100376	0.18110368513892297	0.19211440164734758	0.60276031494140625	0.42165662980248331	-0.2698103900388546	1.6696688537464677	-1	1	0.16159515069916022	0.50917773035984448	0.50917773035984448	369	0.010029146054059123	3.7007548939478165
0	13	21	166924	89036	0	134510	0.19211440164734758	0.19528619118281101	0.60276031494140625	0.4106459132940587	0.1346906257925429	1.5325651383248156	-1	1	-0.087885742944517009	0.5709801997390419	0.5709801997390419	266	0.013912612383262468	3.7007548939478165
0	14	20	270916	166924	0	160358	0.19528619118281101	0.23631864973022054	0.60276031494140625	0.40747412375859526	0.48374937952229013	1.5244271274803163	-1	2	-0.3173319149219459	0.38686747223587642	0.38686747223587642	135	0.027412999214428271	3.7007548939478165
0	15	19	425782	270916	0	156713	0.23631864973022054	0.24375550132217891	0.60276031494140625	0.36644166521118571	0.18906987795866573	1.3271811673516551	-1	1	-0.14245973542251825	0.58284124357288669	0.58284124357288669	101	0.036641137563839771	3.7007548939478165
0	16	18	817842	425782	1	151177	0.24375550132217891	0.36847009380736073	0.60276031494140625	0.35900481361922737	0.20272007334838665	1.3527026155307433	-1	1	0.58939778595666747	0.2679595947265625	0.2679595947265625	31	0.11937919012734892	3.7007548939478165
0	17	17	1204964	817842	0	126970	0.36847009380736073	0.36877653348977057	0.60276031494140625	0.23429022113404555	-0.035092762158291067	0.9703359733624497	-1	0	0.036165578852741208	0.82528112654395225	0.82528112654395225	27	0.13706499607214134	3.7007548939478165
0	18	16	1262331	1204964	1	103772	0.36877653348977057	0.3857347949221005	0.60276031494140625	0.23398378145163568	0.740473395321957	0.9640156838642624	0	1	0.26921408958589671	0.73062556982040405	0.73062556982040405	23	0.16090238669338333	3.7007548939478165
0	19	15	1281842	1262331	0	77078	0.3857347949221005	0.4063533959548305	0.60276031494140625	0.21702552001930575	0.26921190798086508	0.87341384357125529	0	1	-0.30822949505826341	0.74210673570632935	0.74210673570632935	20	0.18503774469739082	3.7007548939478165
0	20	14	1292254	1281842	0	56458	0.4063533959548305	0.41255222788319729	0.60276031494140625	0.19640691898657578	0.14868596228897291	0.83693827350782612	0	0	-0.17765463355593877	1	1	19	0.19477657336567455	3.7007548939478165
0	21	13	1294958	1292254	0	36431	0.41255222788319729	0.4508204302405428	0.60276031494140625	0.19020808705820896	-0.32671593909693641	0.72839302840761566	-1	0	0.4485434735848447	0.72143614292144775	0.72143614292144775	14	0.2643396352819869	3.7007548939478165
0	22	12	1299883	1294958	1	22798	0.4508204302405428	0.46042547693093067	0.60276031494140625	0.15193988470086345	0.83876465475979434	0.64127809879217412	1	1	0.25142811760433903	1	1	13	0.28467345338060129	3.7007548939478165
0	23	11	1300934	1299883	0	12867	0.46042547693093067	0.51506473384514662	0.60276031494140625	0.14233483801047558	-0.35692146924411433	0.57607083106384649	0	0	0.61957913853228297	1	1	12	0.30839624116231806	3.7007548939478165
0	24	10	1301074	1300934	0	7334	0.51506473384514662	0.51616761888083751	0.60276031494140625	0.087695581096259606	0.050702500610019151	0.45211936815270504	0	0	-0.11214405792254002	1	1	11	0.33643226308616514	3.7007548939478165
0	25	9	1301264	1301074	0	3959	0.51616761888083751	0.51780856453240998	0.60276031494140625	0.086592696060568769	-0.060557403840709158	0.43990690642918862	0	0	0.13765958878042081	1	1	10	0.37007548939478163	3.7007548939478165
0	26	8	1301363	1301264	0	2077	0.51780856453240998	0.51794866921596328	0.60276031494140625	0.084951750408996246	0.01795142267794371	0.44203709072512892	0	0	-0.040610670585347799	1	1	9	0.41119498821642408	3.7007548939478165
0	27	7	1301412	1301363	0	1069	0.51794866921596328	0.51944157410282066	0.60276031494140625	0.084811645725442947	0.056365567653109322	0.42484015689537163	0	0	-0.1326747642337183	1	1	8	0.46259436174347707	3.7007548939478165
0	28	6	1301519	1301412	0	560	0.51944157410282066	0.52130192377933871	0.60276031494140625	0.083318740838585537	-0.061555466245661293	0.41194637223757463	0	0	0.14942592141620192	1	1	7	0.52867927056397379	3.7007548939478165
0	29	5	1301569	1301519	0	295	0.52130192377933871	0.53199932740294575	0.60276031494140625	0.081458391162067559	-0.15254998434332273	0.42096005776781548	0	0	0.36238588799192706	1	1	6	0.61679248232463613	3.7007548939478165
0	30	4	1301618	1301569	0	129	0.53199932740294575	0.5320532708299418	0.60276031494140625	0.070760987538460537	-0.0099723666926312422	0.36118184772194739	0	0	0.027610376201154994	1	1	5	0.74015097878956326	3.7007548939478165
0	31	3	1301717	1301618	-1	73	0.5320532708299418	0.55981283901550249	0.60276031494140625	0.070707044111464418	-0.77467864678068321	0.35960633906609135	-1	-1	-0.62657781229464204	1	1	4	0.92518872348695413	3.7007548939478165
0	32	2	1301763	1301717	0	35	0.55981283901550249	0.58231378759742936	0.60276031494140625	0.042947475925903734	0.19657082161017558	0.27157354520809163	0	0	-0.72382168690088844	1	1	3	1.2335849646492723	3.7007548939478165
0	33	1	1301820	1301763	0	17	0.58231378759742936	0.58344821574374295	0.60276031494140625	0.020446527343976933	-0.041431960660699756	0.17589632581762379	0	0	0.23554761856514297	1	1	2	1.8503774469739083	3.7007548939478165
0	34	0	1301845	1301820	0	8	0.58344821574374295	0.58355259895324707	0.60276031494140625	0.019312099197663309	0.011905879671389561	0.16194252544972532	0	0	-0.073519167607928385	1	1	1	3.7007548939478165	3.7007548939478165
1	1	33	1	0	0	5	0	0	0.58355259895324707	0.58355259895324707	0	2.2168647119775162	-2	2	0	0.46717283129692078	0.46717283129692078	309204	0	0
1	2	32	3	1	0	19	0	0	0.58355259895324707	0.58355259895324707	0	2.4666606931834569	-2	2	0	0.43780004978179932	0.43780004978179932	198383	0	0
1	3	31	12	3	0	55	0	0	0.58355259895324707	0.58355259895324707	0	2.5308287056879841	-2	2	0	0.43118348717689514	0.43118348717689514	121786	0	0
1	4	30	27	12	0	161	0	0	0.58355259895324707	0.58355259895324707	0	2.310471148198888	-2	2	0	0.45543479919433594	0.45543479919433594	80045	0	0
1	5	29	58	27	0	433	0	0	0.58355259895324707	0.58355259895324707	0	2.5483476036537573	-2	2	0	0.42943525314331055	0.42943525314331055	47024	0	0
