phase	depth	coefficient	nodes
0	0	-1	1
0	1	33	5
0	2	32	19
0	3	31	67
0	4	30	189
0	5	29	445
0	6	28	1095
0	7	27	2519
0	8	26	4793
0	9	25	8535
0	10	24	13943
0	11	23	21023
0	12	22	30265
0	13	21	40573
0	14	20	50167
0	15	19	53353
0	16	18	52337
0	17	17	51971
0	18	16	44975
0	19	15	35573
0	20	14	25903
0	21	13	18261
0	22	12	11335
0	23	11	6919
0	24	10	3863
0	25	9	2037
0	26	8	1047
0	27	7	511
0	28	6	275
0	29	5	119
0	30	4	51
0	31	3	21
0	32	2	9
0	33	1	5
0	34	0	5
1	0	-1	1
1	1	33	5
1	2	32	17
1	3	31	51
1	4	30	135
1	5	29	311
1	6	28	659
1	7	27	1175
1	8	26	1905
1	9	25	3107
1	10	24	4953
1	11	23	6653
1	12	22	7851
1	13	21	7873
1	14	20	7843
1	15	19	7223
1	16	18	6717
1	17	17	5847
1	18	16	4773
1	19	15	3431
1	20	14	2331
1	21	13	1513
1	22	12	863
1	23	11	527
1	24	10	293
1	25	9	153
1	26	8	75
1	27	7	41
1	28	6	25
1	29	5	7
1	30	4	1
1	31	3	1
1	32	2	1
1	33	1	1
1	34	0	3
