phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	33	1	0	0	5	0	0	0.59857845306396484	0.59857845306396484	0	2.5523468407922079	-2	2	0	0.42903953790664673	0.42903953790664673	290250	1.5354774257445062e-05	3.601438470013993
0	2	32	3	1	0	19	0	0	0.59857845306396484	0.59857845306396484	0	2.4615467985022832	-2	2	0	0.43834221363067627	0.43834221363067627	175145	2.0562610808267396e-05	3.601438470013993
0	3	31	12	3	0	67	0	0	0.59857845306396484	0.59857845306396484	0	2.5042505651737388	-2	2	0	0.43388274312019348	0.43388274312019348	99812	3.6082219272371986e-05	3.601438470013993
0	4	30	36	12	-1	189	0	0.095015112523385042	0.59857845306396484	0.59857845306396484	0	2.5099449497718878	-2	2	-0.39841511268638913	0.19531215727329254	0.19531215727329254	23497	0.00015327226752410915	3.601438470013993
0	5	29	118	36	0	445	0.095015112523385042	0.12352660076168538	0.59857845306396484	0.50356334054057983	-0.48820674993515606	2.0517332143298672	-2	1	0.23794845573751319	0.36720940470695496	0.36720940470695496	11530	0.00031235372680086669	3.601438470013993
0	6	28	347	118	0	1095	0.12352660076168538	0.12586613803432015	0.59857845306396484	0.47505185230227948	-0.15407445964560504	2.1955138286772997	-2	2	0.070176947934975253	0.43281587958335876	0.43281587958335876	6939	0.00051901404669462358	3.601438470013993
0	7	27	985	347	0	2519	0.12586613803432015	0.12640686490249453	0.59857845306396484	0.47271231502964467	-0.073022144354968926	2.1590567892257204	-2	2	0.033821317122999843	0.45751285552978516	0.45751285552978516	4287	0.00084008361791788964	3.601438470013993
0	8	26	2374	985	0	4793	0.12640686490249453	0.12640750910364523	0.59857845306396484	0.47217158816147031	-0.0022742950508331098	1.9470898085133832	-1	1	0.0011680483565211356	0.58217000961303711	0.58217000961303711	2935	0.0012270659182330469	3.601438470013993
0	9	25	4062	2374	0	8535	0.12640750910364523	0.12954566753146973	0.59857845306396484	0.47217094396031961	0.15965867606428977	1.9584149708574399	-1	2	-0.081524436056770677	0.49046680331230164	0.49046680331230164	1880	0.001915658760645741	3.601438470013993
0	10	24	8313	4062	0	13943	0.12954566753146973	0.14308532462563364	0.59857845306396484	0.46903278553249511	0.32143240583303484	1.8918531683931146	-1	2	-0.16990346354735886	0.44030338525772095	0.44030338525772095	1062	0.0033911850000131762	3.601438470013993
0	11	23	14758	8313	0	21023	0.14308532462563364	0.15967231586871011	0.59857845306396484	0.45549312843833117	-0.34134661108723174	1.7887625863134915	-2	1	0.19082834899332399	0.44296807050704956	0.44296807050704956	618	0.0058275703398284672	3.601438470013993
0	12	22	27727	14758	0	30265	0.15967231586871011	0.16128784251790704	0.59857845306396484	0.43890613719525473	-0.1056968415688887	1.7421709730572259	-1	1	0.060669614637998463	0.58082544803619385	0.58082544803619385	419	0.00859531854418614	3.601438470013993
