phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	33	1	0	0	7	0	0	0.65858078002929688	0.65858078002929688	0	2.8566906846321514	-2	2	0	0.38893262338340095	0.38893262338340095	1093190	8.585687160173833e-06	4.2892742083093793
0	2	32	3	1	0	31	0	0	0.65858078002929688	0.65858078002929688	0	2.8232900304306452	-2	2	0	0.3914167950877111	0.3914167950877111	564975	7.5919716948703555e-06	4.2892742083093793
0	3	31	16	3	0	105	0	0	0.65858078002929688	0.65858078002929688	0	2.6072562283265595	-2	2	0	0.40908261524017731	0.40908261524017731	311190	1.3783457721357946e-05	4.2892742083093793
0	4	30	45	16	0	347	0	0	0.65858078002929688	0.65858078002929688	0	2.6420386541302348	-2	2	0	0.40603668102676693	0.40603668102676693	166759	2.5721395596695708e-05	4.2892742083093793
0	5	29	90	45	0	993	0	0	0.65858078002929688	0.65858078002929688	0	2.5629520962284627	-2	2	0	0.41308540105819702	0.41308540105819702	89440	4.7957001434586081e-05	4.2892742083093793
0	6	28	215	90	0	2675	0	0	0.65858078002929688	0.65858078002929688	0	2.5620289039540278	-2	2	0	0.41317030787467957	0.41317030787467957	44875	9.5582712162883103e-05	4.2892742083093793
0	7	27	585	215	-1	6889	0	0.095124642685443045	0.65858078002929688	0.65858078002929688	0	2.6312251211761892	-2	2	-0.3800510993726709	0.19910454750061035	0.19910454750061035	10481	0.00040924284021652318	4.2892742083093793
0	8	26	3065	585	-1	16141	0.095124642685443045	0.14805978510652046	0.65858078002929688	0.5634561373438538	-0.27980552568052736	2.3496750148219343	-2	2	-0.30650812124077986	0.26298820972442627	0.26298820972442627	3632	0.0011809675683671199	4.2892742083093793
0	9	25	7651	3065	0	33141	0.14805978510652046	0.15332355997813535	0.65858078002929688	0.51052099492277647	-0.21135590845931401	2.0814814424531685	-2	1	0.10154109671533589	0.4433214871875078	0.4433214871875078	1967	0.0021806172894302893	4.2892742083093793
0	10	24	29606	7651	1	59537	0.15332355997813535	0.25809897077390792	0.65858078002929688	0.50525722005116158	0.12468407969955005	1.9221682770908339	-1	2	0.45537944348203707	0.23654288229750753	0.23654288229750753	544	0.0078846952358628299	4.2892742083093793
0	11	23	91200	29606	0	102148	0.25809897077390792	0.26550662709481143	0.65858078002929688	0.40048180925538895	-0.23214393289269253	1.7069009592338951	-1	1	0.1360031650558596	0.523263548564879	0.523263548564879	343	0.012505172618977782	4.2892742083093793
0	12	22	255342	91200	1	156130	0.26550662709481143	0.26612953804731532	0.65858078002929688	0.39307415293448544	0.93671893888932523	1.5896371838344245	0	2	0.03980849325506599	0.5919228196144104	0.5919228196144104	246	0.017436074017517803	4.2892742083093793
