phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	34	1	0	0	5	0	0	0.65829801559448242	0.65829801559448242	0	2.7662358317061582	-2	2	0	0.40956726670265198	0.40956726670265198	1152262	6.9497058092835512e-07	0.80078819152166836
0	2	33	3	1	0	23	0	0	0.65829801559448242	0.65829801559448242	0	2.7655676181147029	-2	2	0	0.40962332487106323	0.40962332487106323	655746	1.2211865440607619e-06	0.80078819152166836
0	3	32	12	3	0	89	0	0	0.65829801559448242	0.65829801559448242	0	2.8381120294316182	-2	2	0	0.40369698405265808	0.40369698405265808	347157	2.3067032827270322e-06	0.80078819152166836
0	4	31	31	12	0	281	0	0	0.65829801559448242	0.65829801559448242	0	2.6062307458440697	-2	2	0	0.42382770776748657	0.42382770776748657	188600	4.2459607185666402e-06	0.80078819152166836
0	5	30	87	31	-1	743	0	0.1093199732572684	0.65829801559448242	0.65829801559448242	0	2.4539262964738988	-2	2	-0.40751020168654706	0.19438301026821136	0.19438301026821136	44105	1.815640384359298e-05	0.80078819152166836
0	6	29	333	87	0	1827	0.1093199732572684	0.1215515095234124	0.65829801559448242	0.54897804233721403	0.34314586238237171	2.2988770782027355	-1	2	-0.14926672923749518	0.40016072988510132	0.40016072988510132	24183	3.3113682815269752e-05	0.80078819152166836
0	7	28	994	333	0	4131	0.1215515095234124	0.12912678468975133	0.65829801559448242	0.53674650607107	0.26569278821283115	2.2364807939853031	-1	2	-0.11879949469155922	0.4281747043132782	0.4281747043132782	14008	5.7166489971563987e-05	0.80078819152166836
0	8	27	2965	994	1	8085	0.12912678468975133	0.16652582277323719	0.65829801559448242	0.52917123090473106	0.45188517813480633	2.0617663285844627	-1	2	0.26584720793335986	0.34565410017967224	0.34565410017967224	6392	0.00012527975461853384	0.80078819152166836
0	9	26	6546	2965	0	16067	0.16652582277323719	0.16655181754565335	0.65829801559448242	0.49177219282124524	0.015269814889048685	2.1002584781128815	-2	2	-0.0072704455419072399	0.47954750061035156	0.47954750061035156	4109	0.00019488639365336296	0.80078819152166836
0	10	25	17298	6546	1	30953	0.16655181754565335	0.17990950695022562	0.65829801559448242	0.49174619804882908	0.64461826206011608	2.1562541179804762	-1	2	0.16481440428400457	0.4060613214969635	0.4060613214969635	2181	0.00036716560821717945	0.80078819152166836
0	11	24	38474	17298	0	51935	0.17990950695022562	0.20098290756933374	0.65829801559448242	0.4783885086442568	-0.40578653384696484	1.9333954334204988	-2	1	0.20988284488138095	0.40472698211669922	0.40472698211669922	1152	0.00069512863847367046	0.80078819152166836
0	12	23	81881	38474	0	80635	0.20098290756933374	0.20670992467603219	0.65829801559448242	0.45731510802514869	-0.2055878794176175	1.8371348737220208	-2	1	0.11190679702307217	0.49001246690750122	0.49001246690750122	719	0.0011137527003083009	0.80078819152166836
0	13	22	158414	81881	0	115907	0.20670992467603219	0.22381642518790221	0.65829801559448242	0.45158809091845026	0.34178149891653853	1.7560594031222712	-1	2	-0.19462980483966058	0.44625875353813171	0.44625875353813171	426	0.0018797844871400666	0.80078819152166836
0	14	21	248040	158414	0	149355	0.22381642518790221	0.22783188620104142	0.65829801559448242	0.43448159040658019	0.15285307460919947	1.5899818319314314	-1	1	-0.096135107671966979	0.58760839700698853	0.58760839700698853	300	0.0026692939717388943	0.80078819152166836
0	15	20	345535	248040	1	171083	0.22783188620104142	0.23842243161090723	0.65829801559448242	0.43046612939344103	0.7722957732571768	1.4517151915220168	0	2	0.1568518591474489	0.57991176843643188	0.57991176843643188	213	0.0037595689742801332	0.80078819152166836
0	16	19	504505	345535	1	209719	0.23842243161090723	0.23915921398249387	0.65829801559448242	0.41987558398357516	0.93357542654651082	1.5856943237320553	0	2	0.041889897983082749	0.61794734001159668	0.61794734001159668	141	0.0056793488760402012	0.80078819152166836
0	17	18	753884	504505	0	221875	0.23915921398249387	0.30987968795732196	0.65829801559448242	0.41913880161198852	-0.58069126263794812	1.4136817249789173	-1	0	0.41076520434372044	0.44316786527633667	0.44316786527633667	68	0.011776296934142182	0.80078819152166836
0	18	17	926885	753884	-1	208473	0.30987968795732196	0.32571752021924094	0.65829801559448242	0.34841832763716046	-0.74616609325846828	1.1905626679945012	-1	0	-0.21320499421430217	0.69573253393173218	0.69573253393173218	52	0.015399772913878238	0.80078819152166836
0	19	16	1328826	926885	0	184274	0.32571752021924094	0.36428766500426529	0.65829801559448242	0.33258049537524148	-0.38754783999653963	1.1380152295026631	-1	0	0.34054714730479163	0.59754759073257446	0.59754759073257446	32	0.025024630985052136	0.80078819152166836
0	20	15	1559497	1328826	-1	156047	0.36428766500426529	0.36641438830301787	0.65829801559448242	0.29401035059021713	-0.90963365877559799	1.0625087477738517	-1	0	-0.085049973860201994	0.82377523183822632	0.82377523183822632	26	0.030799545827756476	0.80078819152166836
0	21	14	1827849	1559497	-1	114458	0.36641438830301787	0.38988517998567723	0.65829801559448242	0.29188362729146455	-0.72975587404729736	0.95300956780244128	-1	0	-0.28356916350363887	0.72398954629898071	0.72398954629898071	22	0.036399463250984927	0.80078819152166836
0	22	13	1904339	1827849	1	90349	0.38988517998567723	0.39271889621194128	0.64696288108825684	0.2570777011025796	0.89703215601773501	0.98074396538970543	0	1	0.10498952592723837	0.83469998836517334	0.83469998836517334	19	0.042146746922193071	0.80078819152166836
0	23	12	1941108	1904339	0	63225	0.39271889621194128	0.44800370082076968	0.64696288108825684	0.25424398487631555	-0.41100057907982207	0.88138344248294631	-1	0	0.4663130248078996	0.59962618350982666	0.59962618350982666	13	0.061599091655512951	0.80078819152166836
0	24	11	1959597	1941108	0	39723	0.44800370082076968	0.44814332123415057	0.64696288108825684	0.19895918026748716	-0.018828620920095317	0.71076501586067753	0	0	0.026490641069742884	1	1	12	0.066732349293472368	0.80078819152166836
0	25	10	1965292	1959597	2	24203	0.44814332123415057	0.45230868200871172	0.64696288108825684	0.19881955985410626	1.8981469795927255	0.7036831550324294	2	2	0.14474272927931686	1	1	11	0.072798926501969854	0.80078819152166836
0	26	9	1966135	1965292	0	12772	0.45230868200871172	0.45542014438153311	0.64696288108825684	0.19465419907954512	0.077079122414001014	0.60965813474977937	0	0	-0.12643007288935204	1	1	10	0.08007881915216683	0.80078819152166836
0	27	8	1967805	1966135	1	6380	0.45542014438153311	0.48856238291105569	0.64696288108825684	0.19154273670672373	1.2506894836061571	0.60266787269206812	1	1	-0.41596623109565739	1	1	9	0.088976465724629819	0.80078819152166836
0	28	7	1968026	1967805	-2	3174	0.48856238291105569	0.49312841747675284	0.64696288108825684	0.15840049817720114	-1.9077189240407733	0.54352725148163494	-2	-2	-0.16978187516388921	1	1	8	0.10009852394020854	0.80078819152166836
0	29	6	1968137	1968026	2	1444	0.49312841747675284	0.50321189170474867	0.64696288108825684	0.15383446361150396	1.8717862674203933	0.50079071492411831	2	2	0.25602258340399547	1	1	7	0.11439831307452406	0.80078819152166836
0	30	5	1968180	1968137	2	626	0.50321189170474867	0.58472818508827229	0.64696288108825684	0.14375098938350817	1.633021528175213	0.48733072924527981	2	2	0.75303782380626794	1	1	6	0.13346469858694474	0.80078819152166836
0	31	4	1968205	1968180	1	250	0.58472818508827229	0.58520458465251524	0.64696288108825684	0.062234695999984505	1.0261072619767881	0.29839527067425159	1	1	-0.08749221097839914	1	1	5	0.16015763830433366	0.80078819152166836
0	32	3	1968214	1968205	3	96	0.58520458465251524	0.60683691341074364	0.64696288108825684	0.061758296435741565	2.8321825023978122	0.28355235426323688	3	3	0.59183954948366901	1	1	4	0.20019704788041709	0.80078819152166836
0	33	2	1968243	1968214	0	46	0.60683691341074364	0.61794496492382167	0.64696288108825684	0.040125967677513211	-0.11899615720093326	0.22616570658738105	0	0	0.52614589097732234	1	1	3	0.26692939717388947	0.80078819152166836
0	34	1	1968252	1968243	0	4	0.61794496492382167	0.62650224000219301	0.64696288108825684	0.029017916164435158	-0.10328301403163558	0.19019288558428057	0	0	0.5430435198159268	1	1	2	0.40039409576083418	0.80078819152166836
0	35	0	1968260	1968252	4	3	0.62650224000219301	0.62885355949401855	0.64696288108825684	0.020460641086063856	3.9447213760042041	0.16306509978261488	4	4	0.33899727206795938	1	1	1	0.80078819152166836	0.80078819152166836
1	1	34	1	0	0	5	0	0	0.62885355949401855	0.62885355949401855	0	2.7036638318562898	-2	2	0	0.41493880748748779	0.41493880748748779	887955	0	0
1	2	33	3	1	0	23	0	0	0.62885355949401855	0.62885355949401855	0	2.7030107331947564	-2	2	0	0.41499623656272888	0.41499623656272888	533256	0	0
1	3	32	12	3	0	83	0	0	0.62885355949401855	0.62885355949401855	0	2.7739141966062175	-2	2	0	0.40892523527145386	0.40892523527145386	306033	0	0
1	4	31	29	12	0	257	0	0	0.62885355949401855	0.62885355949401855	0	2.547278046306122	-2	2	0	0.42954128980636597	0.42954128980636597	188038	0	0
1	5	30	70	29	0	713	0	0	0.62885355949401855	0.62885355949401855	0	2.5944388834781997	-2	2	0	0.42494955658912659	0.42494955658912659	110913	0	0
1	6	29	183	70	0	1751	0	0	0.62885355949401855	0.62885355949401855	0	2.4950733176943665	-2	2	0	0.43482819199562073	0.43482819199562073	66840	0	0
1	7	28	384	183	0	3815	0	0	0.62885355949401855	0.62885355949401855	0	2.4023682698831168	-2	2	0	0.44478383660316467	0.44478383660316467	40821	0	0
1	8	27	975	384	0	7959	0	0	0.62885355949401855	0.62885355949401855	0	2.436900322393984	-2	2	0	0.44098713994026184	0.44098713994026184	23948	0	0
1	9	26	2056	975	0	15805	0	0	0.62885355949401855	0.62885355949401855	0	2.4579513853284505	-2	2	0	0.43872475624084473	0.43872475624084473	13735	0	0
1	10	25	4859	2056	0	27611	0	0	0.62885355949401855	0.62885355949401855	0	2.2679129958013098	-2	2	0	0.46065452694892883	0.46065452694892883	8412	0	0
1	11	24	11126	4859	0	41877	0	0	0.62885355949401855	0.62885355949401855	0	2.0432010317294313	-2	2	0	0.49167996644973755	0.49167996644973755	5551	0	0
1	12	23	24887	11126	0	63083	0	0	0.62885355949401855	0.62885355949401855	0	2.1249592480158812	-2	2	0	0.47966808080673218	0.47966808080673218	3452	0	0
1	13	22	53520	24887	0	81427	0	0	0.62885355949401855	0.62885355949401855	0	1.8859435169608239	-1	1	0	0.59081363677978516	0.59081363677978516	2389	0	0
1	14	21	72108	53520	0	117839	0	0	0.62885355949401855	0.62885355949401855	0	2.1984042083576791	-2	2	0	0.46960216760635376	0.46960216760635376	1386	0	0
1	15	20	132592	72108	0	145543	0	0	0.62885355949401855	0.62885355949401855	0	1.9435867294832991	-1	1	0	0.58318895101547241	0.58318895101547241	887	0	0
1	16	19	188954	132592	0	158925	0	0	0.62885355949401855	0.62885355949401855	0	1.7697702736634939	-1	1	0	0.60753035545349121	0.60753035545349121	596	0	0
1	17	18	214787	188954	0	168905	0	0	0.62885355949401855	0.62885355949401855	0	1.7776079874968189	-1	1	0	0.6063416600227356	0.6063416600227356	399	0	0
1	18	17	285994	214787	0	159613	0	0	0.62885355949401855	0.62885355949401855	0	1.61891027232604	-1	1	0	0.6323360800743103	0.6323360800743103	290	0	0
1	19	16	360451	285994	0	133533	0	0	0.62885355949401855	0.62885355949401855	0	1.4729058683358431	-1	1	0	0.66031825542449951	0.66031825542449951	219	0	0
1	20	15	466756	360451	0	100259	0	0	0.62885355949401855	0.62885355949401855	0	1.3577018188959888	-1	1	0	0.68566513061523438	0.68566513061523438	174	0	0
1	21	14	651731	466756	0	75703	0	0	0.62885355949401855	0.62885355949401855	0	1.3939696264688117	-1	1	0	0.67734658718109131	0.67734658718109131	129	0	0
1	22	13	828256	651731	0	53413	0	0	0.62885355949401855	0.62885355949401855	0	1.3413654353874405	-1	1	0	0.68951880931854248	0.68951880931854248	92	0	0
1	23	12	981787	828256	0	37475	0	0	0.62885355949401855	0.62885355949401855	0	1.3590881130152432	-1	1	0	0.68534117937088013	0.68534117937088013	67	0	0
1	24	11	1255558	981787	0	24191	0	0	0.62885355949401855	0.62885355949401855	0	1.2684847903200094	-1	1	0	0.70755463838577271	0.70755463838577271	50	0	0
1	25	10	1374647	1255558	0	15053	0	0	0.62885355949401855	0.62885355949401855	0	1.243974773444759	-1	1	0	0.71394103765487671	0.71394103765487671	33	0	0
1	26	9	1428736	1374647	0	8201	0	0	0.62885355949401855	0.62885355949401855	0	1.1104142429915382	-1	1	0	0.75175279378890991	0.75175279378890991	26	0	0
1	27	8	1445791	1428736	0	4329	0	0	0.62885355949401855	0.62885355949401855	0	1.1103145601085873	-1	1	0	0.75178295373916626	0.75178295373916626	19	0	0
1	28	7	1450346	1445791	0	2077	0	0	0.62885355949401855	0.62885355949401855	0	1.0264298460783254	-1	1	0	0.77822530269622803	0.77822530269622803	16	0	0
1	29	6	1451093	1450346	0	993	0	0	0.62885355949401855	0.62885355949401855	0	1.0138476792227467	-1	1	0	0.78237074613571167	0.78237074613571167	11	0	0
1	30	5	1451192	1451093	0	477	0	0	0.62885355949401855	0.62885355949401855	0	1.0213347489287614	-1	1	0	0.77989846467971802	0.77989846467971802	8	0	0
1	31	4	1451275	1451192	0	225	0	0	0.62885355949401855	0.62885355949401855	0	0.93895496109185672	0	0	0	1	1	7	0	0
1	32	3	1451286	1451275	0	121	0	0	0.62885355949401855	0.62885355949401855	0	0.971957215222503	0	0	0	1	1	6	0	0
1	33	2	1451299	1451286	0	35	0	0	0.62885355949401855	0.62885355949401855	0	0.90800963271809954	0	0	0	1	1	5	0	0
1	34	1	1451312	1451299	0	11	0	0	0.62885355949401855	0.62885355949401855	0	0.95272812571946242	0	0	0	1	1	4	0	0
1	35	0	1451323	1451312	1	3	0	0.62885355949401855	0.62885355949401855	0.62885355949401855	0	1.000000000002	-1	1	0.99999999999800004	0.10650698095560074	0.10650698095560074	1	0	0
