phase	depth	coefficient	nodes
0	0	-1	1
0	1	34	7
0	2	33	33
0	3	32	153
0	4	31	553
0	5	30	1925
0	6	29	5699
0	7	28	16373
0	8	27	41271
0	9	26	95743
0	10	25	209185
0	11	24	420671
0	12	23	736573
0	13	22	1140999
0	14	21	1323713
0	15	20	1303157
0	16	19	1024741
0	17	18	807359
0	18	17	632425
0	19	16	441819
0	20	15	302832
0	21	14	201301
0	22	13	122915
0	23	12	76514
0	24	11	44590
0	25	10	24858
0	26	9	12915
0	27	8	6461
0	28	7	3009
0	29	6	1307
0	30	5	541
0	31	4	223
0	32	3	103
0	33	2	23
0	34	1	7
0	35	0	1
1	0	-1	1
1	1	34	5
1	2	33	23
1	3	32	89
1	4	31	303
1	5	30	901
1	6	29	2133
1	7	28	4749
1	8	27	9853
1	9	26	18235
1	10	25	32559
1	11	24	52825
1	12	23	76717
1	13	22	97847
1	14	21	118167
1	15	20	133953
1	16	19	144453
1	17	18	147885
1	18	17	130303
1	19	16	102273
1	20	15	74854
1	21	14	53183
1	22	13	36855
1	23	12	25055
1	24	11	15141
1	25	10	9261
1	26	9	5487
1	27	8	3049
1	28	7	1593
1	29	6	775
1	30	5	329
1	31	4	147
1	32	3	63
1	33	2	15
1	34	1	7
1	35	0	5
2	0	-1	1
2	1	34	5
2	2	33	19
2	3	32	77
2	4	31	251
2	5	30	657
2	6	29	1555
2	7	28	3501
2	8	27	6825
2	9	26	12049
2	10	25	19583
2	11	24	28411
2	12	23	39383
2	13	22	46521
2	14	21	54899
2	15	20	64135
2	16	19	64939
2	17	18	62297
2	18	17	53895
2	19	16	43185
2	20	15	32247
2	21	14	22475
2	22	13	15031
2	23	12	11171
2	24	11	7579
2	25	10	4611
2	26	9	2683
2	27	8	1463
2	28	7	703
2	29	6	353
2	30	5	189
2	31	4	89
2	32	3	31
2	33	2	7
2	34	1	7
2	35	0	3
