phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	34	1	0	0	5	0	0	0.62190341949462891	0.62190341949462891	0	2.7423374059812318	-2	2	0	0.3954126238822937	0.3954126238822937	953076	9.1674106612291335e-06	3.241448582978228
0	2	33	3	1	0	23	0	0	0.62190341949462891	0.62190341949462891	0	2.6081808924689214	-2	2	0	0.40658847103399742	0.40658847103399742	462543	7.0078859327202614e-06	3.241448582978228
0	3	32	14	3	0	101	0	0	0.62190341949462891	0.62190341949462891	0	2.7981542907317238	-2	2	0	0.39108964941373053	0.39108964941373053	222840	1.4546080519557657e-05	3.241448582978228
0	4	31	40	14	-1	317	0	0.09890641162964231	0.62190341949462891	0.62190341949462891	0	2.5075479675637382	-2	2	-0.39879596041050869	0.19790750741958618	0.19790750741958618	53434	6.0662660159790172e-05	3.241448582978228
0	5	30	164	40	0	925	0.09890641162964231	0.11538585585848778	0.62190341949462891	0.5229970078649866	0.40307639184284683	2.270730973539369	-1	2	-0.17750953174984668	0.37310919329698594	0.37310919329698594	25044	0.00012943014626170851	3.241448582978228
0	6	29	702	164	1	2319	0.11538585585848778	0.14996507948670576	0.62190341949462891	0.50651756363614109	0.44468921180577664	2.1253269349440371	-1	2	0.26128252508541489	0.33485714100088387	0.33485714100088387	10399	0.00031170772025946995	3.241448582978228
0	7	28	1513	702	0	4871	0.14996507948670576	0.15162338840888739	0.62190341949462891	0.47193834000792317	0.11012284922953627	1.8577503469014991	-1	1	-0.059277528551243575	0.54347471274772641	0.54347471274772641	7057	0.00045932387458951792	3.241448582978228
0	8	27	3760	1513	1	11019	0.15162338840888739	0.17408452068585956	0.62190341949462891	0.47028003108574151	0.53786710422757811	2.114605367108128	-1	2	0.21854332868000859	0.36300074513255437	0.36300074513255437	3226	0.0010047887733968469	3.241448582978228
0	9	26	7845	3760	1	21925	0.17408452068585956	0.17840494614301056	0.62190341949462891	0.44781889880876935	0.80990094174333749	1.9353874299081277	-1	2	0.098222740996972605	0.46090416493726266	0.46090416493726266	2003	0.0016182968462197843	3.241448582978228
0	10	25	20153	7845	1	39635	0.17840494614301056	0.17985595344796093	0.62190341949462891	0.44349847335161835	0.89452582689997462	1.843985044614407	0	2	0.057199039334986018	0.54516640542878847	0.54516640542878847	1361	0.0023816668500942161	3.241448582978228
0	11	24	46354	20153	1	63567	0.17985595344796093	0.1881702266130395	0.62190341949462891	0.44204746604666795	0.76563226576316423	1.7089136928211692	0	2	0.13714427780722416	0.52209948474010182	0.52209948474010182	909	0.0035659500362796789	3.241448582978228
0	12	23	106061	46354	1	97490	0.1881702266130395	0.22898226326937862	0.62190341949462891	0.4337331928815894	0.4842149095013028	1.6814578290581268	-1	2	0.30674875193724938	0.36656185438391781	0.36656185438391781	430	0.0075382525185540188	3.241448582978228
0	13	22	188947	106061	-1	143933	0.22898226326937862	0.22923049624090688	0.62190341949462891	0.39292115622525031	-1.0403055993067984	1.6035716022649098	-2	0	0.025134892168126578	0.59360184054380183	0.59360184054380183	318	0.010193234537667384	3.241448582978228
0	14	21	298973	188947	0	180533	0.22923049624090688	0.24869687135301338	0.62190341949462891	0.39267292325372205	0.32426740783733643	1.4563851221590529	-1	1	-0.22265223868575262	0.51525885634510005	0.51525885634510005	202	0.016046775163258555	3.241448582978228
0	15	20	419663	298973	0	197229	0.24869687135301338	0.24983362264586786	0.62190341949462891	0.37320654814161552	-0.075399025835534678	1.3661790898320996	-1	1	0.055189708579715606	0.62462080455751423	0.62462080455751423	164	0.019764930384013585	3.241448582978228
0	16	19	671828	419663	-2	184591	0.24983362264586786	0.25439022818472623	0.62190341949462891	0.37206979684876101	-2.1446507515018891	1.3071101467459385	-3	-1	0.11066454641332114	0.61168152093887329	0.61168152093887329	135	0.024010730244283171	3.241448582978228
0	17	18	898076	671828	1	167122	0.25439022818472623	0.25704599921495974	0.62190341949462891	0.36751319130990268	1.115662136389064	1.3606059357695794	0	2	-0.085007814054290157	0.61134213209152222	0.61134213209152222	103	0.031470374592021629	3.241448582978228
0	18	17	1174820	898076	2	133658	0.25704599921495974	0.26270819151494923	0.62190341949462891	0.36485742027966916	1.8455645169782289	1.2396993540225618	1	3	0.12457494837007115	0.62158370018005371	0.62158370018005371	85	0.038134689211508567	3.241448582978228
0	19	16	1460929	1174820	-1	110693	0.26270819151494923	0.26279328708481431	0.62190341949462891	0.35919522797967968	-0.980323895883358	1.2783533551562363	-2	0	-0.015391756932681024	0.6612648170809502	0.6612648170809502	67	0.048379829596689967	3.241448582978228
0	20	15	1540344	1460929	1	82827	0.26279328708481431	0.35101355487931024	0.62190341949462891	0.3591101324098146	1.5809392491833658	1.1720883863381908	1	2	-0.49564457421024505	0.43138015270233154	0.43138015270233154	31	0.10456285751542671	3.241448582978228
0	21	14	1555158	1540344	2	59767	0.35101355487931024	0.37282986482983294	0.62190341949462891	0.27088986461531867	1.7214341809167555	0.98159775521945403	1	2	0.28378815823694092	0.71143049001693726	0.71143049001693726	24	0.13506035762409282	3.241448582978228
0	22	13	1599633	1555158	-2	41133	0.37282986482983294	0.38195734296056771	0.62190341949462891	0.249073554664796	-2.1743097862962126	0.91056337785879227	-3	-2	0.19143070162354392	0.80701339244842529	0.80701339244842529	19	0.1706025569988541	3.241448582978228
