phase	depth	coefficient	nodes
0	0	-1	1
0	1	34	7
0	2	33	35
0	3	32	153
0	4	31	535
0	5	30	1761
0	6	29	4913
0	7	28	12603
0	8	27	28005
0	9	26	58287
0	10	25	113561
0	11	24	203539
0	12	23	321625
0	13	22	527219
0	14	21	763000
0	15	20	1009812
0	16	19	1032713
0	17	18	906280
0	18	17	690579
0	19	16	490772
0	20	15	341316
0	21	14	245412
0	22	13	161083
0	23	12	100792
0	24	11	60219
0	25	10	36065
0	26	9	20505
0	27	8	10607
0	28	7	5460
0	29	6	2706
0	30	5	1221
0	31	4	580
0	32	3	223
0	33	2	91
0	34	1	30
0	35	0	6
1	0	-1	1
1	1	34	5
1	2	33	23
1	3	32	81
1	4	31	233
1	5	30	581
1	6	29	1469
1	7	28	2937
1	8	27	5587
1	9	26	9719
1	10	25	16381
1	11	24	26691
1	12	23	37335
1	13	22	50105
1	14	21	59655
1	15	20	70317
1	16	19	77075
1	17	18	70833
1	18	17	62535
1	19	16	55059
1	20	15	48057
1	21	14	37973
1	22	13	29647
1	23	12	20935
1	24	11	13107
1	25	10	7757
1	26	9	4175
1	27	8	2225
1	28	7	1145
1	29	6	533
1	30	5	219
1	31	4	85
1	32	3	27
1	33	2	7
1	34	1	3
1	35	0	3
