phase	depth	coefficient	nodes
0	0	-1	1
0	1	34	5
0	2	33	23
0	3	32	93
0	4	31	285
0	5	30	727
0	6	29	1569
0	7	28	3515
0	8	27	7453
0	9	26	14051
0	10	25	24237
0	11	24	42687
0	12	23	64267
0	13	22	87865
0	14	21	122619
0	15	20	150605
0	16	19	175083
0	17	18	202277
0	18	17	204238
0	19	16	186510
0	20	15	157628
0	21	14	116573
0	22	13	80107
0	23	12	48751
0	24	11	29901
0	25	10	17819
0	26	9	9797
0	27	8	4905
0	28	7	2663
0	29	6	1285
0	30	5	629
0	31	4	261
0	32	3	111
0	33	2	37
0	34	1	17
0	35	0	9
1	0	-1	1
1	1	34	5
1	2	33	21
1	3	32	71
1	4	31	187
1	5	30	449
1	6	29	941
1	7	28	2017
1	8	27	3789
1	9	26	6631
1	10	25	10905
1	11	24	16447
1	12	23	22753
1	13	22	27733
1	14	21	31529
1	15	20	34085
1	16	19	33767
1	17	18	31429
1	18	17	26109
1	19	16	23769
1	20	15	19495
1	21	14	14001
1	22	13	9915
1	23	12	6443
1	24	11	4043
1	25	10	2325
1	26	9	1271
1	27	8	663
1	28	7	275
1	29	6	123
1	30	5	45
1	31	4	23
1	32	3	13
1	33	2	3
1	34	1	1
1	35	0	3
