phase	depth	coefficient	nodes
0	0	-1	1
0	1	34	5
0	2	33	23
0	3	32	85
0	4	31	287
0	5	30	807
0	6	29	2023
0	7	28	4695
0	8	27	9635
0	9	26	17873
0	10	25	31515
0	11	24	43587
0	12	23	57416
0	13	22	70085
0	14	21	85041
0	15	20	110543
0	16	19	124182
0	17	18	125925
0	18	17	116751
0	19	16	103503
0	20	15	81153
0	21	14	65060
0	22	13	49483
0	23	12	34670
0	24	11	23920
0	25	10	16001
0	26	9	9373
0	27	8	5193
0	28	7	2509
0	29	6	1209
0	30	5	517
0	31	4	221
0	32	3	99
0	33	2	43
0	34	1	19
0	35	0	9
1	0	-1	1
1	1	34	5
1	2	33	21
1	3	32	59
1	4	31	159
1	5	30	391
1	6	29	867
1	7	28	1615
1	8	27	2855
1	9	26	4611
1	10	25	7393
1	11	24	10177
1	12	23	12981
1	13	22	16749
1	14	21	20263
1	15	20	22515
1	16	19	24681
1	17	18	23207
1	18	17	22263
1	19	16	19361
1	20	15	15711
1	21	14	10833
1	22	13	7315
1	23	12	4415
1	24	11	2557
1	25	10	1519
1	26	9	891
1	27	8	427
1	28	7	221
1	29	6	105
1	30	5	47
1	31	4	11
1	32	3	5
1	33	2	7
1	34	1	1
1	35	0	3
