phase	depth	coefficient	nodes
0	0	-1	1
0	1	34	5
0	2	33	21
0	3	32	73
0	4	31	245
0	5	30	701
0	6	29	1769
0	7	28	3795
0	8	27	7283
0	9	26	13263
0	10	25	21659
0	11	24	31809
0	12	23	44575
0	13	22	57525
0	14	21	67971
0	15	20	74279
0	16	19	75447
0	17	18	79217
0	18	17	73525
0	19	16	60617
0	20	15	44529
0	21	14	32508
0	22	13	21257
0	23	12	11889
0	24	11	6057
0	25	10	2881
0	26	9	1251
0	27	8	587
0	28	7	293
0	29	6	125
0	30	5	55
0	31	4	23
0	32	3	5
0	33	2	3
0	34	1	3
0	35	0	3
1	0	-1	1
1	1	34	5
1	2	33	19
1	3	32	65
1	4	31	205
1	5	30	525
1	6	29	1175
1	7	28	2249
1	8	27	3973
1	9	26	6369
1	10	25	9323
1	11	24	12301
1	12	23	15789
1	13	22	18471
1	14	21	19297
1	15	20	18899
1	16	19	17105
1	17	18	15011
1	18	17	12499
1	19	16	10111
1	20	15	6951
1	21	14	4541
1	22	13	3013
1	23	12	1789
1	24	11	1125
1	25	10	607
1	26	9	323
1	27	8	125
1	28	7	41
1	29	6	13
1	30	5	3
1	31	4	3
1	32	3	1
1	33	2	1
1	34	1	1
1	35	0	3
