phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	34	1	0	0	5	0	0	0.58070135116577148	0.58070135116577148	0	2.6951083499458641	-2	2	0	0.41569313406944275	0.41569313406944275	384502	5.9877194607277294e-06	2.3022901080887332
0	2	33	6	1	-1	21	0	0.07618187128969614	0.58070135116577148	0.58070135116577148	0	2.7608995131182392	-2	2	-0.36220079551920065	0.19869951903820038	0.19869951903820038	93455	2.4635280167874733e-05	2.3022901080887332
0	3	32	22	6	0	73	0.07618187128969614	0.094672431319614683	0.58070135116577148	0.50451947987607537	-0.44363972987805927	2.3173646051005301	-2	1	0.19144148870730404	0.36873999238014221	0.36873999238014221	46321	4.9702944843348227e-05	2.3022901080887332
0	4	31	66	22	0	245	0.094672431319614683	0.097786734182674501	0.58070135116577148	0.48602891984615681	-0.20472223055759256	2.5574999744417681	-2	2	0.080047793784349022	0.38681942224502563	0.38681942224502563	24349	9.4553784881873309e-05	2.3022901080887332
0	5	30	213	66	-1	701	0.097786734182674501	0.15299895543380385	0.58070135116577148	0.48291461698309701	-0.18023086571237446	2.4244270895729154	-2	2	-0.33812901110259214	0.23801612854003906	0.23801612854003906	7663	0.00030044239959398843	2.3022901080887332
0	6	29	707	213	0	1769	0.15299895543380385	0.15619529866743226	0.58070135116577148	0.42770239573196761	-0.18749791702319257	2.1689052714136388	-2	1	0.086448181713803515	0.45806324481964111	0.45806324481964111	4640	0.00049618321295015803	2.3022901080887332
0	7	28	1990	707	-1	3795	0.15619529866743226	0.16774055364626994	0.58070135116577148	0.42450605249833923	-0.67087449664675625	1.9957296760865959	-2	1	-0.16491487163663482	0.42776376008987427	0.42776376008987427	2665	0.00086389872723779861	2.3022901080887332
0	8	27	4557	1990	0	7283	0.16774055364626994	0.16852995511211055	0.58070135116577148	0.41296079751950154	0.081597077905793153	1.8662939796750202	-1	1	-0.043721449457818938	0.5713188648223877	0.5713188648223877	1800	0.0012790500600492962	2.3022901080887332
0	9	26	10601	4557	1	13263	0.16852995511211055	0.21265480037233803	0.58070135116577148	0.41217139605366093	0.38213421418196281	1.8883890516400716	-1	2	0.32719199747605976	0.32515373826026917	0.32515373826026917	749	0.0030738185688768136	2.3022901080887332
0	10	25	21593	10601	0	21659	0.21265480037233803	0.21265613152023186	0.58070135116577148	0.36804655079343346	-0.0032115619564835316	1.6887078649222382	-1	1	0.00190178658084915	0.61948889493942261	0.61948889493942261	537	0.0042873186370367472	2.3022901080887332
0	11	24	42251	21593	0	31809	0.21265613152023186	0.23540643397016434	0.58070135116577148	0.36804521964553966	-0.39223898707044907	1.5776394660683264	-1	1	0.24862396986553423	0.48962047696113586	0.48962047696113586	308	0.0074749678834049784	2.3022901080887332
0	12	23	82270	42251	2	44575	0.23540643397016434	0.29120730731386146	0.58070135116577148	0.34529491719560718	1.3874224555984969	1.5238270101147635	0	2	0.40199940041446597	0.36961695551872253	0.36961695551872253	129	0.017847210140222738	2.3022901080887332
0	13	22	116932	82270	1	57525	0.29120730731386146	0.29351365043930078	0.58070135116577148	0.28949404385191002	1.1190579343605422	1.3338782769677782	0	2	-0.089256970756873805	0.6483687162399292	0.6483687162399292	100	0.023022901080887333	2.3022901080887332
0	14	21	189168	116932	1	67963	0.29351365043930078	0.32992444913545049	0.58070135116577148	0.28718770072647071	0.55072948194069193	1.2617570379268226	0	1	0.35606737632904267	0.5401189923286438	0.5401189923286438	58	0.039694657036012646	2.3022901080887332
0	15	20	237273	189168	1	74097	0.32992444913545049	0.33232025882721183	0.58070135116577148	0.25077690203032099	0.88971636613417981	1.1283106191631387	0	2	0.097742263515712469	0.70369237661361694	0.70369237661361694	47	0.048984895916781561	2.3022901080887332
0	16	19	383383	237273	1	74557	0.33232025882721183	0.33232681101711176	0.58070135116577148	0.24838109233855962	1.0055430531305358	1.0792326355191182	0	2	-0.0051361059220281433	0.75945544242858887	0.75945544242858887	39	0.0590330796945829	2.3022901080887332
0	17	18	457641	383383	0	76134	0.33232681101711176	0.33332702377795448	0.58070135116577148	0.24837454014865973	-0.072817831051697993	1.1474798855549908	-1	1	0.063458917204878826	0.71399205923080444	0.71399205923080444	31	0.074267422841572034	2.3022901080887332
0	18	17	553575	457641	0	67162	0.33332702377795448	0.36842414050871086	0.58070135116577148	0.24737432738781703	0.40123678331070584	1.0652274103972939	0	1	-0.37666772314942409	0.59166735410690308	0.59166735410690308	18	0.12790500600492963	2.3022901080887332
0	19	16	572256	553575	0	52928	0.36842414050871086	0.36883546440068071	0.58070135116577148	0.21227721065706065	-0.040973828983153604	0.93082120500064225	0	0	0.044019011130204469	1	1	17	0.13542882988757254	2.3022901080887332
0	20	15	620345	572256	1	37570	0.36883546440068071	0.37150626145335586	0.58070135116577148	0.2118658867650908	0.90330373160378385	0.86123126596038324	1	1	0.11227677421625812	1	1	16	0.14389313175554583	2.3022901080887332
0	21	14	628573	620345	0	26977	0.37150626145335586	0.37150809245408745	0.58070135116577148	0.20919508971241563	0.0026125908900617003	0.88308578187486719	0	0	-0.0029584791689375237	1	1	15	0.15348600720591554	2.3022901080887332
0	22	13	661054	628573	-1	17169	0.37150809245408745	0.37205841350935404	0.58070135116577148	0.20919325871168407	-1.0406188026648961	0.79194112355644319	-1	-1	0.051290179858933756	1	1	14	0.16444929343490952	2.3022901080887332
0	23	12	672261	661054	1	9483	0.37205841350935404	0.37243488924070012	0.58070135116577148	0.20864293765641745	0.97025401099753006	0.70026394271108428	1	1	0.042478253110259781	1	1	13	0.17709923908374872	2.3022901080887332
