phase	depth	coefficient	nodes
0	0	-1	1
0	1	35	5
0	2	34	23
0	3	33	93
0	4	32	287
0	5	31	779
0	6	30	2043
0	7	29	4413
0	8	28	9045
0	9	27	17167
0	10	26	32659
0	11	25	56121
0	12	24	89743
0	13	23	130302
0	14	22	174904
0	15	21	207157
0	16	20	207808
0	17	19	190256
0	18	18	175437
0	19	17	141177
0	20	16	111654
0	21	15	83658
0	22	14	61854
0	23	13	41830
0	24	12	26472
0	25	11	15661
0	26	10	8920
0	27	9	4878
0	28	8	2629
0	29	7	1391
0	30	6	658
0	31	5	291
0	32	4	109
0	33	3	43
0	34	2	17
0	35	1	9
0	36	0	4
1	0	-1	1
1	1	35	5
1	2	34	19
1	3	33	73
1	4	32	193
1	5	31	499
1	6	30	1257
1	7	29	2803
1	8	28	5427
1	9	27	9983
1	10	26	16589
1	11	25	26585
1	12	24	37169
1	13	23	48127
1	14	22	55615
1	15	21	61149
1	16	20	61849
1	17	19	63319
1	18	18	59175
1	19	17	54373
1	20	16	46333
1	21	15	37293
1	22	14	27383
1	23	13	19203
1	24	12	12369
1	25	11	7667
1	26	10	4367
1	27	9	2501
1	28	8	1387
1	29	7	679
1	30	6	323
1	31	5	149
1	32	4	73
1	33	3	27
1	34	2	9
1	35	1	5
1	36	0	3
