phase	depth	coefficient	nodes
0	0	-1	1
0	1	35	7
0	2	34	33
0	3	33	133
0	4	32	415
0	5	31	1121
0	6	30	2769
0	7	29	6707
0	8	28	14921
0	9	27	30157
0	10	26	53803
0	11	25	89381
0	12	24	134309
0	13	23	196547
0	14	22	278247
0	15	21	368147
0	16	20	429375
0	17	19	457798
0	18	18	477419
0	19	17	425729
0	20	16	339747
0	21	15	251557
0	22	14	170708
0	23	13	110129
0	24	12	68481
0	25	11	37860
0	26	10	22025
0	27	9	11909
0	28	8	6916
0	29	7	3512
0	30	6	1674
0	31	5	705
0	32	4	331
0	33	3	143
0	34	2	62
0	35	1	17
0	36	0	6
1	0	-1	1
1	1	35	5
1	2	34	19
1	3	33	69
1	4	32	211
1	5	31	507
1	6	30	1187
1	7	29	2331
1	8	28	4637
1	9	27	7973
1	10	26	13011
1	11	25	19067
1	12	24	25889
1	13	23	33715
1	14	22	39845
1	15	21	43025
1	16	20	45403
1	17	19	41725
1	18	18	36515
1	19	17	30599
1	20	16	24441
1	21	15	17539
1	22	14	11331
1	23	13	6921
1	24	12	3783
1	25	11	2151
1	26	10	1177
1	27	9	671
1	28	8	331
1	29	7	173
1	30	6	91
1	31	5	35
1	32	4	15
1	33	3	5
1	34	2	3
1	35	1	1
1	36	0	3
