phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	35	1	0	0	7	0	0	0.63017368316650391	0.63017368316650391	0	2.9777023355318346	-2	2	0	0.37616467387232888	0.37616467387232888	1872352	2.8231724514576998e-06	5.2859725858317272
0	2	34	6	1	-1	33	0	0.075034492828014596	0.63017368316650391	0.63017368316650391	0	2.8980085041607397	-2	2	-0.34506454986735763	0.20213607145355991	0.20213607145355991	467743	1.1301019119113974e-05	5.2859725858317272
0	3	33	23	6	0	133	0.075034492828014596	0.088577840452646162	0.63017368316650391	0.55513919033848935	-0.40330945060015222	2.5821194537015515	-2	2	0.15619318076938504	0.32888378674936691	0.32888378674936691	217932	2.4255146494464912e-05	5.2859725858317272
0	4	32	89	23	0	415	0.088577840452646162	0.090945203117646686	0.63017368316650391	0.54159584271385774	-0.15351882893833996	2.322025115318314	-2	2	0.066114198302844318	0.39802030025437696	0.39802030025437696	118025	4.4786889098341263e-05	5.2859725858317272
0	5	31	287	89	0	1121	0.090945203117646686	0.09857454061626833	0.63017368316650391	0.53922848004885726	0.25955498310353292	2.1820885404484129	-1	2	-0.1189479612271806	0.41740118421640582	0.41740118421640582	64135	8.2419468088122352e-05	5.2859725858317272
0	6	30	711	287	0	2769	0.09857454061626833	0.11138042627218872	0.63017368316650391	0.53159914255023555	-0.33413210735629006	2.1528091758009826	-2	1	0.15520748941065415	0.39817938365688516	0.39817938365688516	33252	0.00015896705719450641	5.2859725858317272
0	7	29	1673	711	0	6707	0.11138042627218872	0.11342902785459907	0.63017368316650391	0.51879325689431521	-0.1382301013651841	2.1997383984600045	-2	2	0.062839336469262166	0.41249106563601096	0.41249106563601096	17836	0.00029636536139446778	5.2859725858317272
0	8	28	4199	1673	0	14921	0.11342902785459907	0.12322905475302463	0.63017368316650391	0.51674465531190483	-0.29845975650518453	2.1672556468283251	-2	1	0.13771322129992652	0.40696841450342408	0.40696841450342408	8810	0.00059999688828963986	5.2859725858317272
0	9	27	9922	4199	0	30157	0.12322905475302463	0.12324099677352657	0.63017368316650391	0.50694462841347931	0.0099295924299549337	2.0458452467205612	-2	2	-0.0048535403378490247	0.45906225872924011	0.45906225872924011	5288	0.00099961660095153684	5.2859725858317272
0	10	26	23310	9922	0	53803	0.12324099677352657	0.15261320135758494	0.63017368316650391	0.50693268639297739	0.45835111238916093	1.9041675722043994	-1	2	-0.24070944126967839	0.37475374899437647	0.37475374899437647	2503	0.0021118548085624161	5.2859725858317272
0	11	25	64171	23310	-1	89381	0.15261320135758494	0.1951775591514113	0.63017368316650391	0.47756048180891897	-0.46385945674881496	1.7958489219920815	-2	1	-0.29854434673516989	0.35241707634304348	0.35241707634304348	1095	0.0048273722245038607	5.2859725858317272
0	12	24	136645	64171	0	134309	0.1951775591514113	0.19559417830561693	0.63017368316650391	0.43499612401509263	-0.050267278983659229	1.6242708647565105	-1	1	0.030947596287269886	0.58585320157250165	0.58585320157250165	750	0.007047963447775636	5.2859725858317272
0	13	23	247661	136645	0	196547	0.19559417830561693	0.2036767371523491	0.63017368316650391	0.43457950486088698	0.22412151575838635	1.643401707003781	-1	1	-0.13637658693138421	0.52959293620591752	0.52959293620591752	479	0.011035433373343898	5.2859725858317272
0	14	22	536880	247661	0	278247	0.2036767371523491	0.21460384379789657	0.63017368316650391	0.42649694601415483	-0.26096875697801469	1.6303989575405311	-1	1	0.16006435466058444	0.51815594814710109	0.51815594814710109	293	0.018040862067685078	5.2859725858317272
0	15	21	813785	536880	0	368147	0.21460384379789657	0.2146805466919558	0.63017368316650391	0.41556983936860736	-0.02108493063323523	1.5519878305051467	-1	1	0.01358575770943541	0.60460426225078889	0.60460426225078889	210	0.025171298027770128	5.2859725858317272
0	16	20	1040909	813785	0	429375	0.2146805466919558	0.23165519084221761	0.63017368316650391	0.41549313647454811	-0.28599360278615316	1.4149396165984356	-1	1	0.20212424574957608	0.53457231126088367	0.53457231126088367	138	0.038304149172693674	5.2859725858317272
0	17	19	1514815	1040909	1	457780	0.23165519084221761	0.28941366718509803	0.63017368316650391	0.39851849232428632	0.49739952455306474	1.3201986075293928	0	1	0.38070065562900191	0.49826204776763916	0.49826204776763916	69	0.076608298345387349	5.2859725858317272
0	18	18	1972137	1514815	0	476821	0.28941366718509803	0.29263075781619419	0.63017368316650391	0.34076001598140587	0.12255786908239041	1.2613449369495269	-1	1	-0.097164435748073721	0.62195944786071777	0.62195944786071777	50	0.10571945171663455	5.2859725858317272
