phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	35	1	0	0	5	0	0	0.68753767013549805	0.68753767013549805	0	2.7207334093861864	-2	2	0	0.40453150868415833	0.40453150868415833	1461205	6.8734580951510459e-06	2.148000884993996
0	2	34	3	1	0	25	0	0	0.68753767013549805	0.68753767013549805	0	2.7903903366152498	-2	2	0	0.39887859228615186	0.39887859228615186	1017146	9.8742278256269847e-06	2.148000884993996
0	3	33	12	3	0	95	0	0	0.68753767013549805	0.68753767013549805	0	2.6456023308500898	-2	2	0	0.41097295896668673	0.41097295896668673	590089	1.3080737409936661e-05	2.148000884993996
0	4	32	35	12	0	299	0	0	0.68753767013549805	0.68753767013549805	0	2.6057133192098982	-2	2	0	0.41454792022705078	0.41454792022705078	339447	6.3279418730876871e-06	2.148000884993996
0	5	31	76	35	0	863	0	0	0.68753767013549805	0.68753767013549805	0	2.5736257357681032	-2	2	0	0.41750595595696505	0.41750595595696505	191872	1.1194967921291257e-05	2.148000884993996
0	6	30	197	76	0	2157	0	0	0.68753767013549805	0.68753767013549805	0	2.4444927402873771	-2	2	0	0.43020907685472187	0.43020907685472187	109007	1.9705164668268972e-05	2.148000884993996
0	7	29	543	197	-1	5069	0	0.10898331238695534	0.68753767013549805	0.68753767013549805	0	2.5117027859565941	-2	2	-0.39813627854027528	0.19680855875002506	0.19680855875002506	25927	8.2848030431364829e-05	2.148000884993996
0	8	28	2597	543	1	10385	0.10898331238695534	0.14798254260676139	0.68753767013549805	0.57855435774854269	0.45466972417654022	2.100408063005955	-1	2	0.25963063341273879	0.34179052201225574	0.34179052201225574	11610	0.00018501299612351386	2.148000884993996
0	9	27	6870	2597	0	21167	0.14798254260676139	0.14852704583577417	0.68753767013549805	0.53955512752873669	-0.067405660913717719	2.1218469441476651	-2	2	0.031767447270233819	0.45030641220281709	0.45030641220281709	7464	0.00028778146905064254	2.148000884993996
0	10	26	16923	6870	1	38439	0.14852704583577417	0.17380958265848115	0.68753767013549805	0.53901062429972391	0.56611263094286779	2.0033892823274808	-1	2	0.21657666479729501	0.38328909302817149	0.38328909302817149	3863	0.00055604475407558789	2.148000884993996
0	11	25	38512	16923	0	63967	0.17380958265848115	0.1985751872427019	0.68753767013549805	0.51372808747701693	-0.41062673297117885	1.8702058362572915	-2	1	0.21956232036626333	0.40037816762924194	0.40037816762924194	2073	0.0010361798769869734	2.148000884993996
0	12	24	100131	38512	0	98559	0.1985751872427019	0.20300171573133768	0.68753767013549805	0.48896248289279615	0.16788905183728675	1.7645278345423154	-1	1	-0.095146729085650236	0.54606554273650865	0.54606554273650865	1433	0.0014989538625219791	2.148000884993996
0	13	23	229214	100131	0	153577	0.20300171573133768	0.2271442187051067	0.68753767013549805	0.48453595440416036	-0.41226386759184824	1.8469159456600579	-2	1	0.22321744991189182	0.40112850368863717	0.40112850368863717	777	0.0027644799034671763	2.148000884993996
0	14	22	356261	229214	0	202129	0.2271442187051067	0.2271460621032754	0.68753767013549805	0.46039345143039134	0.0031640904329642309	1.5812621682961212	-1	1	-0.002000990409056378	0.62207520008087158	0.62207520008087158	589	0.0036468605857283465	2.148000884993996
0	15	21	509864	356261	0	255983	0.2271460621032754	0.25753191431876837	0.68753767013549805	0.46039160803222262	-0.41743844922654466	1.6248767971736546	-2	1	0.25690467729777794	0.41743254661560059	0.41743254661560059	320	0.0067125027656062377	2.148000884993996
0	16	20	698800	509864	-1	277585	0.25753191431876837	0.2638209388757824	0.68753767013549805	0.43000575581672967	-0.8184691076459234	1.5010530167850387	-2	0	-0.12093569669036752	0.57636515568598645	0.57636515568598645	218	0.0098532150687797981	2.148000884993996
0	17	19	1071783	698800	0	270279	0.2638209388757824	0.28153721346358568	0.68753767013549805	0.42371673125971565	-0.30869998767464057	1.5096915260524046	-1	1	0.2044788503793489	0.52401120251433853	0.52401120251433853	142	0.015126766795732367	2.148000884993996
0	18	18	1648166	1071783	0	236487	0.28153721346358568	0.29940920145683503	0.68753767013549805	0.40600045667191237	-0.29952461729003194	1.4276092425114608	-1	1	0.20980854450277023	0.53794792869919861	0.53794792869919861	91	0.023604405329604353	2.148000884993996
0	19	17	2039105	1648166	0	189488	0.29940920145683503	0.33021286470143574	0.68753767013549805	0.38812846867866302	-0.35709649476527972	1.2675705869813716	-1	0	0.28171724591344405	0.60395954239489014	0.60395954239489014	61	0.035213129262196656	2.148000884993996
0	20	16	2093279	2039105	0	154707	0.33021286470143574	0.33315489225619388	0.68753767013549805	0.35732480543406231	-0.10920982740083701	1.2035660693097796	-1	1	0.090738539566395882	0.67993869423683562	0.67993869423683562	48	0.044750018437374917	2.148000884993996
0	21	15	2250061	2093279	-1	116184	0.33315489225619388	0.35046113111414345	0.68753767013549805	0.35438277787930417	-0.75979367301417933	1.0869746099459223	-1	0	-0.22098614336334049	0.72001793146186865	0.72001793146186865	38	0.056526339078789366	2.148000884993996
0	22	14	2283543	2250061	-1	82246	0.35046113111414345	0.39977626831136559	0.68715810775756836	0.33669697664342491	-0.61578746877401824	1.0039244027618592	-1	0	-0.38271062060946914	0.61333185434341431	0.61333185434341431	24	0.089500036874749833	2.148000884993996
0	23	13	2300455	2283543	-1	56810	0.39977626831136559	0.40604174711921054	0.68715810775756836	0.28738183944620277	-0.86451189567789266	0.91760061048488506	-1	0	-0.14765476698027882	0.83047235012054443	0.83047235012054443	21	0.10228575642828552	2.148000884993996
0	24	12	2320556	2300455	0	38262	0.40604174711921054	0.42089434705193973	0.68715810775756836	0.28111636063835782	0.2045576490467976	0.88993347488597563	0	1	-0.22985723632095864	0.79049801826477051	0.79049801826477051	16	0.13425005531212475	2.148000884993996
0	25	11	2328203	2320556	1	25833	0.42089434705193973	0.42159587097135709	0.68715810775756836	0.26626376070562863	1.045327885244631	0.88308040223058282	1	1	-0.051329284547745394	1	1	15	0.14320005899959973	2.148000884993996
0	26	10	2331143	2328203	0	16832	0.42159587097135709	0.44278394580186486	0.68715810775756836	0.26556223678621127	0.24699572094832198	0.8744336048648792	0	1	-0.28246366513611826	0.76084905862808228	0.76084905862808228	13	0.16523083730723045	2.148000884993996
0	27	9	2334103	2331143	-1	9616	0.44278394580186486	0.4457752156053662	0.68715810775756836	0.24437416195570352	-1.0814864812955927	0.73652147463964679	-1	-1	0.11063693877420346	1	1	12	0.17900007374949967	2.148000884993996
0	28	8	2335618	2334103	1	5061	0.4457752156053662	0.51868839469531125	0.68715810775756836	0.24138289215220218	1.3789169621253388	0.68943650140858381	1	2	-0.5496038596029883	0.66874277591705322	0.66874277591705322	9	0.2386667649993329	2.148000884993996
0	29	7	2336631	2335618	1	2561	0.51868839469531125	0.52919655016897615	0.68715810775756836	0.16846971306225714	1.1347371841968876	0.53949216297953473	1	1	-0.24974817697583263	1	1	8	0.2685001106242495	2.148000884993996
0	30	6	2336693	2336631	0	1204	0.52919655016897615	0.54016012008249736	0.68715810775756836	0.15796155758859218	0.13101639614256677	0.49730789932416064	0	0	-0.26345126695276205	1	1	7	0.30685726928485657	2.148000884993996
0	31	5	2336710	2336693	1	544	0.54016012008249736	0.55657851121330637	0.68715810775756836	0.14699798767507102	0.84564682113240286	0.46185534507917259	1	1	0.33420243050589243	1	1	6	0.35800014749899933	2.148000884993996
0	32	4	2336743	2336710	0	226	0.55657851121330637	0.59963225144752941	0.68715810775756836	0.13057959654426196	-0.25001783356482526	0.43541481894595574	0	0	0.57420607357844156	1	1	5	0.42960017699879921	2.148000884993996
0	33	3	2336760	2336743	-2	108	0.59963225144752941	0.63567230201469438	0.68715810775756836	0.087525856310039007	-1.7719672584180166	0.35536340053575316	-2	-2	-0.64168887746514303	1	1	4	0.537000221248499	2.148000884993996
0	34	2	2336780	2336760	-1	32	0.63567230201469438	0.63889738743202906	0.68715810775756836	0.051485805742873939	-0.93389052889828283	0.26414161495904287	-1	-1	-0.25028040777280763	1	1	3	0.71600029499799867	2.148000884993996
0	35	1	2336789	2336780	-2	14	0.63889738743202906	0.65489011739283653	0.68715810775756836	0.048260720325539339	-1.8548642192279765	0.25212162138541777	-2	-2	-0.57565781139474237	1	1	2	1.074000442496998	2.148000884993996
0	36	0	2336805	2336789	1	7	0.65489011739283653	0.6591026782989502	0.68715810775756836	0.03226799036473188	1.0753153751273732	0.20844741145359771	1	1	-0.36131595303662045	1	1	1	2.148000884993996	2.148000884993996
1	1	35	1	0	0	5	0	0	0.6591026782989502	0.6591026782989502	0	2.6638776783658926	-2	2	0	0.41848856210708618	0.41848856210708618	819342	0	0
1	2	34	3	1	0	23	0	0	0.6591026782989502	0.6591026782989502	0	2.7320789703222856	-2	2	0	0.41246825456619263	0.41246825456619263	498147	0	0
1	3	33	12	3	0	75	0	0	0.6591026782989502	0.6591026782989502	0	2.5903166295790454	-2	2	0	0.42534416913986206	0.42534416913986206	314116	0	0
1	4	32	29	12	0	239	0	0	0.6591026782989502	0.6591026782989502	0	2.5512611868981119	-2	2	0	0.42914682626724243	0.42914682626724243	197917	0	0
1	5	31	76	29	0	635	0	0	0.6591026782989502	0.6591026782989502	0	2.5198441443505342	-2	2	0	0.43229210376739502	0.43229210376739502	124150	0	0
1	6	30	167	76	0	1477	0	0	0.6591026782989502	0.6591026782989502	0	2.3934096678910279	-2	2	0	0.44578659534454346	0.44578659534454346	80945	0	0
1	7	29	360	167	0	3431	0	0	0.6591026782989502	0.6591026782989502	0	2.4992847094389607	-2	2	0	0.43439346551895142	0.43439346551895142	49654	0	0
1	8	28	855	360	0	6985	0	0	0.6591026782989502	0.6591026782989502	0	2.3596288943864803	-2	2	0	0.44963556528091431	0.44963556528091431	31761	0	0
1	9	27	1980	855	0	13271	0	0	0.6591026782989502	0.6591026782989502	0	2.3530063488389281	-2	2	0	0.45040294528007507	0.45040294528007507	19922	0	0
1	10	26	4551	1980	0	23015	0	0	0.6591026782989502	0.6591026782989502	0	2.2550143234505784	-2	2	0	0.46227449178695679	0.46227449178695679	12755	0	0
1	11	25	10230	4551	0	37481	0	0	0.6591026782989502	0.6591026782989502	0	2.2045939748237693	-2	2	0	0.46878322958946228	0.46878322958946228	8130	0	0
1	12	24	22879	10230	0	55969	0	0	0.6591026782989502	0.6591026782989502	0	2.0935089338192752	-2	2	0	0.48418402671813965	0.48418402671813965	5345	0	0
1	13	23	47010	22879	0	74417	0	0	0.6591026782989502	0.6591026782989502	0	1.9484540295879489	-1	1	0	0.58256393671035767	0.58256393671035767	3732	0	0
1	14	22	67118	47010	0	89421	0	0	0.6591026782989502	0.6591026782989502	0	1.820479403070882	-1	1	0	0.59999984502792358	0.59999984502792358	2697	0	0
1	15	21	92011	67118	0	99749	0	0	0.6591026782989502	0.6591026782989502	0	1.7580699575331846	-1	1	0	0.609322190284729	0.609322190284729	1982	0	0
1	16	20	118832	92011	0	108253	0	0	0.6591026782989502	0.6591026782989502	0	1.7564122649301301	-1	1	0	0.60957777500152588	0.60957777500152588	1431	0	0
1	17	19	166729	118832	0	110773	0	0	0.6591026782989502	0.6591026782989502	0	1.7102269494230564	-1	1	0	0.61687099933624268	0.61687099933624268	990	0	0
1	18	18	218694	166729	0	120767	0	0	0.6591026782989502	0.6591026782989502	0	1.8739466653559071	-1	1	0	0.59245389699935913	0.59245389699935913	637	0	0
